BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2013;060000544;060780988;N1220;1;;0.5;1;;;
SMURSAMU_P;2013;060000544;060780988;N2223;31;3;5.12;1;;;
SMURSAMU_P;2013;060000544;060780988;N9999;32;3;5.62;1;;;
SMURSAMU_P;2013;060001450;060785011;M9999;10;8;13.17;1;18;7;9.8
SMURSAMU_P;2013;060001450;060785011;N1220;0;0;0;1;6;1;6.13
SMURSAMU_P;2013;060001450;060785011;N2120;1;0;0.2;1;1;0;0.2
SMURSAMU_P;2013;060001450;060785011;N2223;19;0;14.34;1;2;0;1.34
SMURSAMU_P;2013;060001450;060785011;N2500;4;0;4;;1;0;0.68
SMURSAMU_P;2013;060001450;060785011;N2620;0;0;0;1;0;0;0
SMURSAMU_P;2013;060001450;060785011;N3120;;;;1;0;0;0
SMURSAMU_P;2013;060001450;060785011;N9999;47;0;40.3;1;39;11;43.23
SMURSAMU_P;2013;060002102;060791761;M9999;;4;1.7;1;;;
SMURSAMU_P;2013;060002102;060791761;N2223;4;1;4.8;0;;;
SMURSAMU_P;2013;060002102;060791761;N9999;4;1;4.8;;;;
SMURSAMU_P;2013;060789195;060785011;M1140;1;0;0.98;0;;;
SMURSAMU_P;2013;060789195;060785011;M9999;1;0;0.98;0;;;
SMURSAMU_P;2013;060789195;060785011;N2120;1;0;0.15;;;;
SMURSAMU_P;2013;060789195;060785011;N2223;1;0;1;;;;
SMURSAMU_P;2013;060789195;060785011;N9999;4;0;3.08;;;;
SMURSAMU_P;2013;070000013;070002878;M9999;1;;1.33;;7;4;7.46
SMURSAMU_P;2013;070000013;070002878;N1220;;;;0;10;1;12.07
SMURSAMU_P;2013;070000013;070002878;N2120;1;;0.5;1;1;;0.5
SMURSAMU_P;2013;070000013;070002878;N2223;3;;3;0;;;
SMURSAMU_P;2013;070000013;070002878;N2500;;;;;1;;1
SMURSAMU_P;2013;070000179;070780358;M9999;9;0;9;1;0;0;0
SMURSAMU_P;2013;070000179;070780358;N2120;1;0;1;1;0;0;0
SMURSAMU_P;2013;070000179;070780358;N2223;6;0;6;1;0;0;0
SMURSAMU_P;2013;080000110;080000037;M9999;3;0;3;1;;;
SMURSAMU_P;2013;080000110;080000037;N1220;3;;0.6;;;;
SMURSAMU_P;2013;080000110;080000037;N2120;;1;0.2;1;;;
SMURSAMU_P;2013;080000110;080000037;N2223;14;5;3.6;1;;;
SMURSAMU_P;2013;080000110;080000037;N2620;;;;1;;;
SMURSAMU_P;2013;080000219;080001969;M9999;;5;2.67;1;;;
SMURSAMU_P;2013;080000219;080001969;N1220;;1;0.25;1;;;
SMURSAMU_P;2013;080000219;080001969;N2223;;16;6.6;1;;;
SMURSAMU_P;2013;080000219;080001969;N2620;;5;3.15;0;;;
SMURSAMU_P;2013;080000219;080001969;N9999;;23;10;1;;;
SMURSAMU_P;2013;080000276;080001969;M9999;;5;0.18;1;;;
SMURSAMU_P;2013;080000276;080001969;N1220;;1;0.19;1;;;
SMURSAMU_P;2013;080000276;080001969;N2223;;5;2.5;1;;;
SMURSAMU_P;2013;080000276;080001969;N2620;;6;4.2;0;;;
SMURSAMU_P;2013;080000276;080001969;N9999;0;12;6.89;;;;
SMURSAMU_P;2013;080000425;080000615;M9999;21;;6.48;1;15;;4.3
SMURSAMU_P;2013;080000425;080000615;MREG;;;;1;15;;4.3
SMURSAMU_P;2013;080000425;080000615;N1220;;;;;1;;1
SMURSAMU_P;2013;080000425;080000615;N2120;1;;1;;;;
SMURSAMU_P;2013;080000425;080000615;N2223;6;8;10.72;;;;
SMURSAMU_P;2013;080000425;080000615;N2500;1;;1;;1;;1
SMURSAMU_P;2013;080000425;080000615;N9999;19;8;23.71;;11;;11
SMURSAMU_P;2013;080009814;080000615;M9999;7;;3.16;1;;;
SMURSAMU_P;2013;090000175;090781774;M1140;0;0;0;1;0;0;0
SMURSAMU_P;2013;090000175;090781774;M9999;17;13;5.27;1;17;13;4.27
SMURSAMU_P;2013;090000175;090781774;MREG;17;13;5.27;1;17;13;4.27
SMURSAMU_P;2013;090000175;090781774;N1220;7;;7;1;0;0;0
SMURSAMU_P;2013;090000175;090781774;N2120;;;;1;1;0;0.28
SMURSAMU_P;2013;090000175;090781774;N2223;;;;1;17;12;7.19
SMURSAMU_P;2013;090000175;090781774;N2500;;;;;6;0;3
SMURSAMU_P;2013;090000175;090781774;N2620;;;;1;1;0;0.3
SMURSAMU_P;2013;090000175;090781774;N3120;;;;1;0;0;0
SMURSAMU_P;2013;090000175;090781774;N9999;7;;7;1;25;12;10.77
SMURSAMU_P;2013;090000183;090781816;M9999;7;2;4.97;1;;;
SMURSAMU_P;2013;090000183;090781816;N1220;1;;0.5;1;;;
SMURSAMU_P;2013;090000183;090781816;N2120;1;;0.4;1;;;
SMURSAMU_P;2013;090000183;090781816;N2223;2;;1;0;;;
SMURSAMU_P;2013;100000090;100000017;M9999;13;2;7.35;1;8;2;3.25
SMURSAMU_P;2013;100000090;100000017;MREG;;;;;8;2;3.25
SMURSAMU_P;2013;100000090;100000017;N1220;1;;1;0;1;;1
SMURSAMU_P;2013;100000090;100000017;N2120;1;;0.76;0;;;
SMURSAMU_P;2013;100000090;100000017;N2223;17;1;17.05;0;;;
SMURSAMU_P;2013;100000199;100006279;M9999;8;;4;1;;;
SMURSAMU_P;2013;100000199;100006279;N1220;1;;0.16;1;;;
SMURSAMU_P;2013;100000199;100006279;N2120;1;;0.5;1;;;
SMURSAMU_P;2013;100000199;100006279;N2223;18;;6.39;1;;;
SMURSAMU_P;2013;110000023;110780061;M9999;27;3;16.64;1;27;3;4.76
SMURSAMU_P;2013;110000023;110780061;MREG;27;3;16.64;1;27;3;4.76
SMURSAMU_P;2013;110000023;110780061;N1220;0;1;0.36;1;0;1;0.56
SMURSAMU_P;2013;110000023;110780061;N2120;1;0;0.7;1;1;0;0.3
SMURSAMU_P;2013;110000023;110780061;N2223;23;0;17.7;0;;;
SMURSAMU_P;2013;110000023;110780061;N2500;1;0;0.2;;;;
SMURSAMU_P;2013;110000023;110780061;N9999;39;1;32.01;0;17;9;22.51
SMURSAMU_P;2013;110000056;110780137;M9999;15;6;8.86;1;;;
SMURSAMU_P;2013;110000056;110780137;N2223;23;6;12.24;1;;;
SMURSAMU_P;2013;110000056;110780137;N9999;23;6;12.24;1;;;
SMURSAMU_P;2013;110780236;110780707;N2223;2;;2;;;;
SMURSAMU_P;2013;120000039;120780044;M9999;5;;5;1;5;;5
SMURSAMU_P;2013;120000039;120780044;N1220;;;;1;;;
SMURSAMU_P;2013;120000039;120780044;N2223;11;2;9.1;;;;
SMURSAMU_P;2013;120000039;120780044;N2500;5;;4.72;;1;;1
SMURSAMU_P;2013;120000039;120780044;N2620;;;;1;;;
SMURSAMU_P;2013;120000039;120780044;N3120;;;;1;;;
SMURSAMU_P;2013;120000054;120780069;M1140;0;0;0;1;0;0;0
SMURSAMU_P;2013;120000054;120780069;M9999;5;2;1.48;1;0;0;0
SMURSAMU_P;2013;120000054;120780069;MREG;5;2;1.48;1;0;0;0
SMURSAMU_P;2013;120000054;120780069;N2223;0;2;1.2;1;0;0;0
SMURSAMU_P;2013;120000054;120780069;N2500;1;0;1;;0;0;0
SMURSAMU_P;2013;120000054;120780069;N9999;1;2;2.2;1;0;0;0
SMURSAMU_P;2013;120000070;120780085;M9999;4;1;4.9;1;;;
SMURSAMU_P;2013;120000070;120780085;N1220;1;1;1.5;1;;;
SMURSAMU_P;2013;120000070;120780085;N2120;;1;0.5;1;;;
SMURSAMU_P;2013;120000070;120780085;N2223;13;;13;1;;;
SMURSAMU_P;2013;120004569;120004528;M9999;2;1;2.97;1;;;
SMURSAMU_P;2013;120004569;120004528;N2223;11;;5.12;1;;;
SMURSAMU_P;2013;120004569;120004528;N9999;11;;5.12;1;;;
SMURSAMU_P;2013;120004668;120004619;M9999;6;1;3.14;1;;;
SMURSAMU_P;2013;120004668;120004619;N2223;6;4;8.13;1;;;
SMURSAMU_P;2013;130000409;130041916;M9999;16;5;4.57;;;;
SMURSAMU_P;2013;130000409;130041916;N2223;6;3;8.05;0;;;
SMURSAMU_P;2013;130000409;130041916;N9999;6;3;8.05;0;;;
SMURSAMU_P;2013;130000565;130781446;M9999;3;2;4.5;1;;;
SMURSAMU_P;2013;130000565;130781446;N2223;5;;5;;;;
SMURSAMU_P;2013;130000565;130781446;N9999;10;;10;;;;
SMURSAMU_P;2013;130001225;130782634;M9999;5;2;0.57;1;;;
SMURSAMU_P;2013;130001225;130782634;MREG;5;2;0.57;1;;;
SMURSAMU_P;2013;130001225;130782634;N2120;;1;0.79;;;;
SMURSAMU_P;2013;130001225;130782634;N2223;5;;5;;;;
SMURSAMU_P;2013;130001225;130782634;N2500;5;;5;;;;
SMURSAMU_P;2013;130001225;130782634;N9999;10;1;10.79;;;;
SMURSAMU_P;2013;130002827;130789274;M9999;7;7;10.7;1;;;
SMURSAMU_P;2013;130002827;130789274;N2120;1;;0.25;1;;;
SMURSAMU_P;2013;130002827;130789274;N2223;2;1;2.8;1;;;
SMURSAMU_P;2013;130002827;130789274;N9999;8;1;8.05;1;;;
SMURSAMU_P;2013;130002835;130789316;M9999;7;0;7;1;;;
SMURSAMU_P;2013;130002835;130789316;N1220;1;0;1;1;;;
SMURSAMU_P;2013;130002835;130789316;N2120;0;1;0.2;1;;;
SMURSAMU_P;2013;130002835;130789316;N2223;7;6;11.48;1;;;
SMURSAMU_P;2013;130002835;130789316;N9999;8;7;12.68;1;;;
SMURSAMU_P;2013;130783293;130786049;M1140;2;0;1.5;0;0;1;0.1
SMURSAMU_P;2013;130783293;130786049;M9999;18;7;10.22;0;30;9;16.73
SMURSAMU_P;2013;130783293;130786049;MREG;0;0;0;0;30;9;16.73
SMURSAMU_P;2013;130783293;130786049;N1220;1;0;1;0;3;0;3.1
SMURSAMU_P;2013;130783293;130786049;N2120;2;0;2;0;1;0;1
SMURSAMU_P;2013;130783293;130786049;N2223;27;4;29.89;0;0;0;0
SMURSAMU_P;2013;130783293;130786049;N2500;0;0;0;;1;0;0.29
SMURSAMU_P;2013;130783293;130786049;N9999;71;4;72.23;0;54;2;54.04
SMURSAMU_P;2013;130786742;750821092;M9999;21;13;24.34;1;;;
SMURSAMU_P;2013;130786742;750821092;MREG;17;13;23.32;0;;;
SMURSAMU_P;2013;140000027;140000035;M9999;6;1;3.79;1;;;
SMURSAMU_P;2013;140000209;140000100;M9999;11;;9.08;0;3;;1.68
SMURSAMU_P;2013;140000209;140000100;MREG;;;;0;3;;1.68
SMURSAMU_P;2013;140000209;140000100;N1220;2;;0.3;0;2;;1.5
SMURSAMU_P;2013;140000209;140000100;N2120;2;;0.3;0;;;
SMURSAMU_P;2013;140000209;140000100;N2223;19;4;17.83;0;;;
SMURSAMU_P;2013;140000209;140000100;N2500;;;;;1;;0.8
SMURSAMU_P;2013;140000209;140000100;N9999;44;4;37.05;0;20;1;19.52
SMURSAMU_P;2013;140000233;140000118;M9999;;4;3.95;1;;;
SMURSAMU_P;2013;140000233;140000118;N1220;;1;0.5;1;;;
SMURSAMU_P;2013;140000233;140000118;N2120;;1;0.05;1;;;
SMURSAMU_P;2013;140000233;140000118;N2223;1;5;3.9;1;;;
SMURSAMU_P;2013;140000233;140000118;N2500;1;5;3.09;;;;
SMURSAMU_P;2013;140000233;140000118;N2620;;1;0.64;1;;;
SMURSAMU_P;2013;140000233;140000118;N9999;2;16;10.28;1;;;
SMURSAMU_P;2013;140000373;140000159;M9999;1;2;0.43;1;;;
SMURSAMU_P;2013;140000373;140000159;N2223;2;;0.69;1;;;
SMURSAMU_P;2013;140000373;140000159;N9999;2;;0.69;1;;;
SMURSAMU_P;2013;140024886;140000092;M9999;6;4;8.97;1;;;
SMURSAMU_P;2013;140024886;140000092;N2223;6;3;3.38;1;;;
SMURSAMU_P;2013;140024886;140000092;N2620;1;;1;1;;;
SMURSAMU_P;2013;140026410;140026279;M9999;;;;1;;;
SMURSAMU_P;2013;140026410;140026279;MREG;3;;2.5;1;;;
SMURSAMU_P;2013;140026410;140026279;N1220;1;;0.5;1;;;
SMURSAMU_P;2013;140026410;140026279;N2120;;;;1;;;
SMURSAMU_P;2013;140026410;140026279;N2223;5;;0.6;1;;;
SMURSAMU_P;2013;140026410;140026279;N2500;4;;3.04;;;;
SMURSAMU_P;2013;140026410;140026279;N2620;;;;1;;;
SMURSAMU_P;2013;140026410;140026279;N3120;;;;1;;;
SMURSAMU_P;2013;140026410;140026279;N9999;;;;1;;;
SMURSAMU_P;2013;150000032;150780088;M9999;2;0;2.22;1;;;
SMURSAMU_P;2013;150000032;150780088;N2223;11;;5.72;1;;;
SMURSAMU_P;2013;150000040;150780096;M9999;20;;6.7;;17;;4.73
SMURSAMU_P;2013;150000040;150780096;MREG;17;;4.73;;17;;7.73
SMURSAMU_P;2013;150000040;150780096;N1220;;;;0;8;;8
SMURSAMU_P;2013;150000040;150780096;N2120;;1;0.2;1;;;
SMURSAMU_P;2013;150000040;150780096;N2223;3;9;5.85;1;;;
SMURSAMU_P;2013;150000040;150780096;N2620;2;;2;0;;;
SMURSAMU_P;2013;150000040;150780096;N9999;5;10;8.05;1;;;
SMURSAMU_P;2013;150000164;150780468;M9999;2;;1;1;;;
SMURSAMU_P;2013;150000164;150780468;N2500;5;2;0.59;;;;
SMURSAMU_P;2013;150000164;150780468;N9999;5;2;0.7;0;;;
SMURSAMU_P;2013;160000253;160000451;M9999;8;1;8.66;0;4;1;4.33
SMURSAMU_P;2013;160000253;160000451;MREG;;;;0;4;1;4.33
SMURSAMU_P;2013;160000253;160000451;N1220;1;;0.5;0;1;;0.5
SMURSAMU_P;2013;160000253;160000451;N2120;2;;0.55;0;2;;0.55
SMURSAMU_P;2013;160000253;160000451;N2223;1;1;1.5;1;;;
SMURSAMU_P;2013;160000253;160000451;N9999;15;1;13.05;1;21;1;18.62
SMURSAMU_P;2013;160000303;160006037;M9999;8;;7.6;1;;;
SMURSAMU_P;2013;160000303;160006037;N1220;;1;0.8;1;;;
SMURSAMU_P;2013;160000303;160006037;N2223;8;4;9.6;1;;;
SMURSAMU_P;2013;160000303;160006037;N9999;8;5;10.4;1;;;
SMURSAMU_P;2013;160000311;160000485;M9999;4;;3.44;1;;;
SMURSAMU_P;2013;160000311;160000485;N2223;7;;0.7;1;;;
SMURSAMU_P;2013;160000311;160000485;N9999;7;;0.7;1;;;
SMURSAMU_P;2013;160000337;160000493;M1140;;;;1;;;
SMURSAMU_P;2013;160000337;160000493;M9999;8;;1.67;1;;;
SMURSAMU_P;2013;160000337;160000493;MREG;;;;1;;;
SMURSAMU_P;2013;160000337;160000493;N1220;3;;0.55;1;;;
SMURSAMU_P;2013;160000337;160000493;N2120;2;;0.15;1;;;
SMURSAMU_P;2013;160000337;160000493;N2223;10;3;9.92;1;;;
SMURSAMU_P;2013;160000337;160000493;N2500;8;;2.01;;;;
SMURSAMU_P;2013;160000337;160000493;N2620;;;;1;;;
SMURSAMU_P;2013;160000337;160000493;N3120;;;;1;;;
SMURSAMU_P;2013;160000337;160000493;N9999;23;3;6.12;1;;;
SMURSAMU_P;2013;160015368;160014411;M9999;5;3;3.37;1;;;
SMURSAMU_P;2013;160015368;160014411;N2120;1;;0.25;1;;;
SMURSAMU_P;2013;160015368;160014411;N2223;5;;5.49;1;;;
SMURSAMU_P;2013;160015368;160014411;N2620;5;;2.5;0;;;
SMURSAMU_P;2013;160015368;160014411;N9999;11;;8.24;1;;;
SMURSAMU_P;2013;170000038;170780050;M9999;5;;4.43;1;;;
SMURSAMU_P;2013;170000038;170780050;N2120;1;;0.47;1;;;
SMURSAMU_P;2013;170000038;170780050;N2223;7;;6.49;1;;;
SMURSAMU_P;2013;170000038;170780050;N9999;7;;6.49;1;;;
SMURSAMU_P;2013;170000087;170023279;M9999;7;0;7.18;1;4;1;4.52
SMURSAMU_P;2013;170000087;170023279;MREG;;;;;4;1;4.52
SMURSAMU_P;2013;170000087;170023279;N1220;;;;;21;5;23.77
SMURSAMU_P;2013;170000087;170023279;N2120;1;0;0.25;;1;0;0.5
SMURSAMU_P;2013;170000087;170023279;N2223;9;4;11.66;;;;
SMURSAMU_P;2013;170000087;170023279;N9999;10;4;11.91;;22;5;24.27
SMURSAMU_P;2013;170000095;170780167;M9999;6;1;4.41;1;;;
SMURSAMU_P;2013;170000095;170780167;N1220;0;1;0.1;1;;;
SMURSAMU_P;2013;170000095;170780167;N2120;0;1;0.1;1;;;
SMURSAMU_P;2013;170000095;170780167;N2223;2;1;2.9;1;;;
SMURSAMU_P;2013;170000095;170780167;N2620;;;;1;;;
SMURSAMU_P;2013;170000095;170780167;N9999;2;3;3.1;1;;;
SMURSAMU_P;2013;170000103;170780175;M9999;3;1;3.34;1;;;
SMURSAMU_P;2013;170000103;170780175;N1220;1;;0.25;1;;;
SMURSAMU_P;2013;170000103;170780175;N2120;2;;0.74;1;;;
SMURSAMU_P;2013;170000103;170780175;N2223;9;3;9.5;0;;;
SMURSAMU_P;2013;170000103;170780175;N9999;24;3;22.34;;;;
SMURSAMU_P;2013;170000129;170780191;M9999;6;;1;1;;;
SMURSAMU_P;2013;170000129;170780191;N2223;1;;0.75;1;;;
SMURSAMU_P;2013;170000129;170780191;N2500;1;;0.67;;;;
SMURSAMU_P;2013;170000129;170780191;N9999;7;1;6.75;1;;;
SMURSAMU_P;2013;170000152;170780225;M9999;4;1;4.69;1;;;
SMURSAMU_P;2013;170000152;170780225;N2120;0;0;0.25;1;;;
SMURSAMU_P;2013;180000010;180000028;M9999;13;1;20.13;1;;;
SMURSAMU_P;2013;180000010;180000028;MREG;;;;1;;;
SMURSAMU_P;2013;180000010;180000028;N1220;;;;;3;;1.99
SMURSAMU_P;2013;180000010;180000028;N2223;6;;6;;;;
SMURSAMU_P;2013;180000010;180000028;N2500;;;;;2;;2
SMURSAMU_P;2013;180000010;180000028;N9999;15;;8.77;;16;;13.99
SMURSAMU_P;2013;180000200;180000051;M9999;8;;4;1;;;
SMURSAMU_P;2013;180000200;180000051;N2120;1;;0.2;1;;;
SMURSAMU_P;2013;180000200;180000051;N2223;5;1;4.28;1;;;
SMURSAMU_P;2013;180000200;180000051;N9999;7;1;4.68;1;;;
SMURSAMU_P;2013;180000283;180000069;M9999;6;1;3.79;1;;;
SMURSAMU_P;2013;180000283;180000069;N2223;4;;2.9;1;;;
SMURSAMU_P;2013;180000283;180000069;N9999;4;;2.9;1;;;
SMURSAMU_P;2013;190000018;190000042;M9999;12;0;2.54;1;;;
SMURSAMU_P;2013;190000018;190000042;MREG;1;;0.4;1;;;
SMURSAMU_P;2013;190000018;190000042;N2120;1;;0.1;;;;
SMURSAMU_P;2013;190000018;190000042;N2223;8;;7.16;;;;
SMURSAMU_P;2013;190000018;190000042;N9999;21;;18.65;;;;
SMURSAMU_P;2013;190000026;190000059;M9999;11;;4.33;1;10;;1.39
SMURSAMU_P;2013;190000026;190000059;N1220;;2;0.5;1;10;;9.75
SMURSAMU_P;2013;190000026;190000059;N2120;;1;0.2;1;;1;0.47
SMURSAMU_P;2013;190000026;190000059;N2223;3;;3;0;;;
SMURSAMU_P;2013;190000091;190000075;M1140;;;;1;;;
SMURSAMU_P;2013;190000091;190000075;M9999;6;;6.87;1;3;;3
SMURSAMU_P;2013;190000091;190000075;MREG;;;;1;3;;3
SMURSAMU_P;2013;190000091;190000075;N1220;1;1;1.8;0;;;
SMURSAMU_P;2013;190000091;190000075;N2120;1;;1;0;;;
SMURSAMU_P;2013;190000091;190000075;N2223;19;1;15.8;1;19;1;15.8
SMURSAMU_P;2013;190000091;190000075;N2500;13;3;14.4;;;;
SMURSAMU_P;2013;190000091;190000075;N2620;;;;1;;;
SMURSAMU_P;2013;190000091;190000075;N3120;;;;1;;;
SMURSAMU_P;2013;190000091;190000075;N9999;;;;1;;;
SMURSAMU_P;2013;210987558;210780581;M9999;8;14;15.6;0;5;;4
SMURSAMU_P;2013;210987558;210780581;N1220;1;;0.4;0;1;;0.4
SMURSAMU_P;2013;210987558;210780581;N2120;2;;0.7;0;1;;0.5
SMURSAMU_P;2013;210987558;210780581;N2223;25;;16.7;;;;
SMURSAMU_P;2013;210987558;210780581;N2500;1;;0.5;;1;;0.5
SMURSAMU_P;2013;210987558;210780581;N2620;19;;18.75;1;;;
SMURSAMU_P;2013;210987558;210780581;N9999;51;;39.77;0;18;5;21
SMURSAMU_P;2013;210987657;210780714;M9999;1;;0.5;1;;;
SMURSAMU_P;2013;210987657;210780714;N2120;1;;0.04;1;;;
SMURSAMU_P;2013;210987657;210780714;N2223;2;;1.25;1;;;
SMURSAMU_P;2013;210987657;210780714;N9999;11;;9.96;1;;;
SMURSAMU_P;2013;210987665;210010070;M9999;7;2;3.4;1;;;
SMURSAMU_P;2013;210987673;210010070;M9999;8;1;3.4;1;;;
SMURSAMU_P;2013;210987699;210780706;M9999;5;2;4.41;1;;;
SMURSAMU_P;2013;210987699;210780706;N2120;0;0;0;1;;;
SMURSAMU_P;2013;210987699;210780706;N2223;3;0;2.5;1;;;
