BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2013;620000034;620100057;1;1;0;0;0;;0;1;504;504;504;4;4;;;3662;3329;684;94;522;;7607;2134;341;49;957;787;2348;205;424;1457;891;768065;707000;;299948;180392;0;454;240;214;1134;0;1;0;4954;0
SMURSAMU;2013;620000224;620100651;1;1;0;0;0;;0;0;103;238;238;1;3;;;2564;64;;;;;2628;1042;1;15;476;550;2064;170;462;1385;679;;;;;;;;;;;;;;;
SMURSAMU;2013;620000257;620100685;1;1;0;0;0;;0;0;;563;361;2;3;0;0;3775;114;16;;;;3889;1087;387;20;567;1087;2002;;;1125;877;;;;;;;;;;;;;;;
SMURSAMU;2013;620000323;620101337;1;1;0;0;0;;0;0;;;0;;2;;;1525;306;;;;;1831;337;116;25;18;178;1188;140;278;1070;118;;;;;;;;;;;;;;;
SMURSAMU;2013;620000349;620101360;1;1;0;0;0;;0;0;420;756;;;;;;1330;15;;;;;1345;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;620000653;620103440;1;1;0;0;0;620000653;0;0;168;168;0;;2;;;1432;0;1;;;;1432;320;144;14;107;33;1148;;;969;179;;;;;;;;;;;;;;;
SMURSAMU;2013;620003202;620103432;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;1231;72;0;0;0;0;1303;220;122;8;72;18;1099;121;343;887;212;;;;;;;;;;;;;;;
SMURSAMU;2013;630000404;630780989;1;1;0;0;0;630780989;0;1;411;336;540;3;2;0;0;4397;2421;73;187;127;;7132;750;237;2;363;148;5394;834;1051;4593;801;370000;;;116734;116726;45797;416;168;247;540;1;0;0;873;1
SMURSAMU;2013;630000412;630780997;1;1;0;0;0;;0;0;168;40;168;0;1;0;0;346;14;0;0;0;0;360;97;31;0;22;40;254;9;60;122;132;;;;;;;;;;;;;;;
SMURSAMU;2013;630000420;630781003;1;1;0;0;0;;0;0;336;331;168;0;1;0;0;754;32;19;0;0;0;786;427;62;88;;;540;;;327;213;;;;;;;;;;;;;;;
