BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2013;020001087;020004495;GEN;336;672;0;;12763;1264;3785;1490;;;0;262;;281;119;88;;4;1460;1157;697;509;0;0
URGENCES2;2013;020010047;020001632;GEN;168;168;1;IAO;13291;836;2618;1663;770;;;;;92;;;;5;1279;334;331;3;1;0
URGENCES2;2013;030000061;030780092;GEN;336;282;1;IAO;33807;3687;9809;9962;2693;1554;1;1;0;;;;;8;2920;2419;78;2479;1;1
URGENCES2;2013;030000079;030780100;GEN;219;361;1;IAO;36012;4199;14103;8939;2805;1733;9;197;0;770;172;34;;6;2190;2446;634;1903;1;0
URGENCES2;2013;030000087;030780118;GEN;336;672;1;IAO;33389;7179;;8940;;;;308;;;;;;10;3650;3993;779;3896;0;0
URGENCES2;2013;030781116;030000426;GEN;168;228;1;IAO;10573;1841;1125;3128;1078;55;;;;77;9;6;;4;1460;195;177;18;1;0
URGENCES2;2013;040000093;040780215;GEN;494;753;1;IAO;27730;2352;7270;6671;1606;765;;;;;;;;8;2920;3769;1778;2116;1;1
URGENCES2;2013;040000135;050002948;GEN;336;38;1;IAO;15104;1422;3576;2216;724;85;6;7;0;387;;;;4;1460;1041;262;801;0;1
URGENCES2;2013;040000911;040788879;GEN;11310;;;;18520;;;4458;;;;365;;368;;;;4;4;2102;917;1275;0;0
URGENCES2;2013;050000231;050000116;GEN;207;210;1;IAO;17488;1002;4228;3296;;;;;;114;;;;2;;606;362;245;0;1
URGENCES2;2013;050000256;050000124;GEN;168;168;1;IAO;9246;765;2653;;;0;;;0;;;;;2;;478;253;228;1;0
URGENCES2;2013;050000348;050002948;GEN;412;630;1;IAO;26516;3131;5333;8879;2134;983;0;0;0;;;;;9;3285;3096;1421;1732;0;1
URGENCES2;2013;060000478;060780897;GEN;;;1;IAO;44888;3921;17093;8502;2682;1385;43;1468;245;319;45;53;;8;2920;2241;1425;823;;
URGENCES2;2013;060000478;060780897;PED;;;;;7407;;;;;;;;;;;;;;;266;226;43;;
URGENCES2;2013;060000510;060780954;GEN;694;612;1;IAO;39557;6058;7587;10610;3588;725;37;442;6;559;120;49;;12;4380;3409;835;3570;1;
URGENCES2;2013;060000544;060780988;GEN;497;600;1;MAO;46412;5982;5865;;;;;;;;;;;10;3650;10328;6847;4419;0;1
URGENCES2;2013;060000544;060780988;PED;60;70;1;MAO;6573;;;;;;;;;;;;243;4;1460;243;240;3;;
URGENCES2;2013;060001450;060785011;GEN;660;1512;1;IAO;78711;;;18375;;;;93;;911;;;;10;3650;4078;2716;1368;1;1
URGENCES2;2013;060002102;060791761;GEN;336;238;0;;18260;2628;2986;2485;1399;53;17;28;0;707;198;54;;2;730;600;195;427;0;1
URGENCES2;2013;060019288;060017019;PED;;;1;IAO;28174;;;;;;;;;;;;2854;0;1267;1733;748;1001;;
URGENCES2;2013;060780491;060790797;GEN;210;252;0;;20464;1854;1741;2067;525;12;0;0;0;105;24;10;;0;0;0;0;0;1;0
URGENCES2;2013;060780517;060000239;GEN;33;45;1;IAO;31752;2896;2120;;;;;;;;;;;5;1760;930;897;33;1;1
URGENCES2;2013;060780715;060000361;GEN;280;298;1;IAO;27852;3776;2193;4062;1335;45;;;;177;21;18;;4;1098;0;0;0;1;1
URGENCES2;2013;060780723;060004959;GEN;168;168;0;;15737;1101;662;1539;119;;;;;;;;;8;2920;1664;119;1850;1;0
URGENCES2;2013;060780947;060800174;PED;347;924;1;IAO;27601;;;;;;;;;;;;2923;7;1288;1493;555;963;;
URGENCES2;2013;070000013;070002878;GEN;336;168;1;IAO;13979;1638;2786;2721;1028;76;;;;;;;;5;1825;930;160;1207;1;1
URGENCES2;2013;070000179;070780358;GEN;476;336;1;IAO;26613;3250;7783;5248;;;;;;;;;;10;3650;3840;567;3649;1;1
URGENCES2;2013;070000609;070005566;GEN;425;509;1;IAO;25667;3284;5567;;;;;;;;;;;5;1825;807;68;749;1;1
URGENCES2;2013;070780424;070000245;GEN;168;283;1;IAO;15497;;;2221;;;;;;15;;;;3;1095;318;76;246;1;1
URGENCES2;2013;080000110;080000037;GEN;218;455;1;IAO;20614;2805;5957;8164;1708;1092;4;4;0;148;8;6;;3;1095;3005;2012;1005;1;0
URGENCES2;2013;080000219;080001969;GEN;168;168;0;;11699;1238;3320;579;222;14;2;83;1;157;16;38;;4;1460;2259;1560;705;1;0
URGENCES2;2013;080000276;080001969;GEN;168;168;0;;6555;696;1542;283;152;1;5;7;0;36;1;11;;2;730;1166;826;361;1;0
URGENCES2;2013;080000425;080000615;GEN;417;1195;1;IAO;49316;4845;15689;9463;2564;2158;0;29;0;1287;168;29;;8;2920;7547;3980;3759;1;0
URGENCES2;2013;090000175;090781774;GEN;410;618;1;IAO;34280;3829;10019;7314;2056;1066;;1;;390;53;47;;6;2190;2408;760;1841;0;1
URGENCES2;2013;090000183;090781816;GEN;336;336;0;;9866;2071;1546;2679;;;;;;;;;;3;1095;1228;638;607;0;1
URGENCES2;2013;090001629;090780107;GEN;8760;8760;1;IAO;4815;510;1323;159;115;0;2;3;0;;;;;;;0;0;0;1;1
URGENCES2;2013;100000090;100000017;GEN;504;899;1;IAO;51202;5882;12262;15782;3871;2282;0;12;9;231;33;45;;15;5475;3772;647;3987;1;1
URGENCES2;2013;100000199;100006279;GEN;126;282;0;;16527;2423;3423;2157;908;31;5;34;0;671;;;;4;1460;720;191;647;1;0
URGENCES2;2013;110000023;110780061;GEN;238;700;1;IAO;29700;4844;6635;7483;2618;1196;;;;332;97;28;;9;3285;2686;974;2024;;
URGENCES2;2013;110000049;110780087;GEN;168;168;1;IAO;12378;3200;1101;;;;;;;;;;;2;730;492;195;314;0;1
URGENCES2;2013;110000056;110780137;GEN;217;503;1;IAO;40136;3888;11117;7976;2361;1734;;;;1102;;;;9;3285;3931;1867;2612;0;0
URGENCES2;2013;110780228;110000114;GEN;168;252;0;;16965;832;3938;1958;;;;;;;;;;4;1460;231;75;162;;
URGENCES2;2013;110780483;110000155;GEN;168;292;1;IAO;19578;1027;5474;1466;296;68;;;;;;;;2;;40;19;21;;
URGENCES2;2013;120000039;120780044;GEN;;;1;IAO;28521;4005;7260;7999;2581;1093;5;54;47;2069;908;77;;4;1460;1651;338;1397;;
URGENCES2;2013;120000054;120780069;GEN;186;186;1;MAO;13686;1841;2900;3880;1173;191;2;2;;;;;;2;730;584;313;277;1;0
URGENCES2;2013;120000070;120780085;GEN;336;208;1;IAO;11858;1736;2432;2142;702;43;8;11;0;274;108;37;;2;730;852;519;337;1;
URGENCES2;2013;120004569;120004528;GEN;168;177;0;IAO;16166;2400;3214;;;;;;;;;;;3;822;906;379;534;1;0
URGENCES2;2013;120004668;120004619;GEN;168;172;1;IAO;8703;1097;2065;1845;657;99;;;;267;54;60;;2;730;650;316;349;1;1
URGENCES2;2013;130000409;130041916;GEN;38584;64726;1;IAO;50219;6482;5047;14206;4546;337;26;31;;1063;79;18;;12;2859;7460;3482;4829;1;1
URGENCES2;2013;130000409;130041916;PED;168;168;0;;13090;;;;;;;;;;;;2272;2;730;139;117;22;;
URGENCES2;2013;130000565;130781446;GEN;260;516;1;IAO;27086;;;5649;;;;28;;;;;;8;2920;3638;1757;2091;0;1
URGENCES2;2013;130000565;130781446;PED;;;;;10061;;;;;;;;;;;;1184;1;365;108;106;2;;
URGENCES2;2013;130001225;130782634;GEN;380;671;1;IAO;38816;;;9098;;;;;;;;;;6;2190;1881;378;1643;1;0
URGENCES2;2013;130002215;130785512;GEN;257;297;0;;24321;2556;5247;3132;1429;108;0;0;0;532;74;116;;4;1460;1199;390;863;0;1
URGENCES2;2013;130002827;130789274;GEN;183;18;1;IAO;33521;1793;446;4962;1728;195;13;511;25;559;52;246;;3;1095;1984;1227;767;1;1
URGENCES2;2013;130002835;130789316;GEN;268;590;1;IAO;40738;3360;13019;8264;1992;1837;1;39;0;311;40;51;;10;3650;7002;3939;338;1;0
URGENCES2;2013;130002835;130789316;PED;;;;;;;;;;;;;;;;;;;;413;411;2;;
URGENCES2;2013;130043664;130002157;GEN;168;238;1;IAO;7834;379;899;836;152;13;;;;;;;;6;732;932;592;348;1;0
URGENCES2;2013;130780521;130786049;GEN;600;2311;;;51233;3772;2440;9101;2235;212;0;0;0;;;;;24;8755;5320;1076;7018;;
URGENCES2;2013;130780521;130786049;PED;600;2311;;;30805;;;;;;;;;;;;2735;2;730;1044;758;295;;
URGENCES2;2013;130781479;130000599;GEN;228;336;1;IAO;14110;1722;1908;3707;259;13;10;17;;28;10;2;;2;730;186;144;42;1;1
URGENCES2;2013;130782071;130002454;GEN;168;252;0;;14985;442;3791;1341;289;62;;;;41;6;11;;6;2190;411;327;86;0;1
URGENCES2;2013;130782147;130000979;GEN;336;420;1;IAO;32926;2905;5827;4179;1217;114;;;;378;59;112;;6;2190;912;332;581;1;1
URGENCES2;2013;130783236;130786049;GEN;;;;;66058;4872;2158;7030;1986;115;0;0;0;;;;;18;6570;5718;2063;5708;0;0
URGENCES2;2013;130783293;130786049;GEN;;;1;IAO;12534;1959;103;3797;1103;9;0;0;0;;;;;6;2190;4301;1869;2856;0;1
URGENCES2;2013;130784713;130038847;GEN;168;252;1;IAO;13286;1218;1106;2031;548;5;1;3;0;10;8;2;;4;1460;54;0;54;1;1
URGENCES2;2013;130785355;130002157;GEN;168;238;0;;8869;657;596;1113;280;6;;;;;;;;6;1458;532;374;159;1;0
URGENCES2;2013;130785363;130042930;GEN;168;235;0;;9163;362;597;932;115;28;;;;;;;;4;848;576;405;172;1;0
URGENCES2;2013;130785652;130014228;GEN;430;566;1;IAO;24291;3484;2215;7987;2399;1118;0;0;0;0;0;0;;5;1825;638;637;1;0;0
URGENCES2;2013;130785652;130014228;PED;420;415;1;IAO;25404;;;;;;;;;;;;1817;6;1916;8254;6182;2153;;
URGENCES2;2013;130786361;130002447;GEN;168;266;0;;14728;;;2477;;;;;;;;;;3;1095;649;548;102;0;0
URGENCES2;2013;130786742;750821092;GEN;352;415;1;IAO;14283;2582;468;5234;988;169;4;20;1;61;0;0;;9;3285;3632;2321;1346;1;1
URGENCES2;2013;130804297;130786049;PED;;;;;34835;;;;;;;;;;;;4470;2;730;749;598;155;;
URGENCES2;2013;140000027;140000035;GEN;268;552;1;IAO;24199;3924;4180;8195;2614;117;;1;;;;;;9;3285;2552;584;2284;1;1
URGENCES2;2013;140000076;140000084;GEN;168;168;0;;7203;705;2315;988;485;5;1;1;0;255;40;43;;2;730;384;106;332;0;0
URGENCES2;2013;140000209;140000100;GEN;472;1578;1;IAO;51788;7513;1161;16361;4294;128;13;432;20;1621;510;19;;14;5110;9725;3442;7394;1;1
URGENCES2;2013;140000209;140000100;PED;227;504;1;IAO;23980;;;;;;;;;;;;2840;3;1095;1281;642;639;;
URGENCES2;2013;140000233;140000118;GEN;238;154;1;IAO;17692;2040;7005;4753;1492;999;;;;;;;;2;184;91;24;67;1;0
URGENCES2;2013;140000373;140000159;GEN;;;0;;9900;1830;1898;3389;1421;24;5;150;2;523;74;138;;2;730;1024;175;952;1;1
URGENCES2;2013;140002452;140025800;GEN;168;267;1;IAO;13792;765;2248;759;;;0;0;0;;;;;3;1095;486;390;96;1;1
URGENCES2;2013;140016759;140003146;GEN;168;301;1;IAO;19327;1377;5103;1102;;;;;;;;;;6;6;853;600;253;1;0
URGENCES2;2013;140017237;140003278;GEN;223;347;1;IAO;28192;1646;7925;2338;493;104;;;;;;;;5;1825;1028;740;298;1;0
URGENCES2;2013;140024886;140000092;GEN;;1008;1;IAO;19832;2409;5332;5627;1567;764;1;31;;460;94;50;;4;1460;1408;324;1215;1;0
URGENCES2;2013;140026410;140026279;GEN;336;392;1;IAO;15331;859;2664;3121;;;;;;763;;;;5;1825;1631;305;1468;0;0
URGENCES2;2013;150000032;150780088;GEN;66;168;0;;12244;2234;2705;2838;;;;90;;280;;;;0;0;0;0;0;1;1
URGENCES2;2013;150000040;150780096;GEN;242;525;1;IAO;24318;3145;395;7614;1384;58;5;21;0;161;10;2;;6;2190;1615;374;1355;1;1
URGENCES2;2013;150000164;150780468;GEN;;;0;;7273;1350;1459;1357;508;69;1;1;0;76;19;23;;3;1095;1603;344;1321;0;0
URGENCES2;2013;160000253;160000451;GEN;428;1120;1;IAO;38886;5898;5317;12080;3472;353;34;38;0;421;87;23;;10;3650;5236;2691;2643;1;1
URGENCES2;2013;160000253;160000451;PED;168;320;0;;9824;;;;;;;;;;;;1439;4;1460;838;240;612;;
URGENCES2;2013;160000303;160006037;GEN;168;252;0;;8342;1888;1627;2170;;;;;;;;;;2;730;644;167;557;1;1
URGENCES2;2013;160000311;160000485;GEN;84;160;1;IAO;9099;1168;2148;920;566;0;14;17;0;401;55;57;;2;730;711;211;592;1;0
URGENCES2;2013;160000337;160000493;GEN;168;210;0;;9790;1500;2222;1852;871;49;8;16;0;337;0;0;;3;1095;1436;847;749;1;0
URGENCES2;2013;160015368;160014411;GEN;168;168;1;IAO;16032;2390;3248;4579;1713;96;2;5;;1036;293;43;;7;1951;2759;1383;1467;1;0
URGENCES2;2013;170000038;170780050;GEN;167;174;0;;13567;1942;2765;3253;1071;96;1;3;0;271;46;39;;4;1460;1181;518;683;1;0
URGENCES2;2013;170000087;170023279;GEN;419;963;1;IAO;45719;7306;6529;15546;4595;483;50;703;35;148;19;6;;9;3285;4257;1443;3234;1;1
URGENCES2;2013;170000095;170780167;GEN;109;191;0;;11443;2028;1921;2810;1325;70;10;15;0;439;69;81;;3;1095;989;429;581;1;1
URGENCES2;2013;170000103;170780175;GEN;168;777;1;IAO;23440;3640;3197;6956;2544;196;2;96;3;209;27;11;;8;2920;2369;434;2712;1;
URGENCES2;2013;170000103;170780175;PED;168;221;0;;8497;;;;;;;;;;;;1988;2;730;414;269;146;;
URGENCES2;2013;170000152;170780225;GEN;521;480;1;IAO;29121;2865;5409;6150;1890;590;21;25;;214;23;;;8;2920;3464;459;3281;1;0
URGENCES2;2013;170022065;170022057;GEN;336;504;1;IAO;19528;3905;2703;;;;;;;4504;2226;51;;0;0;0;0;0;0;0
URGENCES2;2013;170022818;170022057;GEN;84;84;1;IAO;4085;499;890;;;;;;;317;86;16;;0;;0;0;0;1;0
URGENCES2;2013;170022826;170022057;GEN;84;136;1;IAO;10067;1056;1867;;;;;;;1824;437;89;;0;;0;0;0;1;0
URGENCES2;2013;180000010;180000028;GEN;511;;1;IAO;47136;1998;1998;12230;947;506;0;1;0;;;;;17;6205;3792;406;4931;0;1
URGENCES2;2013;180000200;180000051;GEN;74;308;1;IAO;19663;2108;4497;4525;1352;711;;;;290;25;4;;4;1460;2189;494;1989;1;1
URGENCES2;2013;180000283;180000069;GEN;168;284;1;IAO;12994;1934;2715;1733;870;2;34;71;;;;;;5;1825;2143;1257;1006;0;1
URGENCES2;2013;190000018;190000042;GEN;145;742;0;;30801;4565;6751;9585;3305;1003;;;;;;;;9;3285;2529;384;2329;1;1
URGENCES2;2013;190000026;190000059;GEN;203;;1;IAO;18400;2622;3662;4079;346;1649;26;552;32;224;34;30;;6;2190;1427;258;1292;1;
URGENCES2;2013;190000091;190000075;GEN;;;;;11388;1938;2477;3024;1336;102;;175;;;;;;1;365;228;95;133;1;0
URGENCES2;2013;210780136;210000030;GEN;168;394;1;IAO;12475;1638;1762;772;258;21;2;13;;832;305;56;;4;1460;2546;1856;703;1;1
URGENCES2;2013;210987558;210780581;GEN;611;1260;1;MAO;41623;8363;41;17496;;;;;;;;;;15;5475;5748;2888;2909;1;0
URGENCES2;2013;210987558;210780581;PED;104;462;0;;21418;;;;;;;;;;;;;4;1460;2491;1527;981;;
URGENCES2;2013;210987657;210780714;GEN;376;756;1;MAO;22676;2653;5472;5905;1882;734;2;4;0;554;73;38;;6;2190;2715;946;2035;0;0
URGENCES2;2013;210987665;210010070;GEN;168;336;0;;10880;;;653;;;;;;108;;;;2;730;1546;1412;136;0;0
URGENCES2;2013;210987673;210010070;GEN;168;245;0;;7122;;;273;;;;1;;172;;;;2;730;1063;906;158;0;0
URGENCES2;2013;210987699;210780706;GEN;336;487;1;IAO;19619;2151;5454;3961;1088;438;17;400;11;469;198;31;;4;1460;1267;548;751;1;0
URGENCES2;2013;220000012;220000020;GEN;980;1047;1;IAO;63326;7558;19740;20715;5500;3742;;;;432;53;17;;12;4380;3889;953;3359;0;1
URGENCES2;2013;220000012;220000020;PED;;;;;;;;;;;;;;;;;;;;738;518;244;;
URGENCES2;2013;220000095;220000046;GEN;1988;315;1;IAO;26836;4046;7513;7217;1088;2021;1;8;0;2;0;0;;;;0;0;0;1;1
URGENCES2;2013;220000343;220000079;GEN;336;350;0;;20781;3063;4234;6392;2319;136;;;;;;;;6;2190;1760;549;1329;1;1
URGENCES2;2013;220000368;220000103;GEN;368;574;1;IAO;23185;2936;;;;;;;;410;;;;6;2190;2182;1110;1102;0;0
URGENCES2;2013;220000541;220000152;GEN;336;252;0;;14106;1999;3453;3694;1311;457;10;18;;614;98;53;;4;1460;577;450;127;0;0
URGENCES2;2013;230000820;230780041;GEN;456;420;1;IAO;18360;4408;3391;6468;;;;;;543;;;;6;1460;1613;759;890;1;0
URGENCES2;2013;230004657;230780058;GEN;168;168;0;;2975;650;596;207;;;;;;433;;;;2;730;312;178;162;1;0
URGENCES2;2013;230780199;230000887;GEN;168;168;0;;1805;373;267;;;;;;;;;;;2;302;372;194;217;;
URGENCES2;2013;240000190;240000596;GEN;168;274;0;IAO;10699;;;2061;;;;;;159;;;;2;;407;381;26;;
URGENCES2;2013;240000372;240000059;GEN;336;441;1;IAO;28346;3907;7024;7416;2481;991;;;;;;;;4;4160;3104;730;2576;1;1
URGENCES2;2013;240000489;240000117;GEN;420;840;1;IAO;34513;6216;3765;;;;;;;;;;;14;5110;5854;1478;5763;0;
URGENCES2;2013;240000489;240000117;PED;168;119;1;IAO;9497;;;;;;;;;;;;1813;3;1095;338;326;16;;
URGENCES2;2013;240000687;240000448;GEN;168;754;1;IAO;13952;1827;3115;3289;1172;98;11;136;4;346;50;95;;4;1460;724;202;593;1;0
URGENCES2;2013;250000114;900000365;GEN;380;952;1;IAO;36580;4465;4955;9145;;;;;;;;;;9;3285;3004;475;2927;;1
URGENCES2;2013;250000700;250000452;GEN;191;268;1;IAO;25285;2250;6595;6007;1317;1265;3;126;0;2568;1287;91;;6;2190;1543;422;1260;1;0
URGENCES2;2013;250006954;250000015;GEN;434;1043;1;IAO;27142;4882;634;11212;3328;156;1;6;1;;;;;3;1095;1153;476;1193;1;1
URGENCES2;2013;250006954;250000015;PED;170;359;1;IAO;16904;;;;;;;;;;;;3266;4;1460;997;229;890;;
URGENCES2;2013;260000013;260000021;GEN;336;504;1;IAO;56229;;;10958;;;;13;;;;;;15;5475;4199;796;4356;0;1
URGENCES2;2013;260000120;260016910;GEN;238;420;1;MAO;24716;3094;6483;5967;;;;82;;497;;;;6;2190;1508;122;2288;1;0
URGENCES2;2013;260000138;260000047;GEN;360;593;1;IAO;40099;3640;9389;8548;2153;1478;;;;;;;;10;3650;4563;1172;4252;0;0
URGENCES2;2013;260000146;260000054;GEN;168;177;1;IAO;8565;511;2389;939;;;;;;85;;;;2;730;361;158;213;0;
URGENCES2;2013;260000203;260016910;GEN;236;336;1;MAO;9884;1845;2229;1540;;;;53;;219;;;;2;730;552;176;376;0;0
URGENCES2;2013;260000286;260000104;GEN;168;168;1;IAO;7384;;;1069;;;;;;;;;;2;730;300;178;176;0;0
URGENCES2;2013;270000045;270000060;GEN;202;248;0;;18988;2221;3909;3748;1253;164;3;4;;;;;;4;1460;1563;333;1371;0;0
URGENCES2;2013;270000326;270000680;GEN;168;424;1;IAO;17271;1021;4691;1698;737;785;;;;124;83;38;;4;1460;25;3;152;1;1
URGENCES2;2013;270000359;270023724;GEN;476;556;1;IAO;37574;3942;3964;7244;2094;233;0;0;0;;;;;10;3650;2993;1366;1914;0;0
URGENCES2;2013;270000359;270023724;PED;;252;1;IAO;14367;;;;;;;;;;;;1519;0;0;0;0;0;;
URGENCES2;2013;270000367;270000086;GEN;168;168;0;;18097;;;2834;;;;3;;213;;;;2;730;694;185;553;;
URGENCES2;2013;270000391;760024042;GEN;5491;233;1;IAO;13474;1049;3879;936;;;;8;;40;;;;;;0;0;0;0;0
URGENCES2;2013;270000425;270000102;GEN;168;337;0;;17856;;;1036;;;;;;846;;;;3;1095;1772;931;962;0;0
URGENCES2;2013;270000441;270000110;GEN;168;168;0;;14165;1284;5386;1436;;;;121;;456;;;;4;1460;1023;258;946;1;0
URGENCES2;2013;270000458;270023724;GEN;238;420;1;IAO;21840;2218;4630;4348;1355;138;8;10;0;;;;;6;2190;1687;514;1290;1;1
URGENCES2;2013;280000084;280000183;GEN;672;1029;1;IAO;53540;3899;20201;10080;2426;1717;6;201;11;;;;;11;4015;2750;749;2305;0;0
URGENCES2;2013;280000662;280500075;GEN;406;490;1;IAO;16025;2370;3569;4803;1500;25;0;0;;370;9;;;5;1825;1211;263;1023;0;1
URGENCES2;2013;280502998;280000589;GEN;168;168;0;;14697;;;3091;;;;;;901;;;;;;0;0;0;0;0
URGENCES2;2013;280504267;280000134;GEN;576;798;1;MAO;54819;5243;16898;12865;3400;2336;0;0;0;283;67;8;;16;5840;6160;2463;4346;1;1
URGENCES2;2013;280505777;280001199;GEN;168;240;0;;16942;;;;;;;;;;;;;8;2920;731;90;646;1;
URGENCES2;2013;290000025;290020700;GEN;336;879;1;IAO;40501;15260;5760;12068;3279;497;20;25;0;796;66;13;;12;4380;2397;787;1689;1;1
URGENCES2;2013;290000025;290020700;PED;168;289;0;;7937;;;;;;;;;;;;2225;2;730;592;541;51;;
URGENCES2;2013;290000033;290021542;GEN;273;525;1;IAO;31038;4422;7182;9956;3124;1211;53;1527;64;88;8;2;;10;2530;2188;780;1459;1;1
URGENCES2;2013;290000058;290000017;PED;223;634;1;IAO;24238;;;;;;;;;;;;3525;0;0;0;0;0;;
URGENCES2;2013;290000066;290020700;GEN;70;147;1;IAO;6792;1053;1449;1132;563;46;5;5;0;35;8;1;;0;0;0;0;0;1;1
URGENCES2;2013;290000173;290000041;GEN;195;63;0;;15791;1988;3797;3121;1326;86;17;351;6;87;23;5;;4;1464;991;190;880;0;0
URGENCES2;2013;290000181;290000074;GEN;168;270;1;IAO;13095;2211;2386;3826;1536;46;1;282;0;242;19;71;;2;730;953;565;390;1;1
URGENCES2;2013;290000256;290000017;GEN;336;175;0;;12042;2981;1782;3532;1837;74;;;;;;;;4;1460;982;147;943;1;0
URGENCES2;2013;290000728;750821092;GEN;228;346;1;IAO;18862;1954;625;4513;1335;46;;;;;;;;4;1460;1839;443;1445;1;1
URGENCES2;2013;290000785;220020739;GEN;336;420;1;IAO;15715;2719;3384;3423;1599;79;14;29;0;0;0;0;;2;732;286;139;147;1;0
URGENCES2;2013;290000934;290000306;GEN;191;420;1;IAO;19736;2303;4227;3766;1660;17;60;362;4;224;62;4;;6;2190;1491;442;1051;0;0
URGENCES2;2013;290004324;290000017;GEN;504;1158;1;IAO;40527;9227;;17600;6151;;;;;;;;;16;5840;5202;633;5301;1;1
URGENCES2;2013;290019777;290022508;GEN;244;493;1;IAO;30995;1687;9238;2694;522;232;;;;493;84;70;;6;2190;2854;2456;406;1;0
URGENCES2;2013;2A0000022;2A0000014;GEN;240;324;1;IAO;33525;3787;6657;11259;3416;1129;1;1;0;;;;;4;1460;1900;750;1557;1;0
URGENCES2;2013;2A0000154;2A0000204;GEN;168;186;0;;17941;566;4481;1992;;;;;;209;;;;4;;346;207;141;1;1
URGENCES2;2013;2B0000012;2B0000020;GEN;406;532;1;IAO;28481;3087;5811;;;;;;;;;;;4;1460;1132;306;926;1;0
URGENCES2;2013;2B0005359;2B0005342;GEN;168;168;1;IAO;11273;;;1276;;;;;;;;;;2;;805;360;473;0;0
URGENCES2;2013;300000023;300780046;GEN;336;574;1;IAO;37713;5499;8055;9489;2878;1146;15;579;7;766;292;41;;8;2920;3200;825;2529;1;1
URGENCES2;2013;300000031;300780053;GEN;208;176;1;IAO;25149;2663;6616;6347;1581;892;;;;;;;;6;2190;1771;686;1190;0;1
URGENCES2;2013;300780137;920028396;GEN;168;168;;;9678;540;2334;0;;;;0;;0;;;;2;730;98;48;50;0;0
URGENCES2;2013;300782117;300780038;GEN;6790;1066;1;IAO;54013;6884;7282;12772;;;;456;;439;;;;10;3650;3528;570;3448;1;1
URGENCES2;2013;300782117;300780038;PED;946;0;1;IAO;10642;;;;;;;;;;;;1937;;;0;0;0;;
URGENCES2;2013;300788502;300788486;GEN;228;256;1;IAO;22541;990;6478;2082;276;198;0;0;0;0;0;0;;6;2190;257;145;113;1;1
URGENCES2;2013;310000310;310780671;GEN;336;420;1;IAO;20214;3211;4440;5711;2181;284;2;2;0;1304;;;;8;2920;1988;637;1383;1;
URGENCES2;2013;310016977;310781406;PED;375;1096;1;IAO;41853;;;;;;;;;;;;9337;13;4745;7608;5182;2450;;
URGENCES2;2013;310780101;310000039;GEN;168;252;0;;14222;1436;2655;2521;618;94;;;;;;;;3;1095;145;110;36;1;1
URGENCES2;2013;310780283;310000112;GEN;261;690;1;IAO;27249;;;6286;;;;;;;;;;15;5475;2416;136;3123;1;
URGENCES2;2013;310780382;310000179;GEN;168;168;0;;9099;1103;1700;1435;174;268;;;;55;6;10;;2;;21;9;12;1;1
