BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2013;050000256;050000124;NINF;11;;6.9;;
URGENCES_P;2013;050000348;050002948;M9999;23;4;21.83;;
URGENCES_P;2013;050000348;050002948;N1220;1;1;1.1;;
URGENCES_P;2013;050000348;050002948;N2120;4;0;1.34;;
URGENCES_P;2013;050000348;050002948;N2500;10;4;11.79;;
URGENCES_P;2013;050000348;050002948;N9999;37;20;44.28;;
URGENCES_P;2013;050000348;050002948;NINF;17;14;25.36;;
URGENCES_P;2013;060000478;060780897;N1220;1;0;1;;
URGENCES_P;2013;060000478;060780897;N2120;4;0;4.75;;
URGENCES_P;2013;060000478;060780897;N2500;14;0;13.7;;
URGENCES_P;2013;060000478;060780897;N3120;0;1;0.48;;
URGENCES_P;2013;060000478;060780897;N9999;62;2;60.12;;
URGENCES_P;2013;060000478;060780897;NINF;30;1;29.92;;
URGENCES_P;2013;060000510;060780954;M3020;1;;1;;
URGENCES_P;2013;060000510;060780954;M9999;14;7;14.21;3;1
URGENCES_P;2013;060000510;060780954;N1220;1;1;1.08;;0
URGENCES_P;2013;060000510;060780954;N2120;2;;1.67;2;1
URGENCES_P;2013;060000510;060780954;N2500;18;0;17.53;;
URGENCES_P;2013;060000510;060780954;N3120;1;;1;;
URGENCES_P;2013;060000510;060780954;N9999;53;5;55.47;;
URGENCES_P;2013;060000510;060780954;NINF;24;5;26.56;;0
URGENCES_P;2013;060000544;060780988;M1140;1;;0.4;;0
URGENCES_P;2013;060000544;060780988;M9999;14;;12.44;1;1
URGENCES_P;2013;060000544;060780988;N1220;3;;3.34;;
URGENCES_P;2013;060000544;060780988;N2120;1;;0.1;;0
URGENCES_P;2013;060000544;060780988;N2500;26;2;18.26;;
URGENCES_P;2013;060000544;060780988;N3120;1;;0.33;;
URGENCES_P;2013;060000544;060780988;N9999;72;5;48.94;;
URGENCES_P;2013;060000544;060780988;NINF;32;3;20.52;;1
URGENCES_P;2013;060001450;060785011;M3020;4;0;3.9;;
URGENCES_P;2013;060001450;060785011;M9999;32;9;23.33;;1
URGENCES_P;2013;060001450;060785011;N1220;11;1;9.49;;
URGENCES_P;2013;060001450;060785011;N2120;6;0;4.65;;
URGENCES_P;2013;060001450;060785011;N2500;41;3;43.3;;
URGENCES_P;2013;060001450;060785011;N2620;18;0;17.2;;
URGENCES_P;2013;060001450;060785011;N3120;2;0;0.51;;
URGENCES_P;2013;060001450;060785011;N9999;168;5;164.16;;
URGENCES_P;2013;060001450;060785011;NINF;55;0;50.64;;
URGENCES_P;2013;060002102;060791761;M9999;7;2;8.3;2;1
URGENCES_P;2013;060002102;060791761;N1220;1;1;1.6;;0
URGENCES_P;2013;060002102;060791761;N2120;1;0;1;2;1
URGENCES_P;2013;060002102;060791761;N2500;5;0;5;;
URGENCES_P;2013;060002102;060791761;N2620;2;;2;;0
URGENCES_P;2013;060002102;060791761;N9999;18;1;18.6;;
URGENCES_P;2013;060002102;060791761;NINF;9;0;9;;0
URGENCES_P;2013;060019288;060017019;M1140;0;0;4.56;;
URGENCES_P;2013;060019288;060017019;M9999;0;0;4.56;;
URGENCES_P;2013;060019288;060017019;N1220;0;0;1.25;;
URGENCES_P;2013;060019288;060017019;N2120;0;0;0.62;;
URGENCES_P;2013;060019288;060017019;N2500;0;0;11.83;;
URGENCES_P;2013;060019288;060017019;N9999;0;0;31.2;;
URGENCES_P;2013;060019288;060017019;NINF;0;0;17.5;;
URGENCES_P;2013;060780491;060790797;M9999;4;;4;;0
URGENCES_P;2013;060780491;060790797;N1220;3;;3;;0
URGENCES_P;2013;060780491;060790797;N2500;3;;2.9;;
URGENCES_P;2013;060780491;060790797;N3120;1;;0.25;;
URGENCES_P;2013;060780491;060790797;N9999;14;;12.71;;
URGENCES_P;2013;060780491;060790797;NINF;7;;6.56;;0
URGENCES_P;2013;060780517;060000239;M9999;8;;8;;
URGENCES_P;2013;060780715;060000361;M9999;;12;8;;
URGENCES_P;2013;060780715;060000361;N1220;4;1;4.4;;
URGENCES_P;2013;060780715;060000361;N2120;;1;0.3;;
URGENCES_P;2013;060780715;060000361;N2500;4;2;4.5;;
URGENCES_P;2013;060780715;060000361;N2620;2;2;2.2;;
URGENCES_P;2013;060780715;060000361;N3120;;1;0.1;;
URGENCES_P;2013;060780715;060000361;NINF;8;1;8.5;;
URGENCES_P;2013;060780723;060004959;M9999;;1;0.21;;
URGENCES_P;2013;060780723;060004959;N1220;4;;4;;
URGENCES_P;2013;060780723;060004959;N2500;1;;1;;
URGENCES_P;2013;060780723;060004959;N2620;1;1;1.5;;
URGENCES_P;2013;060780723;060004959;NINF;5;1;5.47;;
URGENCES_P;2013;060780947;060800174;M1140;9;3;7.63;;
URGENCES_P;2013;060780947;060800174;M3020;0;1;0.22;;
URGENCES_P;2013;060780947;060800174;M9999;9;4;8.01;;
URGENCES_P;2013;060780947;060800174;N1220;3;1;1.48;;
URGENCES_P;2013;060780947;060800174;N2120;3;0;0.75;;
URGENCES_P;2013;060780947;060800174;N2500;28;7;13.51;;
URGENCES_P;2013;060780947;060800174;N9999;65;21;33;;
URGENCES_P;2013;060780947;060800174;NINF;31;10;16.7;;
URGENCES_P;2013;070000013;070002878;M9999;2;;1.04;1;1
URGENCES_P;2013;070000013;070002878;N1220;1;;0.48;;
URGENCES_P;2013;070000013;070002878;N2120;1;;0.3;;1
URGENCES_P;2013;070000013;070002878;N2500;5;2;4.8;;
URGENCES_P;2013;070000013;070002878;N2620;4;;2;;
URGENCES_P;2013;070000013;070002878;NINF;8;;6.26;;
URGENCES_P;2013;070000179;070780358;M9999;10;0;8.36;2;1
URGENCES_P;2013;070000179;070780358;N1220;1;0;1;;0
URGENCES_P;2013;070000179;070780358;N2120;1;0;1;;0
URGENCES_P;2013;070000179;070780358;N2500;12;6;15.26;;
URGENCES_P;2013;070000179;070780358;N9999;26;26;43.65;;
URGENCES_P;2013;070000179;070780358;NINF;12;13;22.23;2;1
URGENCES_P;2013;070000609;070005566;M9999;10;5;12.14;;
URGENCES_P;2013;070000609;070005566;N1220;2;1;2.37;;
URGENCES_P;2013;070000609;070005566;N2500;7;0;7;;
URGENCES_P;2013;070000609;070005566;N9999;33;3;35.45;;
URGENCES_P;2013;070000609;070005566;NINF;19;2;20.74;;
URGENCES_P;2013;070780424;070000245;M9999;2;3;3.5;;
URGENCES_P;2013;070780424;070000245;N2120;1;;1;;
URGENCES_P;2013;070780424;070000245;N2500;9;3;10.45;;
URGENCES_P;2013;070780424;070000245;NINF;8;3;9.59;;
URGENCES_P;2013;080000110;080000037;M9999;4;0;4;1;1
URGENCES_P;2013;080000110;080000037;N1220;3;;2.4;2;1
URGENCES_P;2013;080000110;080000037;N2120;;1;0.8;2;1
URGENCES_P;2013;080000110;080000037;N2500;6;2;7.3;;
URGENCES_P;2013;080000110;080000037;N2620;5;;5;;0
URGENCES_P;2013;080000110;080000037;N3120;1;;1;;
URGENCES_P;2013;080000110;080000037;NINF;14;5;14.4;1;1
URGENCES_P;2013;080000219;080001969;M9999;;8;3.3;3;1
URGENCES_P;2013;080000219;080001969;N1220;;1;0.5;3;1
URGENCES_P;2013;080000219;080001969;N2500;3;2;4.01;;
URGENCES_P;2013;080000219;080001969;N9999;3;21;11.31;;
URGENCES_P;2013;080000219;080001969;NINF;;18;6.8;3;1
URGENCES_P;2013;080000276;080001969;M9999;;5;0.75;3;1
URGENCES_P;2013;080000276;080001969;N1220;;1;0.5;3;1
URGENCES_P;2013;080000276;080001969;N9999;9;6;11.3;;
URGENCES_P;2013;080000276;080001969;NINF;9;5;10.8;3;1
URGENCES_P;2013;080000425;080000615;M1140;3;1;0.72;;
URGENCES_P;2013;080000425;080000615;M9999;3;1;0.72;3;1
URGENCES_P;2013;080000425;080000615;N1220;1;3;3.52;;0
URGENCES_P;2013;080000425;080000615;N2120;1;;1;;0
URGENCES_P;2013;080000425;080000615;N2500;21;3;22.83;;
URGENCES_P;2013;080000425;080000615;N3120;1;;1;;
URGENCES_P;2013;080000425;080000615;N9999;56;35;81.72;;
URGENCES_P;2013;080000425;080000615;NINF;28;25;46.91;;0
URGENCES_P;2013;090000175;090781774;M9999;17;13;10.11;1;1
URGENCES_P;2013;090000175;090781774;N1220;4;3;4.76;2;1
URGENCES_P;2013;090000175;090781774;N2120;1;0;0.72;2;1
URGENCES_P;2013;090000175;090781774;N2500;25;3;21.38;;
URGENCES_P;2013;090000175;090781774;N2620;2;0;1.63;2;1
URGENCES_P;2013;090000175;090781774;N9999;57;18;51.95;;
URGENCES_P;2013;090000175;090781774;NINF;24;12;22.79;2;1
URGENCES_P;2013;090000183;090781816;M9999;7;2;3.31;3;1
URGENCES_P;2013;090000183;090781816;N1220;1;;0.5;2;1
URGENCES_P;2013;090000183;090781816;N2120;1;;0.4;;0
URGENCES_P;2013;090000183;090781816;N2500;3;;3.3;;
URGENCES_P;2013;090000183;090781816;N2620;;;;;1
URGENCES_P;2013;090000183;090781816;N9999;15;;13.82;;
URGENCES_P;2013;090000183;090781816;NINF;9;;8.62;;0
URGENCES_P;2013;090001629;090780107;M9999;17;4;5.51;;0
URGENCES_P;2013;090001629;090780107;N2500;2;;2;;
URGENCES_P;2013;090001629;090780107;N9999;9;;7.87;;
URGENCES_P;2013;090001629;090780107;NINF;7;;5.87;;0
URGENCES_P;2013;100000090;100000017;M9999;10;;9.37;3;1
URGENCES_P;2013;100000090;100000017;N1220;3;;3.04;;0
URGENCES_P;2013;100000090;100000017;N2120;1;;1;;0
URGENCES_P;2013;100000090;100000017;N2500;20;;19.82;;
URGENCES_P;2013;100000090;100000017;N2620;13;;11.83;;0
URGENCES_P;2013;100000090;100000017;N3120;1;2;1.81;;
URGENCES_P;2013;100000090;100000017;NINF;30;4;32.89;;0
URGENCES_P;2013;100000199;100006279;M9999;8;;4;2;1
URGENCES_P;2013;100000199;100006279;N1220;1;1;0.22;;
URGENCES_P;2013;100000199;100006279;N2120;1;;0.3;2;1
URGENCES_P;2013;100000199;100006279;N2500;3;;2.15;;
URGENCES_P;2013;100000199;100006279;NINF;19;;7.76;;
URGENCES_P;2013;110000023;110780061;M9999;27;3;6.63;;1
URGENCES_P;2013;110000023;110780061;N1220;3;2;2.26;2;1
URGENCES_P;2013;110000023;110780061;N2120;3;0;1.88;2;1
URGENCES_P;2013;110000023;110780061;N2500;21;;17.95;;
URGENCES_P;2013;110000023;110780061;N2620;4;2;5.2;;0
URGENCES_P;2013;110000023;110780061;N3120;0;2;1;;
URGENCES_P;2013;110000023;110780061;N9999;61;7;56.61;;
URGENCES_P;2013;110000023;110780061;NINF;29;1;26.54;;0
URGENCES_P;2013;110000049;110780087;M9999;4;1;4.38;;
URGENCES_P;2013;110000049;110780087;N1220;1;1;1.32;;
URGENCES_P;2013;110000049;110780087;N2500;6;;6;;
URGENCES_P;2013;110000049;110780087;N2620;;;0.33;;
URGENCES_P;2013;110000049;110780087;N3120;;1;0.45;;
URGENCES_P;2013;110000049;110780087;N9999;13;2;14.31;;
URGENCES_P;2013;110000049;110780087;NINF;6;1;6.66;;
URGENCES_P;2013;110000056;110780137;M3020;1;;1;;
URGENCES_P;2013;110000056;110780137;M9999;15;6;7.64;2;1
URGENCES_P;2013;110000056;110780137;N1220;3;3;4.8;;
URGENCES_P;2013;110000056;110780137;N2120;1;;1;;
URGENCES_P;2013;110000056;110780137;N2500;11;3;13.1;;
URGENCES_P;2013;110000056;110780137;NINF;23;6;14.96;2;1
URGENCES_P;2013;110780228;110000114;M9999;4;;4;;
URGENCES_P;2013;110780228;110000114;N1220;2;2;3.3;;
URGENCES_P;2013;110780228;110000114;N2120;;1;0.5;;
URGENCES_P;2013;110780228;110000114;N2500;2;;2;;
URGENCES_P;2013;110780228;110000114;NINF;4;1;4.66;;
URGENCES_P;2013;110780483;110000155;N1220;1;;1.25;;
URGENCES_P;2013;110780483;110000155;N2500;5;;4.71;;
URGENCES_P;2013;110780483;110000155;N9999;15;2;14.17;;
URGENCES_P;2013;110780483;110000155;NINF;9;2;8.21;;
URGENCES_P;2013;120000039;120780044;M9999;6;6;7.82;1;1
URGENCES_P;2013;120000039;120780044;N1220;2;2;1.96;2;1
URGENCES_P;2013;120000039;120780044;N2120;1;1;1.62;2;1
URGENCES_P;2013;120000039;120780044;N2500;16;2;16.61;;
URGENCES_P;2013;120000039;120780044;N2620;;;;2;1
URGENCES_P;2013;120000039;120780044;NINF;25;6;25.83;2;1
URGENCES_P;2013;120000054;120780069;M9999;7;2;6.81;2;1
URGENCES_P;2013;120000054;120780069;N1220;1;1;1.5;2;1
URGENCES_P;2013;120000054;120780069;N2120;1;0;0.5;2;1
URGENCES_P;2013;120000054;120780069;N2500;3;0;3;;
URGENCES_P;2013;120000054;120780069;N9999;15;3;16.84;;
URGENCES_P;2013;120000054;120780069;NINF;9;3;11.73;2;1
URGENCES_P;2013;120000070;120780085;M9999;4;1;4.9;2;1
URGENCES_P;2013;120000070;120780085;N1220;1;1;1.5;2;1
URGENCES_P;2013;120000070;120780085;N2120;;1;0.5;2;1
URGENCES_P;2013;120000070;120780085;N2500;4;;4;;
URGENCES_P;2013;120000070;120780085;N3120;;1;0.1;;
URGENCES_P;2013;120000070;120780085;N9999;18;3;19.1;;
URGENCES_P;2013;120000070;120780085;NINF;13;;13;2;1
URGENCES_P;2013;120004569;120004528;M9999;3;2;4;2;1
URGENCES_P;2013;120004569;120004528;N1220;1;;1;;1
URGENCES_P;2013;120004569;120004528;N2120;1;;0.5;;1
URGENCES_P;2013;120004569;120004528;N2500;6;;5.86;;
URGENCES_P;2013;120004569;120004528;N3120;1;;0.56;;
URGENCES_P;2013;120004569;120004528;N9999;20;;20;;
URGENCES_P;2013;120004569;120004528;NINF;11;;11;1;1
URGENCES_P;2013;120004668;120004619;M9999;6;1;6.29;1;1
URGENCES_P;2013;120004668;120004619;N1220;1;;0.16;;0
URGENCES_P;2013;120004668;120004619;N2120;1;;0.5;2;1
URGENCES_P;2013;120004668;120004619;N2500;6;1;6.6;;
URGENCES_P;2013;120004668;120004619;N9999;15;;13.46;;
URGENCES_P;2013;120004668;120004619;NINF;7;3;6.2;1;1
URGENCES_P;2013;130000409;130041916;M1140;9;6;1.91;;
URGENCES_P;2013;130000409;130041916;M9999;37;12;18.5;1;1
URGENCES_P;2013;130000409;130041916;N1220;1;3;2.48;;0
URGENCES_P;2013;130000409;130041916;N2120;2;0;1.04;2;1
URGENCES_P;2013;130000409;130041916;N2500;42;3;39.78;;
URGENCES_P;2013;130000409;130041916;N2620;4;0;3.85;;0
URGENCES_P;2013;130000409;130041916;N3120;1;0;0.5;;
URGENCES_P;2013;130000409;130041916;N9999;109;26;108.92;;
URGENCES_P;2013;130000409;130041916;NINF;43;15;48.73;;1
URGENCES_P;2013;130000565;130781446;M1140;3;4;1.33;;0
URGENCES_P;2013;130000565;130781446;M9999;14;7;9.57;1;1
URGENCES_P;2013;130000565;130781446;N1220;1;3;3.21;;
URGENCES_P;2013;130000565;130781446;N2120;1;;1;;
URGENCES_P;2013;130000565;130781446;N2500;7;4;9.76;;
URGENCES_P;2013;130000565;130781446;N9999;22;17;33.87;;
URGENCES_P;2013;130000565;130781446;NINF;11;8;16.79;;
URGENCES_P;2013;130001225;130782634;M9999;8;3;8.94;;
URGENCES_P;2013;130001225;130782634;N1220;2;1;2.56;;
URGENCES_P;2013;130001225;130782634;N2120;1;0;1;;
URGENCES_P;2013;130001225;130782634;N2500;10;3;11.91;;
URGENCES_P;2013;130001225;130782634;N9999;30;13;39.19;;
URGENCES_P;2013;130001225;130782634;NINF;15;8;21.48;;
URGENCES_P;2013;130002215;130785512;M3020;2;;2;;
URGENCES_P;2013;130002215;130785512;M9999;9;;9;;
URGENCES_P;2013;130002215;130785512;N1220;4;;4;;
URGENCES_P;2013;130002215;130785512;N2120;1;;1;;
URGENCES_P;2013;130002215;130785512;N2500;3;;3;;
URGENCES_P;2013;130002215;130785512;N2620;8;;8;;
URGENCES_P;2013;130002215;130785512;N9999;31;3;33.7;;
URGENCES_P;2013;130002215;130785512;NINF;13;3;15.4;;
URGENCES_P;2013;130002827;130789274;M9999;8;7;10.7;;1
URGENCES_P;2013;130002827;130789274;N1220;1;1;1.8;;1
URGENCES_P;2013;130002827;130789274;N2120;1;;1;;1
URGENCES_P;2013;130002827;130789274;N2500;13;2;14.12;;
URGENCES_P;2013;130002827;130789274;N9999;42;12;50.33;;
URGENCES_P;2013;130002827;130789274;NINF;19;9;26.1;;1
URGENCES_P;2013;130002835;130789316;M9999;8;2;9.21;1;1
URGENCES_P;2013;130002835;130789316;N1220;5;7;8.8;1;1
URGENCES_P;2013;130002835;130789316;N2120;2;1;1.88;2;1
URGENCES_P;2013;130002835;130789316;N2500;10;5;12.54;;
URGENCES_P;2013;130002835;130789316;N3120;1;0;1;;
URGENCES_P;2013;130002835;130789316;N9999;29;29;41.77;;
URGENCES_P;2013;130002835;130789316;NINF;11;16;17.55;1;1
URGENCES_P;2013;130043664;130002157;N1220;3;;3;;
URGENCES_P;2013;130043664;130002157;N2120;2;;2;;
URGENCES_P;2013;130043664;130002157;N2500;13;1;9.96;;
URGENCES_P;2013;130043664;130002157;N9999;6;;6;;
URGENCES_P;2013;130043664;130002157;NINF;22;2;17.68;;
URGENCES_P;2013;130780521;130786049;M1140;3;2;2.77;;
URGENCES_P;2013;130780521;130786049;M9999;20;8;19.33;;
URGENCES_P;2013;130780521;130786049;N2120;3;;3.42;;
URGENCES_P;2013;130780521;130786049;N2500;59;4;58.53;;
URGENCES_P;2013;130780521;130786049;N9999;174;22;176.62;;
URGENCES_P;2013;130780521;130786049;NINF;65;9;69.37;;
URGENCES_P;2013;130781479;130000599;M9999;3;3;3;;0
URGENCES_P;2013;130781479;130000599;N1220;2;;2;;0
URGENCES_P;2013;130781479;130000599;N2120;;1;0.3;;0
URGENCES_P;2013;130781479;130000599;N2620;1;;1;;0
URGENCES_P;2013;130781479;130000599;N9999;9;1;9.3;;
URGENCES_P;2013;130781479;130000599;NINF;6;;6;;0
URGENCES_P;2013;130782071;130002454;M9999;2;2;4;;
URGENCES_P;2013;130782071;130002454;N1220;2;;2;;
URGENCES_P;2013;130782071;130002454;N2120;1;;1;;
URGENCES_P;2013;130782071;130002454;N2500;4;;4;;
URGENCES_P;2013;130782071;130002454;N9999;15;1;15.19;;
URGENCES_P;2013;130782071;130002454;NINF;6;2;7.22;;
URGENCES_P;2013;130782147;130000979;M9999;8;;8;;
URGENCES_P;2013;130782147;130000979;N1220;2;4;5;;
URGENCES_P;2013;130782147;130000979;N2120;1;;0.5;;
URGENCES_P;2013;130782147;130000979;NINF;12;;12;;
URGENCES_P;2013;130783236;130786049;M9999;14;3;12.97;;0
URGENCES_P;2013;130783236;130786049;N2120;4;0;4;;
URGENCES_P;2013;130783236;130786049;N2500;35;2;35.7;;
URGENCES_P;2013;130783236;130786049;N2620;2;0;2;;
URGENCES_P;2013;130783236;130786049;N9999;101;6;104.75;;
URGENCES_P;2013;130783236;130786049;NINF;60;4;63.05;;
URGENCES_P;2013;130783293;130786049;M9999;6;7;9.33;;
URGENCES_P;2013;130783293;130786049;N1220;1;1;1.43;;
URGENCES_P;2013;130783293;130786049;N2500;15;1;16.06;;
URGENCES_P;2013;130783293;130786049;N9999;47;3;48.96;;
URGENCES_P;2013;130783293;130786049;NINF;31;1;31.47;;
URGENCES_P;2013;130784713;130038847;M9999;;5;2.5;;
URGENCES_P;2013;130784713;130038847;N1220;3;;3;;
URGENCES_P;2013;130784713;130038847;N2120;1;;1;;
URGENCES_P;2013;130784713;130038847;N2500;5;3;7.68;;
URGENCES_P;2013;130784713;130038847;N2620;1;;1;;
