BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;EFFPL_MED;pct80;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2013;950000323;950013870;SURVADU;8;2920;466;;;3504;;;1;;;0.6;;;;;;;;;;;;;;;
REA;2013;950000323;950013870;USIC;8;2920;756;;;2379;;;3;;1;3.13;1;;12.46;12;1;0.71;3;;3;;;;;1;1.44
REA;2013;950000331;950110049;REAADU;12;4362;535;575;43;4412;1;42;3;33;4;4;2;;38.93;37;2;2;26;;25.11;;;;;3;1.81
REA;2013;950000331;950110049;SITOT;14;5110;1340;;;3816;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000331;950110049;SIUNV;4;1460;438;;;1092;;;0;;2;0.5;;;;;;;;;;;;;;;
REA;2013;950000331;950110049;SURVADU;4;1460;354;;;871;;;;;1;0.15;;;;;;;;;;;;;;;
REA;2013;950000331;950110049;SURVENF;3;1095;216;;;496;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000331;950110049;USIC;10;3650;902;;;2724;;;0;;6;1.68;3;4;;;;3.81;;1;0.2;;;;;;
REA;2013;950000364;950110080;AUTSI;6;2152;358;;;1583;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000364;950110080;REAADU;18;6199;915;957;133;5415;11;;;9;;;1;;58.47;54;13;0.5;34;8;37.88;;;;2;12;13.68
REA;2013;950000364;950110080;SITOT;20;6861;1771;;;5834;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000364;950110080;SIUNV;4;1059;399;;;624;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000364;950110080;SURVADU;10;1565;361;;;1411;;;;;;;;;;;;;;;;;;;;;
REA;2013;950000364;950110080;USIC;10;3650;1014;;;3627;;;;;;;;;15.73;11;7;0.08;10;3;11.5;;;;;;
REA;2013;950300244;950000539;SURVADU;10;3650;155;;;628;;;;;;;;1;5.87;4;3;0.5;5;1;5.4;;;;;;
REA;2013;950300277;950000547;SURVADU;8;2920;335;;;1015;;;6;;1;6;;1;5.3;4;2;0.5;4;2;5.3;;;;;;
REA;2013;950630012;750721334;SURVENF;;;251;;;1198;;;;;;;;;;;;;;;;;;;;;
REA;2013;950807982;950001636;SURVADU;8;2920;370;;;1250;;;10;;;10;7;8;;;;17.2;4;4;4.8;;;;;;
REA;2013;970100392;970100178;REAADU;5;1825;126;130;5;920;9;677;7;18;1;1.95;1;0;14.64;27;0;0.5;18;0;10.16;0;0;0;0;11;2.81
REA;2013;970100392;970100178;SITOT;6;2190;352;;;2069;;;;;;;;;;;;;;;;;;;;;
REA;2013;970100392;970100178;USIC;6;2190;352;;;2069;;;3;;0;0.25;1;0;4.2;5;0;0.3;3;0;3;0;0;0;0;2;1.42
REA;2013;970100400;970100186;SURVADU;2;2;101;;;255;;;4;;2;5;;;4;4;;;1;;1;;;;;1;1
REA;2013;970100400;970100186;SURVENF;2;2;577;;;1545;;;;;;;;;;;;;;;;;;;;;
REA;2013;970100442;970100228;REAADU;20;7300;943;979;53;7503;5;;11;8;;7.26;8;;71.37;71;1;3.84;44;;42.04;;;;;17;15.76
