BOR;AN;FI;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2013;590000618;590782215;1;27;1295;9221;3;;3;0;0;3;;3;0;0;29;16;41.43
MCOAVC;2013;590780284;590051801;1;22;812;5907;1;1;1.5;0;1;1;1;1.5;0;1;17;17;25.76
MCOAVC;2013;590796975;590780193;1;45;1408;14606;8;;4.46;;;8;;4.46;;;43;18;58.33
MCOAVC;2013;590801106;590782421;1;20;732;6923;4;7;5.45;;;4;7;5.45;;;13;;13
MCOAVC;2013;590804696;590781902;1;12;263;1131;6;;2.52;0;1;6;;2.52;0;1;26;7;24.85
MCOAVC;2013;600000194;600100713;1;20;613;5431;3;1;3.6;0;1;2;1;2.6;1;;13;4;20.91
MCOAVC;2013;600000467;600101984;1;4;188;799;3;1;0.72;0;1;3;1;0.72;0;1;8;0;4.18
MCOAVC;2013;600113476;600100721;1;4;466;1219;6;2;4.27;0;1;5;2;4.02;0;1;53;16;31.23
MCOAVC;2013;620000034;620100057;1;17;845;4727;1;3;2.1;1;;1;3;2.1;1;;27;4;29.58
MCOAVC;2013;620000224;620100651;1;8;537;2846;5;;5;;;5;;5;0;1;;35;15.5
MCOAVC;2013;620000257;620100685;1;30;1038;8938;3;;3;1;0;3;;3;1;0;51;4;54.15
MCOAVC;2013;620000323;620101337;1;6;353;1691;1;;1;0;1;;;;;;15;14;26.81
MCOAVC;2013;620000653;620103440;1;18;806;6255;3;2;4.4;0;1;;;;;;1;1;1.6
MCOAVC;2013;630000404;630780989;1;21;661;7487;2;;1.1;;;2;;1.1;;;29;16;35.65
MCOAVC;2013;640000162;640780417;1;6;894;4945;0;0;;;1;;;;;1;12;2;12.09
MCOAVC;2013;640000600;640781290;1;16;790;5148;3;;2.4;0;1;;;;;;9;4;12.93
MCOAVC;2013;650000417;650783160;1;4;526;4055;1;;0.3;0;1;1;;0.3;0;1;11;1;11.65
MCOAVC;2013;660000084;660780180;1;8;1206;2597;6;3;7.7;1;0;6;3;7.7;1;0;20;5;22.82
MCOAVC;2013;670783273;670780055;1;34;1690;11323;8;2;7.17;1;0;7;0;5.17;1;0;61;18;67.7
MCOAVC;2013;680000684;680000973;1;15;441;5097;6;;6;;;6;;6;0;1;6;4;7.88
MCOAVC;2013;680004546;680000486;1;15;531;5784;4;0;2;0;1;3;0;1.4;0;1;15;4;17.6
MCOAVC;2013;690000575;690782222;1;14;514;4923;;;;;;;;;;;;;
MCOAVC;2013;690784178;690781810;1;35;1107;7269;;;;;;2;2;3.75;1;0;40;5;29.64
MCOAVC;2013;690784194;690781810;1;4;202;1754;;;;;;;;;;;4;1;4.22
MCOAVC;2013;710978263;710780958;1;4;688;1358;6;2;1;0;1;6;1;1;0;1;;;
MCOAVC;2013;720000033;720000025;1;15;923;4327;;5;1.5;0;1;;5;1.5;0;1;;3;2
MCOAVC;2013;730000031;730000015;1;16;551;5424;;;;;;;;;;;64;7;63.13
MCOAVC;2013;740000237;740781133;1;15;635;4522;2;1;2.24;0;1;2;1;2.24;0;1;7;10;16.41
MCOAVC;2013;750000499;750140014;1;35;1387;11677;5;3;4.8;1;;5;3;4.8;;;77;6;74.76
MCOAVC;2013;750000523;750150120;1;16;1043;8351;3;1;3.88;1;0;3;1;3.88;1;0;23;2;16.37
MCOAVC;2013;750000549;750150229;1;8;333;1718;1;;1;0;1;1;;1;0;1;35;9;31.35
MCOAVC;2013;750100042;750712184;1;35;1028;7779;6;2;5.5;1;0;6;2;5.5;1;0;45;2;45.8
MCOAVC;2013;750100125;750712184;1;26;943;8590;3;4;5.1;;;3;4;5.1;;;55;5;59
MCOAVC;2013;750100232;750712184;1;28;1021;9183;;;;;;;;;;;;;
MCOAVC;2013;750100273;750712184;1;22;795;7124;8;3;6.8;1;0;2;4;3.9;1;0;29;2;30.6
MCOAVC;2013;760000158;760780239;1;30;1329;10092;;;;;;;;;;;69;28;87.41
MCOAVC;2013;760805770;760780726;1;20;453;2402;3;;1.97;0;1;3;;1.97;0;1;28;12;37.78
MCOAVC;2013;770000446;770700185;1;26;529;5758;0;7;1.6;1;;0;7;1.6;1;;;1;0.08
MCOAVC;2013;780000287;780110011;1;12;432;894;5;0;1.2;0;1;5;0;1.2;0;1;17;10;15.83
MCOAVC;2013;780000311;780001236;1;25;454;1236;1;1;1.94;0;1;1;1;1.94;0;1;13;2;13.57
MCOAVC;2013;780800256;780110078;1;24;885;6022;11;4;10.46;1;0;;;;;;30;3;31.32
MCOAVC;2013;790000087;790000012;1;20;1127;6255;4;1;4;0;1;4;1;4;0;1;29;8;32.65
MCOAVC;2013;800000192;800000044;1;20;672;2056;13;3;6.45;1;;13;3;6.45;1;0;42;3;43.72
MCOAVC;2013;810000224;810000471;1;4;313;1269;3;;3;0;1;3;;3;0;1;;;
MCOAVC;2013;810000505;810000331;1;6;393;1747;3;4;0.88;0;1;3;4;0.88;0;1;30;8;10.7
MCOAVC;2013;810000521;810000380;1;4;332;864;4;1;0.41;0;1;4;;0.4;0;1;28;14;14.82
MCOAVC;2013;820000032;820000016;1;6;640;2272;4;1;0.52;0;1;4;1;0.52;0;1;21;4;17.08
MCOAVC;2013;830000345;830100616;1;16;856;4854;2;;0.8;;;2;;0.8;;;5;4;11.66
MCOAVC;2013;830100574;750821092;1;12;384;2635;4;;3;1;1;4;;3;1;1;25;;25
MCOAVC;2013;840001861;840006597;1;17;132;886;5;0;0.5;0;1;5;0;0.5;;;6;;1.5
MCOAVC;2013;850000142;850000019;1;10;299;3192;;4;1;;;;4;1;0;1;9;32;17.48
MCOAVC;2013;860000223;860013077;1;18;869;7742;5;;2.76;0;1;4;;1.76;0;1;13;;13
MCOAVC;2013;870000064;870000015;1;26;1405;9169;103;75;87.39;;;;;;;;22;5;22.51
MCOAVC;2013;880000021;880007059;1;4;156;1514;;;;0;1;;;;0;1;65;8;57.47
MCOAVC;2013;910000306;910110063;1;14;437;4882;5;;1.52;1;;5;;1.52;1;;1;3;2.3
MCOAVC;2013;910020254;910002773;1;32;732;6406;;;;;;;;;;;11;2;12.83
MCOAVC;2013;920000650;920150059;1;24;939;8053;3;;3;1;1;3;;3;1;1;8;1;8.8
MCOAVC;2013;930000328;930110051;1;12;471;4898;6;1;6.8;1;;6;1;6.8;1;;1;;1
MCOAVC;2013;930000336;930110069;1;32;750;7102;8;;1.57;;;;;;;;;;
MCOAVC;2013;940100027;750712184;1;7;504;2618;2;;2;1;1;2;;2;1;1;10;;10
MCOAVC;2013;940100043;750712184;1;34;801;6079;4;;3.3;;;3;;3;;;41;;25
MCOAVC;2013;950000331;950110049;1;18;597;5437;4;;4;0;1;4;;4;0;1;40;3;31.04
MCOAVC;2013;950000364;950110080;1;4;889;7412;;;;;;;;;;;;;
MCOAVC;2013;970100442;970100228;1;24;606;5586;6;2;6.97;;;;;;;;46;1;47.12
MCOAVC;2013;970211215;970211207;1;17;417;4707;2;;1.2;0;1;1;;0.3;0;1;33;;31.89
MCOAVC;2013;970400024;970408589;1;12;561;3964;2;1;2.8;0;1;2;;2;0;1;14;3;15.2
MCOAVC;2013;970400057;970408589;1;19;627;2447;4;;1;0;1;4;;1;0;1;20;;20
