BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2013;130784051;130037823;M1210;2;;2;0;0;;
IMAGES_P;2013;130784051;130037823;N4130;31;0;31;0;1;;
IMAGES_P;2013;130784051;130037823;N4160;3;0;3;;;;
IMAGES_P;2013;130784051;130037823;NAUT;45;5;40;;;;
IMAGES_P;2013;130784234;130786049;M1160;6;5;3.65;1;0;0;0
IMAGES_P;2013;130784234;130786049;N4130;28;4;30.1;0;0;;
IMAGES_P;2013;130784234;130786049;N4160;3;0;2.17;;;;
IMAGES_P;2013;130784234;130786049;NAUT;15;0;15.58;;;;
IMAGES_P;2013;130784598;130001852;M1160;;1;0.13;0;0;0;0
IMAGES_P;2013;130784598;130001852;N4130;;1;0.33;0;0;;
IMAGES_P;2013;130784713;130038847;M1160;5;6;8;0;1;;
IMAGES_P;2013;130784713;130038847;N4130;12;3;13.47;0;1;;
IMAGES_P;2013;130784713;130038847;N4160;1;;1;;;;
IMAGES_P;2013;130784713;130038847;NAUT;18;3;23.96;;;;
IMAGES_P;2013;130784903;130002041;M1160;;1;0.3;0;0;0;0
IMAGES_P;2013;130784903;130002041;N4130;;2;0.3;0;0;;
IMAGES_P;2013;130784903;130002041;N4160;;1;0.2;;;;
IMAGES_P;2013;130785355;130002157;M1160;;;;0;1;;
IMAGES_P;2013;130785355;130002157;N4130;10;;9.91;;;;
IMAGES_P;2013;130785355;130002157;NAUT;15;4;10.71;;;;
IMAGES_P;2013;130785363;130042930;M1160;;;;0;1;0;0
IMAGES_P;2013;130785363;130042930;N4130;9;1;6.45;;;;
IMAGES_P;2013;130785363;130042930;NAUT;4;1;3.5;;;;
IMAGES_P;2013;130785652;130014228;M1160;0;17;7;0;1;;
IMAGES_P;2013;130785652;130014228;N4130;41;3;41.34;1;1;;
IMAGES_P;2013;130785652;130014228;N4160;2;;2;;;;
IMAGES_P;2013;130785652;130014228;NAUT;38;4;39.76;;;;
IMAGES_P;2013;130785678;130002249;M1160;;14;7;0;1;;
IMAGES_P;2013;130785678;130002249;N4130;5;;5;;1;;
IMAGES_P;2013;130785678;130002249;NAUT;5;;5;;;;
IMAGES_P;2013;130786445;130002488;M1160;1;3;2;0;;;
IMAGES_P;2013;130786445;130002488;N4130;2;2;3;0;1;;
IMAGES_P;2013;130786742;750821092;M1160;4;1;3.75;1;1;0;0
IMAGES_P;2013;130786742;750821092;N4130;17;2;18.37;1;1;;
IMAGES_P;2013;130786742;750821092;N4160;1;0;1;;;;
IMAGES_P;2013;130786742;750821092;NAUT;10;0;10.42;;;;
IMAGES_P;2013;130786924;130037815;N4130;;2;1;0;0;;
IMAGES_P;2013;130786932;130002660;N4130;;2;0.27;0;0;;
IMAGES_P;2013;130789357;130002843;N4130;;1;0.85;0;0;;
IMAGES_P;2013;130804297;130786049;M1160;5;5;4.31;1;0;0;0
IMAGES_P;2013;130804297;130786049;N4130;20;3;21.44;1;0;;
IMAGES_P;2013;130804297;130786049;N4160;1;0;1.13;;;;
IMAGES_P;2013;130804297;130786049;NAUT;9;1;8.72;;;;
IMAGES_P;2013;130809015;130001928;N4130;;2;1;0;0;;
IMAGES_P;2013;130810740;130007362;M1160;1;27;3.8;0;1;0;0
IMAGES_P;2013;130810740;130007362;N4130;6;1;6.08;0;1;;
IMAGES_P;2013;130810740;130007362;N4160;1;;1;;;;
IMAGES_P;2013;130810740;130007362;NAUT;6;;6;;;;
IMAGES_P;2013;140000027;140000035;M1160;4;2;4.64;0;1;1;1
IMAGES_P;2013;140000027;140000035;N4130;19;1;19.65;1;0;;
IMAGES_P;2013;140000027;140000035;NAUT;7;1;7.75;;;;
IMAGES_P;2013;140000076;140000084;N4130;3;1;3.8;0;1;;
IMAGES_P;2013;140000076;140000084;NAUT;2;1;2.12;;;;
IMAGES_P;2013;140000209;140000100;M1160;17;10;15.53;0;1;;
IMAGES_P;2013;140000209;140000100;M1210;6;3;3.52;0;0;;
IMAGES_P;2013;140000209;140000100;N4130;62;27;76.16;1;0;;
IMAGES_P;2013;140000209;140000100;N4160;6;;5.32;;;;
IMAGES_P;2013;140000209;140000100;NAUT;42;9;47.19;;;;
IMAGES_P;2013;140000233;140000118;M1160;2;2;3.24;0;1;1;1
IMAGES_P;2013;140000233;140000118;N4130;6;3;8.57;0;1;;
IMAGES_P;2013;140000233;140000118;N4160;1;1;1.05;;;;
IMAGES_P;2013;140000233;140000118;NAUT;3;3;5.72;;;;
IMAGES_P;2013;140000373;140000159;M1160;0;4;1.25;0;1;;
IMAGES_P;2013;140000373;140000159;N4130;4;1;4.5;0;1;;
IMAGES_P;2013;140000373;140000159;NAUT;1;;0.5;;;;
IMAGES_P;2013;140000555;140000639;M1160;4;2;4.15;0;1;0;0
