BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2013;300000064;300780087;1;;;1;;2
Q22;2013;300000080;300780103;;;;4;;4
Q22;2013;300002805;300780038;;;;1;;1
Q22;2013;300003308;300780038;8;;;;;8
Q22;2013;300013786;300780038;;;;1;;1
Q22;2013;300782117;300780038;123;21;1;81;6;232
Q22;2013;300782125;300780038;;;;3;;3
Q22;2013;300782141;300780038;3;;;10;;13
Q22;2013;310000310;310780671;;1;;10;;11
Q22;2013;310000369;310780754;12;2;;;;14
Q22;2013;310005459;310021886;1;;;;;1
Q22;2013;310009279;310780671;;;;1;;1
Q22;2013;310016977;310781406;83;0;0;17;3;103
Q22;2013;310019351;310781406;36;0;0;4;3;43
Q22;2013;310022298;310781406;0;0;0;4;0;4
Q22;2013;310780135;310000054;;;;1;;1
Q22;2013;310780259;310000096;1;;;;;1
Q22;2013;310780366;310000153;1;;;;;1
Q22;2013;310780382;310000179;;;;1;;1
Q22;2013;310781067;310788898;9;1;;4;;14
Q22;2013;310782339;310781406;1;0;0;2;0;3
Q22;2013;310782347;310789136;22;8;;;;30
Q22;2013;310782446;;2;;;;;2
Q22;2013;310783048;310781406;217;0;1;33;6;257
Q22;2013;310783055;310781406;203;116;14;32;17;382
Q22;2013;310783063;310781406;13;0;0;4;0;17
Q22;2013;310783097;750005068;1;;;;;1
Q22;2013;310787304;310781406;17;0;0;11;0;28
Q22;2013;310792874;310788997;1;;;;;1
Q22;2013;320000086;320780117;0;0;0;30;0;30
Q22;2013;320000094;320780125;4;;;;1;5
Q22;2013;330000332;330780545;2;;;4;;6
Q22;2013;330000340;330780552;7;;;;;7
Q22;2013;330000555;330781204;2;1;;15;1;19
Q22;2013;330000571;330781220;;;;4;;4
Q22;2013;330000589;330027509;2;0;0;12;0;14
Q22;2013;330000597;330027509;0;0;0;3;0;3
Q22;2013;330000605;330781253;34;2;0;30;1;67
Q22;2013;330000639;330781287;54;2;;;;56
Q22;2013;330000647;330781295;11;1;;1;;13
