BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2013;590812186;590782421;1;2;;;;;;;;
Q25;2013;590813507;590000485;;;;;;1;;;;
Q25;2013;590817441;620003814;;1;;;;;;;;
Q25;2013;600000012;600100028;0;0;0;0;2;4;2;8;0;0
Q25;2013;600000046;600100127;3;8;0;0;0;0;1;1;0;0
Q25;2013;600000186;600100648;;;;;;1;1;4;;
Q25;2013;600000194;600100713;;;;;;2;4;7;2;15
Q25;2013;600000467;600101984;0;0;0;0;1;3;0;0;0;0
Q25;2013;600001184;600108948;1;18;;;;;;5;;
Q25;2013;600003008;600113278;;;;;;;0;9;;
Q25;2013;600010094;600100580;0;3;;;;;;;;
Q25;2013;600100101;750712184;0;0;0;0;0;0;1;0;0;0
Q25;2013;600100275;600000111;0;0;0;0;1;0;0;0;0;0
Q25;2013;600100309;750721334;;1;;;2;1;;1;;
Q25;2013;600100671;750034589;0;2;0;0;2;2;0;0;0;0
Q25;2013;600101687;600010037;;1;;;;;;;;
Q25;2013;600101943;750720609;1;;;;;1;1;1;;
Q25;2013;600105381;600106611;1;1;;;;;1;1;;
Q25;2013;600111124;600106611;;;;;;;1;;;
Q25;2013;600113476;600100721;1;0;0;0;1;0;0;0;0;0
Q25;2013;610000028;610780025;3;2;0;0;0;0;0;0;0;0
Q25;2013;610000044;610780074;0;2;0;0;0;0;0;1;0;0
Q25;2013;610000051;610780082;5;2;0;0;0;0;1;2;0;0
Q25;2013;610000069;610780090;;;;;;;;3;;
Q25;2013;610000077;610780124;1;6;;;;;1;3;;
Q25;2013;610000085;610780132;0;1;0;0;0;0;0;0;0;0
Q25;2013;610000093;610780140;0;5;0;0;0;0;0;0;0;0
Q25;2013;610000101;610780157;3;2;;;;;;;;
Q25;2013;610000119;610780165;3;1;0;0;0;0;1;3;0;0
Q25;2013;610780116;610790594;;1;;;;2;1;2;;
Q25;2013;610780207;610787061;1;;;;;;;;;
Q25;2013;610780371;760025734;;;;;;;;4;;
Q25;2013;610780389;610004939;;3;;;;;1;;;
Q25;2013;610784050;610780082;0;0;0;0;0;3;0;0;0;0
Q25;2013;610784423;610787285;;3;;;;;;1;;
Q25;2013;610788325;610780165;1;0;0;0;0;0;0;0;0;0
Q25;2013;620000026;620003814;2;3;;;;;3;2;;
Q25;2013;620000034;620100057;10;8;;;;1;;2;;
Q25;2013;620000067;620100081;1;10;;;;;;2;;
Q25;2013;620000117;620100461;;4;;;;;;1;;
Q25;2013;620000224;620100651;8;24;;;;;3;10;;
Q25;2013;620000232;620100669;;;;;;3;;;;
Q25;2013;620000240;620100677;;;;;;;;1;;
Q25;2013;620000257;620100685;;4;;;;2;;;;
Q25;2013;620000281;620101287;3;24;;;1;;2;;;
Q25;2013;620000299;620101295;2;16;;;;1;;2;;
Q25;2013;620000323;620101337;2;1;;;;;2;9;;
Q25;2013;620000596;750820680;;;;;;;;2;;
Q25;2013;620000653;620103440;4;9;;;;;;;;
Q25;2013;620003202;620103432;8;19;;;;;;;;
Q25;2013;620003350;620001834;4;28;;;;;;;;
Q25;2013;620003376;620001834;23;54;;;;;;;;
Q25;2013;620003822;620003814;2;6;;;;;;1;;
Q25;2013;620003889;620003848;;1;;;;;;;;
Q25;2013;620013649;620013599;0;0;0;0;0;1;0;0;0;0
Q25;2013;620024349;620024299;0;0;1;2;0;0;0;0;0;0
Q25;2013;620025346;620001834;13;54;;;;;;;;
Q25;2013;620025387;620025361;;;1;1;;;;;;
Q25;2013;620027664;620003814;;1;;;;;7;3;;
Q25;2013;620100099;620014779;;;1;;1;3;;;;
Q25;2013;620100735;620000265;;;;;1;;;;;
Q25;2013;620100750;620000273;;;;1;;;;;;
Q25;2013;620100842;620001834;2;17;;;;;3;2;;
Q25;2013;620102954;620020859;0;0;0;0;1;0;0;0;0;0
Q25;2013;620106203;620020859;1;6;;;;;;;;
Q25;2013;620106625;620020859;2;13;;;;1;;;;
Q25;2013;620116558;620001834;1;3;;;;;;;;
Q25;2013;620117309;620112581;;;;;;1;;;;
Q25;2013;620117606;620020859;2;13;;;;1;;;;
Q25;2013;630000016;630180032;;1;;;;;1;;;
Q25;2013;630000131;630003168;1;2;;;1;1;1;1;;
Q25;2013;630000149;630780302;3;8;;;;;;;;
Q25;2013;630000404;630780989;16;53;;;;;1;;;
Q25;2013;630000412;630780997;4;13;;;;;1;4;;
Q25;2013;630000420;630781003;;5;;;;;;;;
