BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;NB_CONS;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_PA;NB_CMP_PL;NB_CATTP;ACT_CMP;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;ACT_UCSA;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2013;330780776;310021050;GEN;;;;;;78;;;;;;;;;618;28811;;;;;;;;;;;;;;;;;;;;388;;;;2;;2;;;;0;0;23;23;40.9;12.68;7;1.22;;;;;;;;;;;;;;;;;;
PSY;2013;330780776;310021050;TOT;0;;;0;;78;;;;;;;;;618;28811;;;;;;;;;;;;;;;;;;;;388;;;;2;;2;;;;;;23;23;40.9;12.68;7;1.22;;;;;;;;;;;;;;;;;;
PSY;2013;330781170;330785072;GEN;;;;;;44;;;;;;;;;196;13557;;;;;;;;;;;;;;;;;;;;103;;103;;0;3;1.5;;3;1;0;0;18;7;22;5.5;0;1.5;0;0;15;;;;;;;;;;;;;;;
PSY;2013;330781170;330785072;TOT;0;;;0;;44;;;;;;;;;196;13557;;;;;;;;;;;;;;;;;;;;103;;103;;;3;1.5;;3;1;;;18;7;22;5.5;0;1.5;0;0;15;;;;;;;;;;;;;;;
PSY;2013;330781188;330056540;GEN;;;;;;25;;;;;;25;;;139;7066;;;;;;;6127;;;;;;;;;;;;;102;;62;6;1;2;1.79;;1;0.29;1;1;;;18.85;6.81;0;1;1.59;3.55;5.98;;;;;;;;;;;;;;;
PSY;2013;330781188;330056540;TOT;0;;;0;;25;;;;;;25;;;139;7066;;;;;;;6127;;;;;;;;;;;;;102;;;;1;2;1.79;;1;0.29;;;;;18.85;6.81;0;1;1.59;3.55;5.98;;;;;;;;;;;;;;;
PSY;2013;330781303;750821092;GEN;;;;;;16;;;;;;;;;341;3356;;;;;;;0;0;0;;1;;4179;;;;142;;;399;272;159;;5;0;4.5;0;0;0;0;1;22;2;20.24;7.27;6.44;2.97;0;1.67;0;5;0;4.5;0;0;0;22;2;20.24;7.27;6.44;2.97;0;1.67;0
PSY;2013;330781303;750821092;TOT;0;;;0;;16;;;;;;;;;341;3356;;;;;;;0;0;0;;1;;4179;;;;142;;;399;272;159;;5;0;4.5;0;0;0;;;22;2;20.24;7.27;6.44;2.97;0;1.67;0;5;0;4.5;0;0;0;22;2;20.24;7.27;6.44;2.97;0;1.67;0
PSY;2013;330781691;;GEN;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;330781691;;INF;;7;;;;;;;;;;;;;;;;;;;;;;;;6;2;;16329;;;;;;;1210;1210;;;0;3;0.93;;;;0;0;3;21;13.85;;;4.82;;6.73;2.3;;;;;;;;;;;;;;;
PSY;2013;330781691;;TOT;1;;7;0;;;;;;;;;;;;;;;;;;;;;;6;2;;16329;;;;;;;;;;;;3;0.93;;;;;;3;21;13.85;;;4.82;;6.73;2.3;;;;;;;;;;;;;;;
PSY;2013;330782350;330000480;INF;;;;;;;;;;;;35;;;;;;;;;;;7309;;;;;;;;;;;;;89;;;;;4;2.1;;;;0;0;10;18;20.7;2.8;;2.38;1.3;3.1;11.17;;;;;;;;;;;;;;;
PSY;2013;330782350;330000480;TOT;0;;;0;;;;;;;;35;;;;;;;;;;;7309;;;;;;;;;;;;;89;;;;;4;2.1;;;;;;10;18;20.7;2.8;;2.38;1.3;3.1;11.17;;;;;;;;;;;;;;;
PSY;2013;330783614;330785072;INF;;;;;;;;;;;;35;12;;;;;;;;;;7078;745;;;;;;;;;;;;226;;;;;8;3.08;;;;0;0;19;11;24.35;6.09;;1.56;;1.1;15.6;;;;;;;;;;;;;;;
PSY;2013;330783614;330785072;TOT;0;;;0;;;;;;;;35;12;;;;;;;;;;7078;745;;;;;;;;;;;;226;;;;;8;3.08;;;;;;19;11;24.35;6.09;;1.56;;1.1;15.6;;;;;;;;;;;;;;;
PSY;2013;330783721;330781253;GEN;;2;;;;90;8;;;;;57;2;;776;27986;2909;;;;;;10884;97;;2;4;1;26625;2380;6405;758;2722;4;;4860;4628;517;19;10;2;11.13;1;0;0.57;1;1;191;23;206.19;133.2;16.97;6;3.34;1.2;5.33;10;0;4.82;2;0;0.77;;;;;;;;;
PSY;2013;330783721;330781253;INF;;1;;;;8;4;;;;;48;;;572;1671;748;;;;;;6310;0;;1;3;1;13416;2731;8;29;301;276;;1474;1323;31;1;4;1;5.52;2;0;0.67;0;1;62;19;77.09;37.29;;8.62;0.68;3.29;7.65;;;;;;;;;;;;;;;
PSY;2013;330783721;330781253;TOT;1;;1;0;0;98;12;;;;;105;2;;1348;29657;3657;;;;;;17194;97;;3;7;2;40041;5111;6413;787;3023;280;;6245;5875;546;20;14;3;16.65;3;;1.24;;;253;42;283.28;170.49;16.97;14.62;4.02;4.49;12.98;10;;4.82;2;;0.77;;;;;;;;;
PSY;2013;330783960;750005068;GEN;;;;;;;;;;;;50;;;;;;;;;;;12937;;;;;;438;;;;;528;;342;143;;;;5;3.17;;;;0;0;8;6;;8.4;;1.34;1;0.5;;;;;;;;;;;;;;;;
PSY;2013;330783960;750005068;TOT;0;;;0;;;;;;;;50;;;;;;;;;;;12937;;;;;;438;;;;;528;;342;;;;;5;3.17;;;;;;8;6;;8.4;;1.34;1;0.5;;;;;;;;;;;;;;;;
PSY;2013;330785064;;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;;3;;6417;;;;;;;;797;;;;1;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;330785064;;TOT;1;;;0;;;;;;;;;;;;;;;;;;;;;;;3;;6417;;;;;;;;;;;;1;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2013;330802752;330781196;INF;;;;;;10;;;;;;5;;;191;2500;;;;;;;354;;;;;;;;;;;;;94;;94;;4;6;6.8;;4;2.4;0;1;22;2;22.74;12.88;3.36;1;0.8;1;1;;;;;;;22;2;22.74;12.88;3.36;1;0.8;1;1
PSY;2013;330802752;330781196;TOT;0;;;0;;10;;;;;;5;;;191;2500;;;;;;;354;;;;;;;;;;;;;94;;;;4;6;6.8;;4;2.4;;;22;2;22.74;12.88;3.36;1;0.8;1;1;;;;;;;22;2;22.74;12.88;3.36;1;0.8;1;1
PSY;2013;340010149;340010099;GEN;;;;;;53;;;;;;;;;;18755;;;;;;;;;;;;;;;;;;;;153;;;;1;2;1.3;;1;0.3;0;1;20;7;22.83;9;4;1.5;1;3.33;4;;;;;;;;;;;;;;;
PSY;2013;340010149;340010099;TOT;0;;;0;;53;;;;;;;;;;18755;;;;;;;;;;;;;;;;;;;;153;;;;1;2;1.3;;1;0.3;;;20;7;22.83;9;4;1.5;1;3.33;4;;;;;;;;;;;;;;;
PSY;2013;340011386;340787399;GEN;;;;;;;;8;;;;;;;;;;2920;;;;;;;;;;1;;5344;;;;;;114;90;;;;;;;;0;0;0;;;;0.1;;2.1;;;1.5;;;;;;;;;;;;;;;
PSY;2013;340011386;340787399;TOT;0;;;0;;;;8;;;;;;;;;;2920;;;;;;;;;;1;;5344;;;;;;114;90;;;;;;;;0;;;;;;0.1;;2.1;;;1.5;;;;;;;;;;;;;;;
PSY;2013;340016732;340780055;GEN;;3;;;;128;6;0;0;0;0;44;1;;1816;43803;1409;;;;;;14297;65;;1;5;;30209;;5220;138;5531;2;;6491;6189;869;97;;;;;;;;1;218;28;217.83;135.57;36.76;19.84;;6.23;10.61;;;;;;;146;12;153.52;87.03;35.13;2.5;;0.3;4.15
PSY;2013;340016732;340780055;INF;;1;;;;0;2;;;0;0;12;;;46;;339;;;;;;3297;0;;3;3;;15715;;578;27;371;28;;2200;2026;3;;;;;;;;;;41;8;40.03;7.63;;7.93;;;0.97;;;;;;;;;;;;;;;
PSY;2013;340016732;340780055;PEN;;;;;;0;;;;;;0;;;0;0;;;;;;;0;;;;1;;;;;;;;5910;;;62;;;;;;;;;;5;;5;;;;;;;;;;;;;;;;;;;;;
PSY;2013;340016732;340780055;TOT;1;;1;1;;128;8;0;0;0;0;56;1;;1862;43803;1748;;;;;;17594;65;;4;9;;45924;;5798;165;5902;30;5910;8753;8655;878;;;;;;;;;;264;36;262.86;143.2;36.76;27.77;;6.23;11.58;;;;;;;146;12;153.52;87.03;35.13;2.5;;0.3;4.15
PSY;2013;340780121;340000082;GEN;;;;;;95;0;0;0;0;0;15;0;0;760;34533;;;;;;;5109;;;;;;;;;;;;;706;;626;13;;7;5;;2;1.9;0;1;43;28;58.85;27;11;0.8;0.6;;2.5;;;;;;;;;;;;;;;
PSY;2013;340780121;340000082;TOT;0;;;0;;95;0;0;0;0;0;15;0;0;760;34533;;;;;;;5109;;;;;;;;;;;;;706;;;;;7;5;;2;1.9;;;43;28;58.85;27;11;0.8;0.6;;2.5;;;;;;;;;;;;;;;
PSY;2013;340780485;340780477;GEN;;8;;;;286;23;10;;;;221;;14;;;;;;;;;;;;;18;13;;;;;;;;;;;;42;4;38.73;1;2;1.29;;;468;111;608.91;381.28;67.01;21.2;16.97;2.61;23.97;;;;;;;;;;;;;;;
PSY;2013;340780485;340780477;INF;;1;;;;;2;;;;;27;;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;11;1;8.72;;1;0.4;;;50;25;68.53;21.5;;10.5;13.24;3.21;18.72;;;;;;;;;;;;;;;
PSY;2013;340780485;340780477;TOT;1;;4;0;;286;25;10;;;;248;;16;;;;;;;;;;;;;21;15;;;;;;;;;;;;53;5;47.45;1;3;1.69;;;518;136;677.44;402.78;67.01;31.7;30.21;5.82;42.69;;;;;;;;;;;;;;;
PSY;2013;340780758;340000355;GEN;;;;;;147;;;46;;;14;;;1293;51439;;;14683;;;;5870;;;;;;;;;;;;;996;107;889;12;3;7;1.28;2;5;2.38;0;1;89;15;88.75;45.08;24.66;3.12;;12.54;3.35;3;6;1.07;2;5;2.38;87;12;84.95;42.28;24.66;2.62;;12.54;2.85
PSY;2013;340780758;340000355;TOT;0;;;0;;147;;;46;;;14;;;1293;51439;;;14683;;;;5870;;;;;;;;;;;;;996;107;889;12;3;7;1.28;2;5;2.38;;;89;15;88.75;45.08;24.66;3.12;;12.54;3.35;3;6;1.07;2;5;2.38;87;12;84.95;42.28;24.66;2.62;;12.54;2.85
PSY;2013;340780766;340000363;GEN;;;;;;96;;;;;;;;;815;34664;;;;;;;;;;;;;;;;;;;;581;;581;;2;5;5;;5;4.5;1;1;43;8;39.9;17.8;15.38;1.2;0.34;2.79;2.46;2;5;5;;5;4.5;;;;;;;;;
PSY;2013;340780766;340000363;INF;;;;;;12;;;;;;;;;280;3874;;;;;;;;;;;;;;;;;;;;95;;95;;;2;1.13;;1;0.3;1;1;12;2;12.5;6;2;0.8;;0.91;2.79;;2;1.13;;1;0.3;;;;;;;;;
PSY;2013;340780766;340000363;TOT;0;;;0;;108;;;;;;;;;1095;38538;;;;;;;;;;;;;;;;;;;;675;;675;;2;7;6.13;;6;4.8;;;55;10;52.4;23.8;17.38;2;0.34;3.7;5.25;2;7;6.13;;6;4.8;;;;;;;;;
