BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2013;020000162;020000063;N2320;12;4;13.91;1;0
BLOCS_P;2013;020000162;020000063;N2510;13;0;12.55;0;1
BLOCS_P;2013;020000162;020000063;NAUT;42;24;52.71;0;0
BLOCS_P;2013;020000162;020000063;N9999;102;46;126.87;;
BLOCS_P;2013;020000311;020000550;M100H;;3;0.9;0;0
BLOCS_P;2013;020000311;020000550;M1030;1;;1;0;0
BLOCS_P;2013;020000311;020000550;M200H;3;4;4.1;0;0
BLOCS_P;2013;020000311;020000550;N2200;3;;3;0;1
BLOCS_P;2013;020000311;020000550;N2510;2;;2;0;1
BLOCS_P;2013;020000311;020000550;NAUT;2;;1.5;0;0
BLOCS_P;2013;020000311;020000550;N9999;7;;6.5;;
BLOCS_P;2013;020000360;020014742;N2200;6;2;7.6;;0
BLOCS_P;2013;020000360;020014742;N2320;1;;1;;0
BLOCS_P;2013;020000360;020014742;N2510;3;;3;;0
BLOCS_P;2013;020000360;020014742;N9999;10;2;11.6;;
BLOCS_P;2013;020000394;020000253;M100H;0;1;0.03;0;0
BLOCS_P;2013;020000394;020000253;M1030;7;1;7.05;1;0
BLOCS_P;2013;020000394;020000253;M200H;0;0;0;0;1
BLOCS_P;2013;020000394;020000253;N2200;17;6;19.08;0;1
BLOCS_P;2013;020000394;020000253;N2310;9;0;9.67;1;0
BLOCS_P;2013;020000394;020000253;N2320;2;1;3.05;1;0
BLOCS_P;2013;020000394;020000253;N2510;7;2;7.8;0;0
BLOCS_P;2013;020000394;020000253;N4160;0;0;0;0;1
BLOCS_P;2013;020000394;020000253;NAUT;5;1;5.62;0;0
BLOCS_P;2013;020000394;020000253;N9999;40;10;45.22;;
BLOCS_P;2013;020000519;020000261;M100H;7;2;0.9;0;1
BLOCS_P;2013;020000519;020000261;M1030;5;1;5.5;1;1
BLOCS_P;2013;020000519;020000261;M200H;13;7;5.6;1;1
BLOCS_P;2013;020000519;020000261;N2200;12;4;14.8;1;0
BLOCS_P;2013;020000519;020000261;N2310;7;4;10.2;1;0
BLOCS_P;2013;020000519;020000261;N2320;6;3;8.4;1;0
BLOCS_P;2013;020000519;020000261;N2510;10;;10;0;0
BLOCS_P;2013;020000519;020000261;N4160;2;;2;0;0
BLOCS_P;2013;020000519;020000261;NAUT;4;1;4.7;0;0
BLOCS_P;2013;020000519;020000261;N9999;39;12;48.1;;
BLOCS_P;2013;020000535;020000287;M100H;;;;1;1
BLOCS_P;2013;020000535;020000287;M1030;;2;1.53;1;
BLOCS_P;2013;020000535;020000287;M200H;;;;0;1
BLOCS_P;2013;020000535;020000287;N2200;5;1;5.46;0;
BLOCS_P;2013;020000535;020000287;N2310;2;4;5.21;1;
BLOCS_P;2013;020000535;020000287;N2320;10;;10;0;
BLOCS_P;2013;020000535;020000287;N2510;9;1;10.7;0;
BLOCS_P;2013;020000535;020000287;N4160;;;0.1;0;
BLOCS_P;2013;020000535;020000287;NAUT;;2;1.25;0;
BLOCS_P;2013;020000535;020000287;N9999;26;8;32.62;;
BLOCS_P;2013;020001061;020004404;M100H;1;3;0.31;;
BLOCS_P;2013;020001061;020004404;M1030;4;0;1.5;1;0
BLOCS_P;2013;020001061;020004404;M200H;8;5;2.57;;
BLOCS_P;2013;020001061;020004404;N2200;3;;3;0;0
BLOCS_P;2013;020001061;020004404;N2310;5;;5;1;0
BLOCS_P;2013;020001061;020004404;N2320;6;;6;0;1
BLOCS_P;2013;020001061;020004404;N2510;1;;1;0;0
BLOCS_P;2013;020001061;020004404;N4160;1;;0.6;0;0
BLOCS_P;2013;020001061;020004404;NAUT;3;1;3;0;0
BLOCS_P;2013;020001061;020004404;N9999;18;1;18;;
BLOCS_P;2013;020004156;590805065;M100H;;3;0.1;0;0
BLOCS_P;2013;020004156;590805065;M1030;;7;0.1;0;0
BLOCS_P;2013;020004156;590805065;N2200;;2;0.2;;0
BLOCS_P;2013;020004156;590805065;N2510;;2;0.15;;0
BLOCS_P;2013;020004156;590805065;NAUT;;2;0.2;;0
BLOCS_P;2013;020004156;590805065;N9999;;6;0.55;;
BLOCS_P;2013;020010047;020001632;M100H;3;2;5;0;1
BLOCS_P;2013;020010047;020001632;M1030;6;1;7;0;1
BLOCS_P;2013;020010047;020001632;M200H;8;7;15;0;1
BLOCS_P;2013;020010047;020001632;N2200;15;1;15.8;0;1
BLOCS_P;2013;020010047;020001632;N2320;2;;2;0;1
BLOCS_P;2013;020010047;020001632;N2510;12;2;13.5;0;0
BLOCS_P;2013;020010047;020001632;N4160;1;;1;0;0
BLOCS_P;2013;020010047;020001632;NAUT;4;;4;0;0
BLOCS_P;2013;020010047;020001632;N9999;33;3;35.3;;
BLOCS_P;2013;030000061;030780092;M100H;;;;0;1
BLOCS_P;2013;030000061;030780092;M1030;;;;1;0
BLOCS_P;2013;030000061;030780092;M200H;2;2;3.6;0;1
BLOCS_P;2013;030000061;030780092;N2200;10;3;11.65;1;1
BLOCS_P;2013;030000061;030780092;N2310;10;3;12.46;1;0
BLOCS_P;2013;030000061;030780092;N2320;9;;9.83;1;1
BLOCS_P;2013;030000061;030780092;N2510;8;1;8.8;0;1
BLOCS_P;2013;030000061;030780092;N4130;;;;0;1
BLOCS_P;2013;030000061;030780092;NAUT;7;;5.81;0;0
BLOCS_P;2013;030000061;030780092;N9999;44;7;48.55;;
BLOCS_P;2013;030000079;030780100;M100H;;;;0;1
BLOCS_P;2013;030000079;030780100;M1030;3;;3.25;1;0
BLOCS_P;2013;030000079;030780100;M200H;;;;0;1
BLOCS_P;2013;030000079;030780100;N2200;4;;6.82;0;1
BLOCS_P;2013;030000079;030780100;N2310;11;;11;0;1
BLOCS_P;2013;030000079;030780100;N2320;9;;8.39;0;1
BLOCS_P;2013;030000079;030780100;N2510;6;;7.89;0;0
BLOCS_P;2013;030000079;030780100;N4160;1;;1;0;0
BLOCS_P;2013;030000079;030780100;N9999;30;;34.1;;
BLOCS_P;2013;030000087;030780118;M100H;14;1;14.1;0;1
BLOCS_P;2013;030000087;030780118;M1030;5;1;5.8;0;1
BLOCS_P;2013;030000087;030780118;M200H;10;2;11;0;1
BLOCS_P;2013;030000087;030780118;N2200;11;7;12.11;;1
BLOCS_P;2013;030000087;030780118;N2310;17;1;16.93;;1
BLOCS_P;2013;030000087;030780118;N2320;11;4;14.8;;1
BLOCS_P;2013;030000087;030780118;N2510;4;1;5.33;;0
BLOCS_P;2013;030000087;030780118;N4160;1;0;1.16;;0
BLOCS_P;2013;030000087;030780118;NAUT;3;6;7.87;;1
BLOCS_P;2013;030000087;030780118;N9999;46;19;57.04;;
BLOCS_P;2013;030780548;030000194;M100H;4;;2.3;0;1
BLOCS_P;2013;030780548;030000194;M1030;3;;3;0;1
BLOCS_P;2013;030780548;030000194;M200H;20;;20;0;1
BLOCS_P;2013;030780548;030000194;N2200;13;7;15.94;0;1
BLOCS_P;2013;030780548;030000194;N2510;8;3;9.68;0;1
BLOCS_P;2013;030780548;030000194;NAUT;9;1;9.62;0;0
BLOCS_P;2013;030780548;030000194;N9999;30;11;35.24;;
BLOCS_P;2013;030781116;030000426;M100H;18;19;25;1;
BLOCS_P;2013;030781116;030000426;M1030;6;1;6.5;1;
BLOCS_P;2013;030781116;030000426;M200H;20;0;20;1;
BLOCS_P;2013;030781116;030000426;N2200;24;;24;;
BLOCS_P;2013;030781116;030000426;N2510;9;;9;;
BLOCS_P;2013;030781116;030000426;N4160;3;;3;;
BLOCS_P;2013;030781116;030000426;NAUT;13;1;12.8;;
BLOCS_P;2013;030781116;030000426;N9999;46;1;45.8;;
BLOCS_P;2013;030785430;030785422;M100H;2;;2;0;1
BLOCS_P;2013;030785430;030785422;M1030;4;;4;0;1
BLOCS_P;2013;030785430;030785422;M200H;15;5;17.5;0;1
BLOCS_P;2013;030785430;030785422;N2200;6;;6;0;1
BLOCS_P;2013;030785430;030785422;N2310;1;1;1.5;0;0
BLOCS_P;2013;030785430;030785422;N2320;6;;6;0;1
BLOCS_P;2013;030785430;030785422;N2510;5;;5;0;1
BLOCS_P;2013;030785430;030785422;N4160;1;;1;0;0
BLOCS_P;2013;030785430;030785422;NAUT;5;1;5.5;0;0
BLOCS_P;2013;030785430;030785422;N9999;23;2;24;;
BLOCS_P;2013;040000093;040780215;M1030;6;2;8;1;0
BLOCS_P;2013;040000093;040780215;M200H;6;6;12;0;1
BLOCS_P;2013;040000093;040780215;N2200;9;3;11.45;;1
BLOCS_P;2013;040000093;040780215;N2310;10;2;11.6;0;1
BLOCS_P;2013;040000093;040780215;N2320;2;3;4.17;0;1
BLOCS_P;2013;040000093;040780215;NAUT;8;;7.33;0;1
BLOCS_P;2013;040000093;040780215;N9999;29;8;34.55;;
BLOCS_P;2013;040000135;050002948;M1030;1;0;0.5;;
BLOCS_P;2013;040000135;050002948;N2200;0;1;0.8;;
BLOCS_P;2013;040000135;050002948;N2310;0;1;0.28;;
BLOCS_P;2013;040000135;050002948;N2320;0;1;0.8;;
BLOCS_P;2013;040000135;050002948;NAUT;3;0;1.43;;
BLOCS_P;2013;040000135;050002948;N9999;3;3;3.31;;
BLOCS_P;2013;040000911;040788879;M100H;;3;0.75;;1
BLOCS_P;2013;040000911;040788879;M1030;2;2;2;;1
BLOCS_P;2013;040000911;040788879;M200H;5;;5;;1
BLOCS_P;2013;040000911;040788879;N2200;12;3;14.15;;1
BLOCS_P;2013;040000911;040788879;N2310;4;2;5.45;;1
BLOCS_P;2013;040000911;040788879;N2320;2;2;4;;1
BLOCS_P;2013;040000911;040788879;N2510;7;;7;;1
BLOCS_P;2013;040000911;040788879;N4160;;1;0.5;0;0
BLOCS_P;2013;040000911;040788879;NAUT;9;4;7.92;0;0
BLOCS_P;2013;040000911;040788879;N9999;34;11;38.52;;
BLOCS_P;2013;040780470;040000192;M100H;;2;1;;
BLOCS_P;2013;040780470;040000192;M1030;2;1;2.5;;
BLOCS_P;2013;040780470;040000192;M200H;4;13;8.3;;
BLOCS_P;2013;040780470;040000192;N2200;6;1;5.8;;
BLOCS_P;2013;040780470;040000192;N2310;1;1;1.5;;
BLOCS_P;2013;040780470;040000192;N2320;1;;1;;
BLOCS_P;2013;040780470;040000192;N2510;1;;1;;
BLOCS_P;2013;040780470;040000192;N4160;1;;1;;
BLOCS_P;2013;040780470;040000192;NAUT;2;2;3;;
BLOCS_P;2013;040780470;040000192;N9999;11;4;12.3;;
BLOCS_P;2013;050000041;130037815;M100H;;2;0.2;;
BLOCS_P;2013;050000041;130037815;N2200;2;;1.75;;
BLOCS_P;2013;050000041;130037815;N2510;;1;0.75;;
BLOCS_P;2013;050000041;130037815;N9999;2;1;2.5;;
BLOCS_P;2013;050000090;050006931;M100H;8;;8;;
BLOCS_P;2013;050000090;050006931;M1030;6;;6;;
BLOCS_P;2013;050000090;050006931;M200H;23;;23;;
BLOCS_P;2013;050000090;050006931;N2200;9;13;20.16;0;0
BLOCS_P;2013;050000090;050006931;N2310;3;1;3.85;0;0
BLOCS_P;2013;050000090;050006931;N2320;1;;1;0;0
BLOCS_P;2013;050000090;050006931;NAUT;7;4;10.66;0;0
BLOCS_P;2013;050000090;050006931;N9999;20;18;35.67;;
BLOCS_P;2013;050000231;050000116;M200H;5;1;5.94;0;1
BLOCS_P;2013;050000231;050000116;N2200;8;2;8.38;0;1
BLOCS_P;2013;050000231;050000116;N2310;6;3;9;0;1
BLOCS_P;2013;050000231;050000116;N2320;5;3;8.25;0;1
BLOCS_P;2013;050000231;050000116;N2510;2;2;3;0;1
BLOCS_P;2013;050000231;050000116;N4160;1;;1;0;0
BLOCS_P;2013;050000231;050000116;NAUT;3;1;3.8;0;0
BLOCS_P;2013;050000231;050000116;N9999;24;11;32.43;;
BLOCS_P;2013;050000348;050002948;M100H;10;12;2.8;0;1
BLOCS_P;2013;050000348;050002948;M1030;4;6;6.9;1;0
BLOCS_P;2013;050000348;050002948;M200H;7;7;2.86;0;1
BLOCS_P;2013;050000348;050002948;N2200;6;2;6.33;1;0
BLOCS_P;2013;050000348;050002948;N2310;14;8;18.7;;
BLOCS_P;2013;050000348;050002948;N2320;14;5;16.94;1;0
BLOCS_P;2013;050000348;050002948;N2510;12;5;15.14;1;0
BLOCS_P;2013;050000348;050002948;N4160;0;0;0;0;1
BLOCS_P;2013;050000348;050002948;NAUT;5;1;4.76;1;0
BLOCS_P;2013;050000348;050002948;N9999;51;21;61.87;;
BLOCS_P;2013;050006436;050002948;M100H;;5;0.02;0;0
BLOCS_P;2013;050006436;050002948;M1030;;5;0.11;0;0
BLOCS_P;2013;050006436;050002948;M200H;;3;0.03;0;0
BLOCS_P;2013;050006436;050002948;N2200;;1;0.06;;
BLOCS_P;2013;050006436;050002948;N2310;;1;0.2;;
BLOCS_P;2013;050006436;050002948;N2320;;1;0.2;;
BLOCS_P;2013;050006436;050002948;N2510;;1;0.15;;
BLOCS_P;2013;050006436;050002948;NAUT;;1;0.05;;
BLOCS_P;2013;050006436;050002948;N9999;;5;0.66;;
BLOCS_P;2013;060000478;060780897;M1030;11;4;14.7;1;0
BLOCS_P;2013;060000478;060780897;M200H;8;17;16.13;0;1
BLOCS_P;2013;060000478;060780897;N2200;8;0;6.62;;
BLOCS_P;2013;060000478;060780897;N2310;12;5;16.4;;
BLOCS_P;2013;060000478;060780897;N2320;12;1;13.23;;
BLOCS_P;2013;060000478;060780897;N2510;1;0;1;;
BLOCS_P;2013;060000478;060780897;NAUT;11;1;9.19;;
BLOCS_P;2013;060000478;060780897;N9999;44;7;46.44;;
BLOCS_P;2013;060000510;060780954;M100H;2;1;2.5;0;1
BLOCS_P;2013;060000510;060780954;M1030;7;3;9.59;1;0
BLOCS_P;2013;060000510;060780954;M200H;11;28;15.54;0;1
BLOCS_P;2013;060000510;060780954;N2200;12;2;13.44;0;0
BLOCS_P;2013;060000510;060780954;N2310;9;5;13;1;0
BLOCS_P;2013;060000510;060780954;N2320;8;1;9;1;0
BLOCS_P;2013;060000510;060780954;N2510;4;1;4.93;0;0
BLOCS_P;2013;060000510;060780954;NAUT;10;2;12;0;0
BLOCS_P;2013;060000510;060780954;N9999;43;11;52.37;;
BLOCS_P;2013;060000528;060780962;M100H;3;5;5.23;0;1
BLOCS_P;2013;060000528;060780962;M1030;5;2;5.83;0;1
BLOCS_P;2013;060000528;060780962;M200H;13;3;9.16;0;1
BLOCS_P;2013;060000528;060780962;N2200;16;;12.02;0;0
BLOCS_P;2013;060000528;060780962;N2310;11;1;9.17;0;1
BLOCS_P;2013;060000528;060780962;N2320;6;;5.33;0;1
BLOCS_P;2013;060000528;060780962;N2510;5;;4.89;0;1
BLOCS_P;2013;060000528;060780962;N4130;;;;0;1
BLOCS_P;2013;060000528;060780962;NAUT;9;1;6.21;0;0
BLOCS_P;2013;060000528;060780962;N9999;47;2;37.62;;
BLOCS_P;2013;060000544;060780988;M100H;14;5;15;1;1
BLOCS_P;2013;060000544;060780988;M1030;9;6;11.3;1;
BLOCS_P;2013;060000544;060780988;M200H;20;16;22.25;;1
BLOCS_P;2013;060000544;060780988;N2200;13;2;14.45;;
BLOCS_P;2013;060000544;060780988;N2510;20;1;10.05;;
BLOCS_P;2013;060000544;060780988;N4160;2;;0.2;;
BLOCS_P;2013;060000544;060780988;NAUT;20;10;37.8;;
BLOCS_P;2013;060000544;060780988;N9999;53;13;62.3;;
BLOCS_P;2013;060001450;060785011;M100H;1;0;0.42;1;1
BLOCS_P;2013;060001450;060785011;M1030;14;0;12.37;1;0
BLOCS_P;2013;060001450;060785011;M200H;22;10;7.08;1;1
BLOCS_P;2013;060001450;060785011;N2200;31;3;33.02;;
BLOCS_P;2013;060001450;060785011;N2310;24;2;24.41;;
BLOCS_P;2013;060001450;060785011;N2320;9;3;11.39;;
BLOCS_P;2013;060001450;060785011;N2510;24;4;26.2;;
BLOCS_P;2013;060001450;060785011;NAUT;22;2;18.47;;
BLOCS_P;2013;060001450;060785011;N9999;110;14;113.49;;
BLOCS_P;2013;060002102;060791761;M100H;4;6;5.6;1;1
BLOCS_P;2013;060002102;060791761;M1030;3;1;3.5;0;1
BLOCS_P;2013;060002102;060791761;M200H;5;2;5.3;0;1
BLOCS_P;2013;060002102;060791761;N2200;4;2;5.6;0;1
BLOCS_P;2013;060002102;060791761;N2310;5;2;6.6;0;1
BLOCS_P;2013;060002102;060791761;N2320;4;;4;0;1
BLOCS_P;2013;060002102;060791761;N2510;5;;5;0;1
BLOCS_P;2013;060002102;060791761;NAUT;1;;1;0;1
BLOCS_P;2013;060002102;060791761;N9999;19;4;22.2;;
BLOCS_P;2013;060019288;060017019;M1030;0;0;4.42;;
BLOCS_P;2013;060019288;060017019;M200H;0;0;1.24;;
BLOCS_P;2013;060019288;060017019;N2200;0;0;6.73;;
BLOCS_P;2013;060019288;060017019;N2310;0;0;5.95;;
BLOCS_P;2013;060019288;060017019;N2320;0;0;1.5;;
BLOCS_P;2013;060019288;060017019;N2510;0;0;5.9;;
BLOCS_P;2013;060019288;060017019;N4160;0;0;0.5;;
BLOCS_P;2013;060019288;060017019;N9999;0;0;20.08;;
BLOCS_P;2013;060021417;060000221;M100H;1;4;2;0;1
BLOCS_P;2013;060021417;060000221;M1030;7;1;7.5;0;1
BLOCS_P;2013;060021417;060000221;M200H;;59;19.7;0;1
BLOCS_P;2013;060021417;060000221;N2200;18;5;20.1;0;1
BLOCS_P;2013;060021417;060000221;N2310;;;;0;1
BLOCS_P;2013;060021417;060000221;N2320;;2;1.17;0;1
BLOCS_P;2013;060021417;060000221;N2510;6;;4.75;0;1
BLOCS_P;2013;060021417;060000221;N4130;;;;0;1
BLOCS_P;2013;060021417;060000221;N4160;3;;3;0;1
BLOCS_P;2013;060021417;060000221;NAUT;12;1;12;0;1
BLOCS_P;2013;060021417;060000221;N9999;36;8;38.02;;
BLOCS_P;2013;060780442;060000213;M100H;;13;2;0;1
BLOCS_P;2013;060780442;060000213;M1030;4;;4;0;1
BLOCS_P;2013;060780442;060000213;M200H;3;42;10;0;1
BLOCS_P;2013;060780442;060000213;N2200;10;;10;0;1
BLOCS_P;2013;060780442;060000213;N2310;1;;1;0;0
BLOCS_P;2013;060780442;060000213;N2320;1;;1;0;0
BLOCS_P;2013;060780442;060000213;N2510;2;;2;0;0
BLOCS_P;2013;060780442;060000213;N4130;1;;1;0;0
BLOCS_P;2013;060780442;060000213;NAUT;4;;4;0;0
BLOCS_P;2013;060780442;060000213;N9999;19;;19;;
BLOCS_P;2013;060780491;060790797;M100H;;12;6;0;1
BLOCS_P;2013;060780491;060790797;M1030;;10;5;1;1
BLOCS_P;2013;060780491;060790797;M200H;;14;7;0;1
BLOCS_P;2013;060780491;060790797;N2200;12;21;23.75;0;1
BLOCS_P;2013;060780491;060790797;N2510;9;3;10.08;0;1
BLOCS_P;2013;060780491;060790797;N4160;2;1;2.73;0;1
BLOCS_P;2013;060780491;060790797;N9999;21;24;33.83;;
BLOCS_P;2013;060780517;060000239;M200H;26;15;33;;
BLOCS_P;2013;060780590;060000270;M100H;4;2;4.4;0;1
BLOCS_P;2013;060780590;060000270;M1030;2;2;3;0;1
BLOCS_P;2013;060780590;060000270;M200H;12;5;13;0;1
BLOCS_P;2013;060780590;060000270;N2200;8;2;9.28;0;1
BLOCS_P;2013;060780590;060000270;N2310;1;3;2.5;0;0
BLOCS_P;2013;060780590;060000270;N2320;1;1;1.98;0;1
BLOCS_P;2013;060780590;060000270;N2510;1;1;1.7;0;0
BLOCS_P;2013;060780590;060000270;N4160;1;;1;0;0
BLOCS_P;2013;060780590;060000270;NAUT;3;1;3.2;0;0
BLOCS_P;2013;060780590;060000270;N9999;14;8;18.66;;
BLOCS_P;2013;060780665;060000312;M1030;2;;2;;1
BLOCS_P;2013;060780665;060000312;M200H;;30;15;;1
BLOCS_P;2013;060780665;060000312;N2200;4;2;5.6;;1
BLOCS_P;2013;060780665;060000312;N2510;1;;1;0;0
BLOCS_P;2013;060780665;060000312;N4160;1;;1;0;0
BLOCS_P;2013;060780665;060000312;NAUT;4;;4;0;0
BLOCS_P;2013;060780665;060000312;N9999;9;2;10.6;;
BLOCS_P;2013;060780699;060000346;M1030;;2;1;0;0
BLOCS_P;2013;060780699;060000346;N2200;4;;3.5;0;0
BLOCS_P;2013;060780699;060000346;N2310;;2;1;0;0
BLOCS_P;2013;060780699;060000346;NAUT;1;;1;0;0
BLOCS_P;2013;060780699;060000346;N9999;5;2;5.5;;
BLOCS_P;2013;060780715;060000361;M100H;5;108;26.6;0;0
BLOCS_P;2013;060780715;060000361;M1030;26;1;26.2;1;1
BLOCS_P;2013;060780715;060000361;M200H;26;37;33.4;0;1
BLOCS_P;2013;060780715;060000361;N2200;17;1;17.5;1;
BLOCS_P;2013;060780715;060000361;N2320;20;2;20.8;1;
BLOCS_P;2013;060780715;060000361;N2510;17;1;17.5;;
BLOCS_P;2013;060780715;060000361;N4130;12;;12;;1
BLOCS_P;2013;060780715;060000361;N4160;2;;2;;
BLOCS_P;2013;060780715;060000361;NAUT;33;;33;;
BLOCS_P;2013;060780715;060000361;N9999;99;4;100.8;;
BLOCS_P;2013;060780723;060004959;M100H;;22;1.5;;
BLOCS_P;2013;060780723;060004959;M1030;8;2;9;;1
BLOCS_P;2013;060780723;060004959;M200H;;60;25.5;0;0
BLOCS_P;2013;060780723;060004959;N2200;2;;1.94;0;0
BLOCS_P;2013;060780723;060004959;N2320;4;3;6.22;0;1
BLOCS_P;2013;060780723;060004959;N2510;2;;2;0;0
BLOCS_P;2013;060780723;060004959;N4130;8;2;9;0;1
BLOCS_P;2013;060780723;060004959;N4160;1;;1;0;0
BLOCS_P;2013;060780723;060004959;NAUT;5;1;5.5;0;0
BLOCS_P;2013;060780723;060004959;N9999;21;6;24.66;;
BLOCS_P;2013;060780756;060000403;M1030;5;;5;;
BLOCS_P;2013;060780756;060000403;M200H;5;;5;;
BLOCS_P;2013;060780756;060000403;N2310;1;;1;;
BLOCS_P;2013;060780756;060000403;N2320;;3;0.2;;
BLOCS_P;2013;060780756;060000403;N4160;1;;1;;
BLOCS_P;2013;060780756;060000403;N9999;1;3;1.2;;
BLOCS_P;2013;060780947;060800174;M1030;7;1;3.15;1;0
BLOCS_P;2013;060780947;060800174;M200H;5;9;1.18;0;1
BLOCS_P;2013;060780947;060800174;N2200;12;3;6.11;0;1
BLOCS_P;2013;060780947;060800174;N2310;8;6;6.05;0;1
BLOCS_P;2013;060780947;060800174;N2320;4;1;2.31;0;1
BLOCS_P;2013;060780947;060800174;N2510;5;0;2.67;0;1
BLOCS_P;2013;060780947;060800174;N4160;1;0;0.5;1;0
BLOCS_P;2013;060780947;060800174;NAUT;7;0;3.5;0;1
BLOCS_P;2013;060780947;060800174;N9999;36;10;20.64;;
BLOCS_P;2013;060781200;060000635;M100H;;44;5.2;1;
BLOCS_P;2013;060781200;060000635;M1030;5;2;6.2;1;
BLOCS_P;2013;060781200;060000635;M200H;;37;8;1;
BLOCS_P;2013;060781200;060000635;N2200;8;1;8.3;;1
BLOCS_P;2013;060781200;060000635;N2510;6;;6;;
BLOCS_P;2013;060781200;060000635;N4130;2;1;2.33;;1
BLOCS_P;2013;060781200;060000635;N4160;1;;1;;
BLOCS_P;2013;060781200;060000635;NAUT;5;;5;;
BLOCS_P;2013;060781200;060000635;N9999;21;2;21.63;;
BLOCS_P;2013;060785003;060785011;M100H;0;0;0;0;1
BLOCS_P;2013;060785003;060785011;M1030;7;1;2.38;0;1
BLOCS_P;2013;060785003;060785011;M200H;15;2;4.37;0;1
BLOCS_P;2013;060785003;060785011;N2200;31;5;33.92;;
BLOCS_P;2013;060785003;060785011;N2310;15;3;16.4;;
BLOCS_P;2013;060785003;060785011;N2320;5;0;5;;
BLOCS_P;2013;060785003;060785011;N2510;22;3;22.19;;
BLOCS_P;2013;060785003;060785011;N4130;2;2;3.72;;
BLOCS_P;2013;060785003;060785011;N4160;2;2;3.72;;
BLOCS_P;2013;060785003;060785011;NAUT;25;0;16.09;;
BLOCS_P;2013;060785003;060785011;N9999;100;13;97.32;;
BLOCS_P;2013;060785219;060001468;M100H;1;3;2;0;1
BLOCS_P;2013;060785219;060001468;M1030;;10;0.2;0;1
BLOCS_P;2013;060785219;060001468;N2200;1;1;1.8;;
BLOCS_P;2013;060785219;060001468;N4130;;2;0.8;;
BLOCS_P;2013;060785219;060001468;N4160;;1;0.2;;
BLOCS_P;2013;060785219;060001468;NAUT;2;1;2.5;;
BLOCS_P;2013;060785219;060001468;N9999;3;4;5.1;;
BLOCS_P;2013;060789195;060785011;M100H;0;1;0.04;1;1
BLOCS_P;2013;060789195;060785011;M1030;21;3;16.7;1;1
