BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2013;050000132;050007145;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;;;
INFOMED;2013;050000231;050000116;0;0;1;;;;;;;1;0;0;0;0;0;0;0;1;1;0;0;0;;3;1
INFOMED;2013;050000256;050000124;;;1;;;;1;;;;;;0;0;0;0;0;1;1;0;1;1;050002948;1.15;0.3
INFOMED;2013;050000348;050002948;1;0;0;0;0;0;1;0;0;;;;0;0;0;0;0;1;1;1;0;1;;4.94;1.46
INFOMED;2013;050000371;050003508;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;1;0;;0.1;0.05
INFOMED;2013;050000488;050000678;;;;;;;0;1;0;;;;1;0;0;0;0;0;0;0;0;0;;1;0.3
INFOMED;2013;050000637;050001163;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;;0.2;0.17
INFOMED;2013;050000991;050000546;;;;;;;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;;0.8;0.3
INFOMED;2013;050001064;050000561;;;;;;;0;1;0;;;;0;0;0;0;0;1;1;0;0;0;;0.1;0.2
INFOMED;2013;050002351;130037815;;;;;;;;;1;;;;;;;;;;1;;;0;;1;0.2
INFOMED;2013;050003359;380793802;0;0;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;
INFOMED;2013;050006022;380793802;;;1;;;;;;;;;;0;0;0;0;0;0;;;;0;;;
INFOMED;2013;050006436;050002948;1;0;0;0;0;0;1;0;0;;;;0;0;0;0;0;1;1;1;0;1;;;
INFOMED;2013;060000296;060780640;;;;;;;;1;;;;;0;0;0;0;0;1;1;1;1;0;;;0.1
INFOMED;2013;060000411;060780780;1;;;;;;;;;;;;1;1;1;1;1;0;0;0;0;0;;0.15;0.25
INFOMED;2013;060000445;060780814;;;;;;;0;1;0;;;;1;1;1;0;0;0;0;0;0;0;;0.13;0.1
INFOMED;2013;060000478;060780897;1;;;1;;;1;;;1;;;0;0;0;0;0;1;1;;0;0;;5;1.5
INFOMED;2013;060000486;060780905;;1;;;;;;1;;;;;1;1;1;1;1;;;;;;;;
INFOMED;2013;060000494;060780921;;1;;;;;;;;;;;0;0;0;1;1;0;0;0;0;0;;0.04;0.06
INFOMED;2013;060000510;060780954;1;;;;;;1;;;1;;;0;0;0;0;0;1;0;0;1;0;;4.6;1
INFOMED;2013;060000528;060780962;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;3;1
INFOMED;2013;060000544;060780988;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;;2.5;1
INFOMED;2013;060002102;060791761;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;;0.8;0.5
INFOMED;2013;060005469;750043994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.5;0.3
INFOMED;2013;060015328;060015278;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;;1;0.8
INFOMED;2013;060021201;060000155;;;;;;;0;1;0;;;;0;0;1;0;0;0;;;0;0;;0.1;0.1
INFOMED;2013;060021417;060000221;;1;;;;;;;;;;;1;0;1;1;1;0;1;0;1;0;;3;0.2
INFOMED;2013;060780145;060000049;;;;;;;0;0;1;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.4
INFOMED;2013;060780186;060006939;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;0.25;0.25
INFOMED;2013;060780277;750043994;;;;;;;1;;;;;;0;0;0;0;0;0;0;;0;0;;0.2;0.2
INFOMED;2013;060780343;060000171;;;;;;;0;1;0;;;;0;0;0;0;0;1;1;1;1;1;060780517;0.25;0.25
INFOMED;2013;060780392;060000205;;;;;;;0;1;0;;;;0;0;0;0;0;1;1;1;1;1;060780517;0.2;0.1
INFOMED;2013;060780442;060000213;0;0;1;;;;;;;0;0;1;1;1;1;1;1;;;;1;0;;1;0.5
INFOMED;2013;060780491;060790797;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;2.51;0.2
INFOMED;2013;060780517;060000239;0;0;1;;;;;;;;;;0;0;0;0;0;1;1;1;0;1;060780343;5.87;1
INFOMED;2013;060780558;750720575;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.6;0.25
INFOMED;2013;060780699;060000346;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0.25;0.25
INFOMED;2013;060780715;060000361;0;1;0;;;;;;;;;;0;0;0;0;0;0;;;0;0;;4;1
INFOMED;2013;060780723;060004959;0;1;0;;;;;;;;;;0;0;0;0;0;0;0;;0;1;;3;0.2
INFOMED;2013;060780749;060000395;;;;;;;0;0;1;0;0;1;0;0;0;0;0;0;;;0;0;;0.5;0.4
INFOMED;2013;060780756;060000403;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;;3;0.2
INFOMED;2013;060780947;060800174;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1.25;0.2
