BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2013;220000095;220000046;1;1;;0;0;93;93;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;230000820;230780041;1;1;;83;476;88;83;0;5;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;240000489;240000117;1;1;1;947;3815;1055;352;0;703;0;0;0;0;0;0;0;0;0;;44;0;0
CHIRCAR;2013;250000114;900000365;1;2;0;641;2299;679;492;0;187;0;0;0;;;0;0;;0;0;22;0;0
CHIRCAR;2013;250000270;250000643;1;1;1;591;1608;602;232;0;370;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;250006954;250000015;1;3;3;1425;4312;1589;435;1;1153;1;0;0;3;3;4;895;;691;24;36;1143;7483
CHIRCAR;2013;260000013;260000021;1;1;1;1072;4136;1134;327;0;807;0;0;0;;;0;0;;0;0;47;0;0
CHIRCAR;2013;270000862;270000953;1;;1;440;1876;459;94;0;365;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;280504267;280000134;1;0;1;1030;3187;1113;349;0;764;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;290000025;290020700;1;0;1;540;2011;554;94;0;460;0;0;0;;;;;;;;;0;0
CHIRCAR;2013;290004324;290000017;1;2;3;1112;3910;1297;592;0;705;1;0;0;2;2;0;804;17;698;31;50;1593;9802
CHIRCAR;2013;290019777;290022508;1;1;1;519;1598;546;68;0;478;0;0;0;;;0;0;;0;;12;0;0
CHIRCAR;2013;2A0000022;2A0000014;1;1;1;276;915;322;17;0;305;0;0;0;;;0;0;;0;0;13;0;0
CHIRCAR;2013;2B0000012;2B0000020;1;1;1;648;1611;709;60;0;649;0;0;0;0;0;0;0;0;0;0;28;0;0
CHIRCAR;2013;300780152;300000114;1;0;2;1328;5009;1544;560;0;984;1;0;0;2;2;0;632;;545;;;0;0
CHIRCAR;2013;300782117;300780038;1;2;2;1557;4792;1684;612;0;1072;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;310016977;310781406;1;1;1;121;196;130;6;124;0;0;1;0;1;2;239;0;;0;;;0;0
CHIRCAR;2013;310780259;310000096;1;2;3;4682;11594;5041;1909;4;3128;1;0;0;4;3;6;1548;15;1452;38;74;2466;10863
CHIRCAR;2013;310780309;310000120;1;1;0;548;2079;625;97;0;528;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;310781000;310788880;1;1;2;650;2045;797;108;;689;0;0;0;;;;;;;;;0;0
CHIRCAR;2013;310783055;310781406;1;5;5;3420;13486;4076;1128;0;2948;1;0;1;4;4;3;1501;346;1291;25;60;1295;3301
CHIRCAR;2013;330000605;330781253;1;1;1;863;2998;902;329;0;573;0;0;0;;;0;0;;0;0;43;0;0
CHIRCAR;2013;330780081;330000043;1;2;2;1470;4692;1726;792;7;927;1;0;0;;2;0;1879;;1772;35;40;1438;9445
CHIRCAR;2013;330780354;330000225;1;1;1;919;2810;998;319;0;679;0;0;0;;;0;0;;0;0;14;0;0
CHIRCAR;2013;330780503;330000308;1;1;1;1183;3285;1240;56;0;1184;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2013;330781352;330781196;1;;;112;578;131;101;2;30;0;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2013;330783648;330781196;1;7;3;3119;11768;4107;2100;93;1914;1;1;1;6;6;385;2280;;2083;76;162;2433;18806
CHIRCAR;2013;340000033;340780055;1;;1;143;675;152;151;0;1;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;340015502;340000512;1;3;3;1838;5519;1960;710;0;1250;1;0;0;2;2;0;479;;414;20;;171;816
CHIRCAR;2013;340780667;340000280;1;2;2;730;3355;830;264;0;566;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;340796663;340780477;1;3;0;1891;7486;2182;843;3;1336;1;0;1;3;3;3;844;;748;32;64;2464;13596
CHIRCAR;2013;350000147;350000022;1;1;1;630;2420;694;206;0;488;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;350000741;350005179;1;5;2;1598;6533;1761;987;6;768;1;0;1;5;3;10;1776;;1460;40;98;2948;12752
CHIRCAR;2013;350002192;220020739;1;3;2;1066;3246;1088;236;0;852;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;360000137;360000053;1;1;;318;1298;335;217;0;118;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;370000085;370000077;1;2;2;1469;5154;1640;719;0;921;1;0;0;2;2;0;872;30;818;;;0;0
CHIRCAR;2013;370000499;370000481;1;0;0;44;133;47;1;46;0;0;1;0;2;2;221;0;;0;4;0;187;1048
CHIRCAR;2013;370004467;370000481;1;0;2;2229;7737;2477;1296;2;1179;1;0;1;2;2;2;865;;821;14;65;1102;4239
CHIRCAR;2013;380000034;380780049;1;;;93;547;97;93;0;4;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;380000067;380780080;1;3;3;1840;6827;2055;1202;18;835;1;0;1;2;4;2;642;156;597;25;72;722;5577
CHIRCAR;2013;380012658;380012609;1;;1;1015;2853;1140;91;0;1049;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;380786442;380798025;1;1;1;1106;2921;1186;325;0;861;1;0;0;2;2;0;352;30;308;;40;0;0
CHIRCAR;2013;400000105;400780193;1;;;124;658;129;115;0;;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2013;400000139;400011177;1;;1;616;1792;659;102;0;557;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2013;410000020;410000087;1;;;242;1149;254;246;0;8;0;0;0;;;0;0;;0;0;24;0;0
CHIRCAR;2013;420000010;420780033;1;1;0;93;348;98;94;0;4;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2013;420011413;420011405;1;1;0;637;2222;682;163;0;519;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;420785354;420784878;1;5;2;2215;7424;2543;1351;0;1192;1;0;0;2;2;3;878;;777;10;64;568;3375
CHIRCAR;2013;430000117;430000018;1;1;;88;463;95;92;0;3;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2013;440000016;440000057;1;;1;429;1922;460;158;0;302;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2013;440000271;440000289;1;1;;91;511;111;16;61;34;0;1;0;;;0;0;;0;;;0;0
CHIRCAR;2013;440017598;440000289;1;3;3;1854;6742;2032;837;1;1194;1;0;1;;;0;0;;0;;;0;0
CHIRCAR;2013;440041580;440041572;1;;3;2805;7578;3037;1709;0;1328;0;0;0;0;0;0;0;0;0;0;64;0;0
CHIRCAR;2013;450000294;450000591;1;3;3;1138;4638;1247;473;0;774;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;450002613;450000088;1;;;926;3433;1101;398;0;703;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;470000027;470014069;1;0;2;1101;4608;1227;283;0;944;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2013;490000049;490000031;1;3;1;1318;6751;1509;512;0;997;1;1;0;2;3;18;810;0;710;10;51;614;2094
CHIRCAR;2013;490000262;490000171;1;1;;978;3245;1039;612;0;427;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;500000187;500000013;1;;;199;1102;218;159;0;59;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;510000185;510000532;1;1;1;1166;4288;1248;455;0;793;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;510000193;510000557;1;1;;0;0;316;155;;161;0;0;0;;;;;;;;;0;0
CHIRCAR;2013;510002447;510000029;1;1;2;1359;5246;1437;516;0;921;1;0;0;2;2;1;559;;493;20;52;1086;6243
CHIRCAR;2013;530000264;530000371;1;1;;491;2844;550;144;0;406;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;540000445;540000890;1;2;2;1420;3713;1540;685;0;855;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;540000478;540003449;1;3;3;1579;3759;1725;169;0;1556;0;0;0;;;0;0;;0;;12;0;0
CHIRCAR;2013;540002698;540002078;1;6;3;2644;9554;3067;1483;17;1567;1;0;1;3;3;10;1130;;897;24;76;2066;7196
CHIRCAR;2013;550000012;550000020;1;0;0;67;501;79;66;0;13;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;560000127;560023210;1;0;1;1010;3038;1050;324;0;726;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;560000135;560005746;1;1;1;1121;3764;1191;394;0;797;0;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2013;570000646;570001115;1;1;2;1206;3232;1307;428;0;879;1;0;0;2;4;1;713;;454;17;25;567;4330
CHIRCAR;2013;570026682;570005165;1;2;2;2262;5234;2243;660;0;1583;1;0;0;2;2;0;490;;288;23;58;826;5986
CHIRCAR;2013;580972685;580780096;1;;;0;0;0;0;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;580972693;580780039;1;1;1;806;3110;853;96;0;757;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590000337;590781415;1;0;1;555;1472;628;82;0;546;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590000618;590782215;1;2;2;1002;3817;2615;566;0;773;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590001004;590783239;0;;;168;705;172;43;0;129;0;0;0;;;;;;;;;0;0
CHIRCAR;2013;590008041;590008033;1;;1;1283;3918;1450;723;0;727;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590780268;590053955;1;1;1;805;2559;874;274;0;600;1;0;0;2;2;1;872;;807;20;24;902;3358
CHIRCAR;2013;590780284;590051801;1;1;1;1048;5345;1279;823;0;456;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590780383;590000204;1;0;1;736;2259;758;93;0;665;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590782553;590000741;1;1;1;435;1523;452;108;0;344;0;0;0;;;0;0;;0;;26;0;0
CHIRCAR;2013;590787586;590780193;1;5;3;1981;7676;2445;1100;105;1240;1;1;1;3;3;24;1767;;1501;78;130;2486;20239
CHIRCAR;2013;590801106;590782421;1;2;1;508;2660;551;272;0;279;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;590804696;590781902;1;0;0;166;574;170;0;0;170;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;600000467;600101984;1;2;1;996;3435;1007;232;0;775;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;600113476;600100721;1;1;1;695;2869;760;175;0;585;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;610000051;610780082;1;0;0;69;423;73;45;0;28;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2013;620000034;620100057;1;0;0;345;1615;359;108;0;251;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;620000257;620100685;1;2;3;1159;4747;1250;591;0;659;1;0;0;3;2;0;305;;227;6;60;299;1809
CHIRCAR;2013;620000323;620101337;1;0;0;38;299;40;35;0;5;0;0;0;0;0;0;0;;0;0;18;0;0
CHIRCAR;2013;620000653;620103440;1;1;1;747;2126;763;254;0;509;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;620101501;620000364;1;2;2;1289;4436;1404;532;0;872;1;0;0;2;2;0;353;;295;9;;296;1707
CHIRCAR;2013;620118513;620002915;1;2;1;545;1547;576;122;0;454;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;630000404;630780989;1;3;3;2355;8024;2954;1188;37;1729;1;0;1;3;3;0;1258;148;1166;24;92;963;6852
CHIRCAR;2013;630780211;630000107;1;2;1;1178;3358;1370;379;0;991;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;640000162;640780417;1;;;258;958;271;164;0;107;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;640000600;640781290;1;2;1;1337;2728;1487;675;0;812;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;640016580;640010658;1;1;;1804;3183;;;;;0;0;0;;;;;;;10;;885;3183
CHIRCAR;2013;640016598;640010658;1;;2;3234;4649;;;;;0;0;0;;;;;;;18;;1536;4649
CHIRCAR;2013;640781225;640000568;1;;2;656;2287;683;256;0;427;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;650000417;650783160;1;;1;408;1283;427;103;0;324;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2013;650780679;650000243;1;;1;725;3233;835;247;0;588;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;660000084;660780180;1;2;2;955;3960;1320;227;10;1083;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2013;660780784;660000407;1;3;2;1977;6460;2575;699;0;1924;1;0;0;2;2;0;491;;469;;;0;0
CHIRCAR;2013;670000025;670780055;1;1;2;1987;8400;2279;1026;2;1251;1;0;1;3;3;96;1118;;978;24;91;1343;6872
CHIRCAR;2013;670000157;670780337;1;2;1;1098;4061;1138;296;0;842;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;670014430;670001734;1;1;0;;;3496;405;60;10;0;0;0;0;0;;;0;;0;0;;
CHIRCAR;2013;670780170;670000116;1;2;0;1085;2053;1142;222;54;866;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;670783273;670780055;1;1;2;46;310;33;0;29;4;0;1;0;1;1;0;0;;0;;4;0;0
CHIRCAR;2013;680000320;680000643;1;0;2;1171;4513;1263;144;0;1119;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;680000684;680000973;1;0;1;440;2328;489;126;0;363;0;0;0;;;0;0;;0;;33;0;0
CHIRCAR;2013;680001195;680016011;1;0;2;888;3152;933;286;0;647;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;680004546;680000486;1;2;2;1102;3959;1243;313;0;930;1;0;0;2;2;0;833;;586;20;56;585;4610
CHIRCAR;2013;690000575;690782222;1;1;1;550;2103;627;117;0;510;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;690780390;690000229;1;1;0;571;1420;738;738;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;690780648;690036900;1;2;2;885;2159;946;369;0;577;1;0;0;2;2;0;1009;;959;24;12;780;6027
CHIRCAR;2013;690782834;690000724;1;;2;1543;3554;1903;1063;0;840;1;0;0;2;3;0;1179;;1050;22;;89;180
CHIRCAR;2013;690784152;690781810;1;1;;1142;3540;1266;368;0;898;0;0;0;;;0;0;;0;;45;0;0
CHIRCAR;2013;690784186;690781810;1;2;3;1877;6995;2067;716;139;1212;1;1;1;4;5;644;1564;;1237;62;143;2037;15116
CHIRCAR;2013;690793468;690002068;1;;2;1189;3383;1440;995;0;445;1;0;0;2;2;0;745;200;694;22;33;617;5657
CHIRCAR;2013;690805361;690805353;1;1;1;1255;3680;1521;374;0;1147;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;700000029;700004591;1;;;99;346;98;98;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;710978263;710780958;1;3;0;213;778;229;206;0;23;0;0;0;;;0;0;;0;;17;0;0
CHIRCAR;2013;710978289;710780263;1;1;1;631;2392;706;96;0;610;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;710978313;710976705;1;;;89;367;93;90;0;3;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;720000033;720000025;1;2;1;997;3217;1037;415;0;622;0;0;0;;;0;0;;0;;29;0;0
CHIRCAR;2013;720017748;720000561;1;1;1;978;3819;1054;427;0;627;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;730000031;730000015;1;1;1;919;2929;977;288;0;689;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;740000237;740781133;1;;2;1069;3067;1211;550;0;661;1;0;0;2;2;2;580;;516;9;17;484;2448
CHIRCAR;2013;740014345;740000617;1;;2;215;496;222;10;0;212;0;0;0;;;0;0;;0;;10;0;0
CHIRCAR;2013;740780416;740000112;1;;2;351;742;379;53;0;326;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;750000523;750150120;1;2;2;740;2378;782;324;0;458;0;0;0;;;0;0;;0;0;33;0;0
CHIRCAR;2013;750100042;750712184;1;1;1;840;2432;915;38;0;877;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2013;750100091;750712184;1;0;1;80;413;85;51;0;34;0;0;0;0;0;0;0;0;0;0;41;0;0
CHIRCAR;2013;750100125;750712184;1;2;2;2361;7657;2692;1145;0;1547;1;0;1;6;6;9;2119;848;1854;43;60;3025;2092
CHIRCAR;2013;750100166;750712184;1;2;;649;1913;714;60;0;654;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;750100208;750712184;1;1;0;257;687;281;9;268;4;0;1;1;2;3;1005;0;0;0;3;20;776;1478
CHIRCAR;2013;750100232;750712184;1;3;2;1406;7203;1603;552;0;1051;1;0;1;3;4;1;1868;;1632;25;84;1559;8733
CHIRCAR;2013;750120016;750821092;1;1;1;246;754;283;1;0;282;0;0;0;;;0;;;0;;;0;0
CHIRCAR;2013;750150104;750720476;1;2;1;1239;4139;1301;824;0;477;1;0;0;2;2;4;1108;49;925;25;14;2930;11665
CHIRCAR;2013;750300154;750000671;1;1;1;741;1147;795;55;0;740;0;0;0;;;0;0;;0;0;22;0;0
CHIRCAR;2013;750301137;750001034;1;2;1;872;2234;889;416;0;473;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;750803447;750712184;1;5;2;1336;6216;1449;540;1;908;1;0;1;3;5;67;1167;;1019;52;63;3089;15436
CHIRCAR;2013;760000018;760780023;1;1;0;63;312;67;56;0;11;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;760000158;760780239;1;3;2;1713;5357;2294;1204;0;1090;1;0;1;3;6;8;914;;781;15;54;1595;3339
CHIRCAR;2013;760021329;760000448;1;;1;496;1727;433;0;0;433;0;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2013;760780619;760000307;1;;2;1542;4752;1611;376;0;1235;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;760805770;760780726;1;2;1;677;2558;716;243;0;473;0;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2013;770019032;770170017;1;3;2;1786;5094;1957;444;0;1513;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;770300135;770000289;1;1;1;891;3057;899;225;0;674;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;780000311;780001236;1;1;1;833;3120;1086;358;0;728;0;0;0;;;;;;;10;31;0;0
CHIRCAR;2013;780300075;780000485;1;2;2;697;3134;760;262;0;610;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;780300406;780018032;1;1;2;1815;6387;2008;1184;0;824;1;0;0;2;3;0;1405;;1185;22;30;0;0
CHIRCAR;2013;780300414;780000675;1;;;105;551;106;105;0;1;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;780300422;780002259;1;;;153;753;156;46;0;110;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;780800256;780110078;1;;1;697;2549;769;82;0;687;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;790000087;790000012;1;2;1;897;3532;948;196;0;752;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;800000143;800000028;1;0;0;102;513;105;105;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;800006124;800000044;1;2;2;1302;5364;1432;641;0;791;1;0;0;2;3;0;1240;102;1088;18;81;784;5661
CHIRCAR;2013;800015729;800015679;1;2;2;1089;3673;1177;360;0;817;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;810000224;810000471;1;1;1;642;1758;713;138;0;575;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;810000505;810000331;1;1;0;170;824;178;136;0;42;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;810000521;810000380;1;1;0;148;728;155;148;0;7;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;820000057;820000131;1;1;;845;2416;969;141;0;828;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;830000311;830100566;1;1;1;849;3538;929;131;0;798;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;830000345;830100616;1;2;1;1076;3729;1182;387;0;795;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;830100319;750052425;1;4;2;2096;5801;2248;785;0;1463;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;830100574;750821092;1;2;1;517;1518;565;165;0;400;0;0;0;;;0;0;;0;;10;0;0
CHIRCAR;2013;840000483;840000087;1;;;0;0;;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2013;840001861;840006597;1;2;2;1687;4848;1862;420;0;1442;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;840013312;840003685;1;3;2;1772;4471;1994;812;0;1182;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;850000142;850000019;1;;1;1128;4693;1220;454;0;766;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;860000223;860013077;1;3;2;1807;6564;2022;862;0;1160;1;0;0;2;2;8;630;;601;12;76;624;3834
CHIRCAR;2013;860010321;860010313;1;1;0;88;322;93;37;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2013;870000064;870000015;1;3;2;1328;4495;1450;666;0;784;1;0;1;2;2;1;758;25;632;40;55;1676;10337
CHIRCAR;2013;870002060;870017415;1;1;;0;0;101;95;4;;0;0;0;;;;;;;;39;0;0
CHIRCAR;2013;880000021;880007059;1;0;0;83;489;89;89;0;0;0;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2013;890975527;890000037;1;;1;887;2878;985;333;0;652;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;900000167;900000365;1;1;1;521;1494;571;36;0;535;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2013;910020254;910002773;1;;;1015;4091;1223;210;0;1013;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2013;910300219;910003888;1;1;3;2495;8351;2737;1113;42;1582;1;1;0;6;5;495;1434;;1102;49;46;151;1012
