BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A19;PALIA_A20
PALIA;2013;130785355;130002157;1;6;;;80;0;;;;1;4062;;;;;;174;;246;8
PALIA;2013;130785363;130042930;1;2;;;25;0;;;;1;2486;;;0;;;;66;978;24
PALIA;2013;130785652;130014228;1;4;0;0;;1;1;12;5727;1;2038;3;0;0;0;0;0;1302;436;0
PALIA;2013;130786742;750821092;1;6;0;0;102;0;;;;0;;;;;;;;;;
PALIA;2013;130804297;130786049;0;;;;;0;;;;1;626;0;0;7;7;7;0;57;24;36
PALIA;2013;130809015;130001928;1;2;;;49;0;;;;1;1;47;0;382;0;382;0;25;0;52
PALIA;2013;130811102;130007487;0;;;;;1;1;24;336;1;0;3;0;994;0;53;941;316;0;0
PALIA;2013;140000027;140000035;1;8;1;0;307;0;;;;1;6368;1;1;142;0;36;106;224;50;24
PALIA;2013;140000076;140000084;1;3;0;0;83;0;;;;1;1457;7;1;25;0;25;0;149;28;15
PALIA;2013;140000209;140000100;1;16;0;0;137;0;;;;1;5985;0;0;0;;;;780;180;176
PALIA;2013;140000233;140000118;1;2;0;0;41;0;;;;1;1425;4;1;225;0;125;100;170;54;5
PALIA;2013;140000340;140025800;0;;;;;1;1;12;200;0;;;;;;;;;;
PALIA;2013;140000373;140000159;1;2;0;0;18;0;;;;1;852;1;2;192;2;10;180;113;32;80
PALIA;2013;140000555;140000639;1;24;0;0;558;0;;;;1;5456;;;0;;;;;;
PALIA;2013;140004383;140000100;1;1;0;0;1;0;;;;0;;;;;;;;;;
PALIA;2013;140016759;140003146;1;2;;;16;0;;;;0;;;;;;;;;;
PALIA;2013;140024886;140000092;1;4;0;0;90;0;;;;1;2274;1;1;0;0;0;0;278;71;50
PALIA;2013;150000032;150780088;1;2;0;0;16;0;;;;0;;;;;;;;;;
PALIA;2013;150000040;150780096;1;3;3;;;0;;;;1;902;;;59;20;15;14;228;42;7
PALIA;2013;150780732;150000271;1;3;0;0;138;0;;;;0;;;;;;;;;;
PALIA;2013;160000253;160000451;1;8;1;1;125;0;;;;0;;;;;;;;;;
PALIA;2013;160000303;160006037;1;3;;;46;0;;;;1;974;18;7;357;;122;235;269;0;53
PALIA;2013;160000311;160000485;1;2;0;0;40;0;;;;0;;;;;;;;;;
PALIA;2013;160000337;160000493;1;3;;;47;0;;;;1;613;25;8;606;165;132;309;236;19;48
PALIA;2013;160000360;160000519;1;6;;;98;0;;;;1;98;25;5;1924;1184;201;539;446;0;103
PALIA;2013;160015368;160014411;1;6;2;0;83;0;;;;0;;;;;;;;;;
PALIA;2013;170000038;170780050;1;2;;;18;0;;;;0;;;;;;;;;;
PALIA;2013;170000061;170780118;1;9;9;;46;0;;;;0;;;;;;;;;;
PALIA;2013;170000087;170023279;1;10;;;153;0;;;;1;2730;2;2;0;;;;229;306;32
PALIA;2013;170000095;170780167;1;4;0;0;8;0;;;;0;;;;;;;;;;
PALIA;2013;170000103;170780175;1;6;0;0;28;0;;;;1;726;8;5;1002;543;23;27;;96;17
PALIA;2013;170000129;170780191;1;4;;;16;0;;;;0;;;;;;;;;;
PALIA;2013;170000152;170780225;1;5;;;81;0;;;;1;513;1;;3;;3;;113;3;11
PALIA;2013;180000010;180000028;1;15;3;0;266;0;;;;1;2497;18;16;615;16;37;548;3199;42;60
PALIA;2013;180000200;180000051;1;12;0;0;76;0;;;;1;1600;2;2;12;;10;2;325;8;28
PALIA;2013;180000283;180000069;1;8;;;103;0;;;;1;865;0;0;74;63;11;;110;;
PALIA;2013;180000333;180000093;1;3;;;53;0;;;;0;;;;;;;;;;
PALIA;2013;180000358;180000739;1;2;;;12;0;;;;0;;;;;;;;;;
PALIA;2013;180003287;180000028;1;3;3;0;42;0;;;;0;;;;;;;;;;
PALIA;2013;190000018;190000042;1;10;0;0;604;0;;;;0;;;;;;;;;;
PALIA;2013;190000026;190000059;1;6;2;;85;0;;;;1;1714;20;8;263;143;70;50;402;31;22
PALIA;2013;190000034;190000067;1;6;4;0;8;0;;;;0;;;;;;;;;;
PALIA;2013;190000091;190000075;1;4;0;0;85;0;;;;0;;;;;;;;;;
PALIA;2013;190000224;190000901;1;2;;;15;0;;;;1;0;;;;;;;;;
PALIA;2013;210006318;210006268;1;0;0;0;0;0;;;;0;;;;;;;;;;
PALIA;2013;210780789;210003208;1;4;0;0;48;0;;;;0;;;;;;;;;;
PALIA;2013;210987558;210780581;1;16;;;139;1;1;15;171;1;337;22;10;730;318;122;290;502;297;
PALIA;2013;210987574;210780623;1;2;0;0;12;0;;;;0;;;;;;;;;;
PALIA;2013;210987582;210780631;1;2;;;446;0;;;;0;;;;;;;;;;
PALIA;2013;210987590;210780649;1;2;0;0;120;0;;;;0;;;;;;;;;;
PALIA;2013;210987608;210011482;1;4;0;0;24;0;;;;0;;;;;;;;;;
PALIA;2013;210987616;210780656;1;1;;;;1;1;;;0;;;;;;;;;;
PALIA;2013;210987657;210780714;1;2;0;0;296;0;;;;1;1947;16;3;168;30;101;37;364;79;45
PALIA;2013;210987665;210010070;1;2;;;;0;;;;1;2291;6;5;1922;1841;834;907;272;75;53
PALIA;2013;210987681;210011482;1;1;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;210987699;210780706;1;2;0;0;36;0;;;;0;;;;;;;;;;
PALIA;2013;210987731;210780417;1;4;0;0;312;0;;;;0;;;;;;;;;;
PALIA;2013;220000012;220000020;1;9;0;0;143;0;;;;1;1280;1;0;7;0;7;0;261;60;0
PALIA;2013;220000095;220000046;1;14;6;0;375;0;;;;1;1028;14;2;193;14;43;136;;222;63
PALIA;2013;220000269;220000640;1;12;0;0;233;0;;;;0;;;;;;;;;;
PALIA;2013;220000343;220000079;1;5;0;0;82;0;;;;0;;;;;;;;;;
PALIA;2013;220000368;220000103;0;;;;;0;;;;1;1287;13;1;0;;;;203;57;2
PALIA;2013;220000541;220000152;1;4;0;0;70;0;;;;1;919;0;0;50;0;16;34;154;150;6
PALIA;2013;220001259;220005045;1;3;;;36;0;;;;0;;;;;;;;;;
PALIA;2013;230000820;230780041;1;9;0;0;87;0;;;;1;1593;18;6;433;88;283;62;405;0;0
PALIA;2013;230000846;230780066;1;4;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;230004657;230780058;1;2;0;0;13;0;;;;0;;;;;;;;;;
PALIA;2013;230780082;750005068;1;5;2;;142;0;;;;0;;;;;;;;;;
PALIA;2013;230780157;230000861;1;2;;;1;0;;;;0;;;;;;;;;;
PALIA;2013;240000190;240000596;1;6;;;171;0;;;;0;;;;;;;;;;
PALIA;2013;240000372;240000059;0;;;;;0;;;;1;45;0;0;0;;;;42;0;0
PALIA;2013;240000489;240000117;1;5;0;0;175;1;1;12;56;1;6755;3;1;40;;;30;775;31;6
PALIA;2013;250000114;900000365;0;;;;;1;1;10;179;1;1140;3;1;15;;13;2;653;85;39
PALIA;2013;250000270;250000643;1;3;;;;0;;;;0;;;;;;;;;;
PALIA;2013;250000627;250000221;1;2;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;250000700;250000452;1;2;0;0;24;1;1;2;20;1;2764;8;5;390;389;1;0;300;31;34
PALIA;2013;250004009;900000365;1;6;2;;220;0;;;;0;;;;;;;;;;
PALIA;2013;250006954;250000015;1;8;0;0;170;1;1;15;360;1;1934;10;3;114;21;79;14;1;115;203
PALIA;2013;260000013;260000021;1;5;0;0;102;1;1;10;299;1;7344;13;9;292;106;58;128;616;68;23
PALIA;2013;260000120;260016910;1;8;8;;215;0;;;;1;574;7;4;31;11;16;1;374;;
PALIA;2013;260000138;260000047;1;3;;;9;0;;;;1;621;2;7;132;50;31;43;213;159;10
PALIA;2013;260000146;260000054;0;;;;;1;1;5;119;1;57;21;5;754;48;138;568;191;14;25
PALIA;2013;260003017;260000781;1;3;;;34;0;;;;0;;;;;;;;;;
PALIA;2013;260006267;070000245;1;4;;;141;0;;;;0;;;;;;;;;;
PALIA;2013;270000045;270000060;1;2;0;0;20;0;;;;0;;;;;;;;;;
PALIA;2013;270000326;270000680;1;2;;;;0;;;;0;;;;;;;;;;
PALIA;2013;270000359;270023724;1;7;0;0;;0;;;;1;1902;1;1;10;10;0;0;344;300;
PALIA;2013;270000367;270000086;1;1;;;4;0;;;;0;;;;;;;;;;
PALIA;2013;270000425;270000102;1;2;0;0;126;0;;;;0;;;;;;;;;;
PALIA;2013;270000458;270023724;1;4;0;0;;0;;;;1;492;1;1;2;0;2;0;102;51;47
PALIA;2013;280000084;280000183;1;13;0;0;73;0;;;;1;1577;2;0;19;15;4;0;486;133;10
PALIA;2013;280000100;280000225;1;2;0;0;31;0;;;;0;;;;;;;;;;
PALIA;2013;280000662;280500075;1;6;0;0;73;0;;;;0;;;;;;;;;;
PALIA;2013;280502998;280000589;1;6;0;;62;0;;;;0;;;;;;;;;;
PALIA;2013;280504267;280000134;1;19;0;0;134;0;;;;1;702;1;0;0;0;0;0;271;156;28
PALIA;2013;290000025;290020700;1;9;0;0;113;0;;;;1;600;13;8;84;51;22;4;238;24;28
PALIA;2013;290000033;290021542;1;9;0;0;58;0;;;;1;764;10;3;108;49;25;34;288;200;156
PALIA;2013;290000058;290000017;1;3;0;1;159;0;;;;0;;;;;;;;;;
PALIA;2013;290000066;290020700;1;3;0;0;28;0;;;;1;77;;;;;;;;;
PALIA;2013;290000140;290000447;0;;;;;1;1;11;187;0;;;;;;;;;;
PALIA;2013;290000173;290000041;1;5;0;0;110;0;;;;0;;;;;;;;;;
PALIA;2013;290000181;290000074;1;4;0;0;25;1;1;10;255;0;;;;;;;;;;
PALIA;2013;290000256;290000017;1;6;0;0;122;0;;;;0;;;;;;;;;;
PALIA;2013;290000272;290000090;1;4;2;;28;0;;;;0;;;;;;;;;;
PALIA;2013;290000322;290000108;1;3;0;0;51;0;;;;0;;;;;;;;;;
PALIA;2013;290000389;290000116;1;3;0;0;30;0;;;;0;;;;;;;;;;
PALIA;2013;290000728;750821092;1;6;0;0;44;0;;;;1;89;;;0;;;;63;;
PALIA;2013;290000934;290000306;1;3;0;0;57;0;;;;0;;;;;;;;;;
PALIA;2013;290000975;290000546;1;2;2;0;23;0;;;;0;;;;;;;;;;
PALIA;2013;290001015;290000751;1;3;0;;21;0;;;;0;;;;;;;;;;
PALIA;2013;290004324;290000017;1;4;0;0;99;0;;;;0;;;;;;;;;;
PALIA;2013;290004365;290000017;0;;;;;1;2;10;172;1;608;18;0;28;1;27;0;282;47;9
PALIA;2013;290023431;290001049;1;3;0;0;33;0;;;;0;;;;;;;;;;
PALIA;2013;2A0000022;2A0000014;1;9;4;0;0;1;1;6;247;1;447;6;7;174;36;25;100;322;10;24
PALIA;2013;2A0000139;2A0000063;1;6;;;;0;;;;0;;;;;;;;;;
PALIA;2013;2A0000287;2A0000386;1;8;0;0;152;0;;;;0;;;;;;;;;;
PALIA;2013;2A0002614;2A0002606;1;2;2;0;24;0;;;;1;23;3;3;251;106;24;144;119;0;0
PALIA;2013;2B0000012;2B0000020;1;6;0;0;;0;;;;1;999;9;2;1022;846;164;12;386;0;1026
PALIA;2013;2B0000145;2B0000053;1;6;;;321;0;;;;1;842;9;2;1179;1003;164;12;386;100;1026
PALIA;2013;300000023;300780046;1;4;;;87;0;;;;1;1081;23;4;714;247;129;338;436;62;86
PALIA;2013;300000031;300780053;1;6;0;0;183;0;;;;1;1268;9;4;643;366;77;200;277;54;119
PALIA;2013;300000056;300780079;1;6;2;;56;0;;;;0;;;;;;;;;;
PALIA;2013;300000064;300780087;1;6;2;;86;0;;;;0;;;;;;;;;;
PALIA;2013;300000072;300780095;1;3;0;0;;0;;;;1;333;7;4;37;8;29;0;13;24;32
PALIA;2013;300000478;300781010;1;2;;;30;0;;;;0;;;;;;;;;;
PALIA;2013;300002169;780020715;1;3;3;;;0;;;;0;;;;;;;;;;
PALIA;2013;300780137;920028396;1;4;0;0;27;0;;;;0;;;;;;;;;;
PALIA;2013;300780152;300000114;1;4;0;0;54;0;;;;0;;;;;;;;;;
PALIA;2013;300780285;300000726;1;6;;;246;0;;;;0;;;;;;;;;;
PALIA;2013;300782117;300780038;1;9;;;118;1;1;10;248;1;6756;1;;;;;;385;51;117
PALIA;2013;310000310;310780671;1;2;0;0;110;0;;;;1;80;;;;;;;;;
PALIA;2013;310013628;310786256;1;2;2;;38;0;;;;0;;;;;;;;;;
PALIA;2013;310016977;310781406;1;1;;;56;0;;;;1;92;;10;14;4;;10;48;15;90
PALIA;2013;310019351;310781406;1;5;;;207;0;;;;0;;;;;;;;;;
PALIA;2013;310780259;310000096;1;14;0;0;312;0;;;;1;266;0;0;216;0;0;216;266;0;45
PALIA;2013;310780283;310000112;1;4;;;170;0;;;37;1;220;;;;;;;;;
PALIA;2013;310780309;310000120;1;2;;;10;0;;;;0;;;;;;;;;;
PALIA;2013;310780366;310000153;1;14;5;;148;0;;;;0;;;;;;;;;;
PALIA;2013;310780374;310000161;1;4;4;;;1;1;0;12;0;;;;;;;;;;
PALIA;2013;310781000;310788880;1;6;;;203;0;;;;0;;;;;;;;;;
PALIA;2013;310781067;310788898;1;2;0;0;31;1;1;10;183;1;83;;0;;;;;51;90;210
PALIA;2013;310781695;750043994;1;11;;;179;0;;;;1;124;;6;87;87;;;113;;1
PALIA;2013;310782347;310789136;1;12;0;0;233;0;;;;1;1580;0;0;0;;;;538;220;1240
PALIA;2013;310783048;310781406;1;6;;;231;0;;;;0;;;;;;;;;;
PALIA;2013;310783055;310781406;1;8;;;314;0;;;;0;;;;;;;;;;
PALIA;2013;310787304;310781406;1;3;;;98;1;1;10;202;1;2147;0;0;0;0;0;0;966;178;286
PALIA;2013;310792635;310002191;1;4;4;;61;0;;;;0;;;;;;;;;;
PALIA;2013;320000086;320780117;1;8;4;;118;0;;;;1;1377;10;10;125;86;0;39;349;185;185
PALIA;2013;320000102;320780133;1;4;1;0;1411;0;;;;0;;;;;;;;;;
PALIA;2013;320000110;320004310;1;5;3;;76;0;;;;0;;;;;;;;;;
PALIA;2013;320000128;320780158;1;5;3;;;0;;;;0;;;;;;;;;;
PALIA;2013;320000144;320780174;1;2;0;0;85;0;;;;0;;;;;;;;;;
PALIA;2013;320000151;320780182;1;2;1;0;36;0;;;;0;;;;;;;;;;
PALIA;2013;320000169;320780190;1;2;2;;;0;;;;0;;;;;;;;;;
PALIA;2013;320000185;320780216;1;2;2;;42;0;;;;0;;;;;;;;;;
PALIA;2013;330000217;330780347;0;;;;;1;1;12;233;1;28;0;14;508;508;0;0;367;15;83
PALIA;2013;330000340;330780552;1;4;;;84;0;;;;1;648;25;2;385;45;315;25;231;26;36
PALIA;2013;330000555;330781204;0;;;;;0;;;;1;2749;3;2;616;78;136;402;229;5;9
PALIA;2013;330000571;330781220;1;3;0;0;48;0;;;;0;;;;;;;;;;
PALIA;2013;330000589;330027509;1;5;0;0;141;0;;;;1;247;;;;;;;123;;
PALIA;2013;330000597;330027509;1;5;0;0;114;0;;;;0;;;;;;;;;;
PALIA;2013;330000605;330781253;1;3;3;0;39;0;;;;1;1556;33;12;32;0;20;12;303;118;24
PALIA;2013;330000662;330781329;1;9;0;0;196;0;;;;1;1937;;;245;;245;;;;
PALIA;2013;330780081;330000043;0;;;;;0;;;;1;44;;;44;;;;44;;
PALIA;2013;330780115;330000076;1;6;0;0;168;0;;;;0;;;;;;;;;;
PALIA;2013;330780263;330000134;1;11;6;0;112;0;;;;0;;;;;;;;;;
PALIA;2013;330780479;330000274;1;5;0;0;;0;;;;0;;;;;;;;;;
PALIA;2013;330780537;330000324;0;;;;;0;;;;1;514;1;1;26;2;6;18;103;24;2
PALIA;2013;330780743;330056540;1;4;4;;93;0;;;;0;;;;;;;;;;
PALIA;2013;330781303;750821092;1;6;0;0;90;0;;;;0;;;;;;;;;;
PALIA;2013;330781337;330781196;1;3;0;0;80;0;;;;0;;;;;;;;;;
PALIA;2013;330781352;330781196;1;12;0;0;364;1;1;11;210;1;7788;0;0;0;;;;;120;550
PALIA;2013;330781360;330781196;1;4;;2;51;0;;;;0;;;;;;;;;;
PALIA;2013;330783648;330781196;1;5;0;0;250;0;;;;0;;;;;;;;;;
PALIA;2013;340000025;340780048;1;3;3;3;18;0;;;;0;;;;;;;;;;
PALIA;2013;340000033;340780055;1;8;3;;634;0;;;;1;2388;8;;80;33;;47;410;311;
PALIA;2013;340000173;340780451;1;3;;;33;0;;;;0;;;;;;;;;;
PALIA;2013;340000207;340780493;1;12;0;0;321;0;;;;1;6022;0;0;0;0;0;0;488;316;0
PALIA;2013;340000223;340011295;1;8;3;;189;0;;;;1;5806;9;1;248;110;138;150;726;1159;107
PALIA;2013;340000231;340780535;1;6;3;;1102;0;;;;0;;;;;;;;;;
PALIA;2013;340000249;340780543;1;3;0;0;26;0;;;;0;;;;;;;;;;
PALIA;2013;340008275;340780477;1;6;3;;721;0;;;;0;;;;;;;;;;
PALIA;2013;340009018;340008978;1;3;3;;43;0;;;;0;;;;;;;;;;
PALIA;2013;340009885;340009877;1;8;0;0;159;0;;;;0;;;;;;;;;;
PALIA;2013;340015965;340000074;1;3;0;0;248;0;;;;0;;;;;;;;;;
PALIA;2013;340780436;340011295;1;2;;;33;0;;;;0;;;;;;;;;;
PALIA;2013;340780444;340009893;1;3;;;38;0;;;;0;;;;;;;;;;
PALIA;2013;340780667;340000280;1;6;0;0;59;0;;;;0;;;;;;;;;;
PALIA;2013;340780675;340000298;1;8;;;223;0;;;;0;;;;;;;;;;
PALIA;2013;340780683;340000306;1;5;;;4;0;;;;0;;;;;;;;;;
PALIA;2013;340781608;340015171;0;;;;;1;1;12;124;1;98;41;12;241;23;218;0;158;49;80
PALIA;2013;340782036;340780477;1;12;6;;1713;1;1;6;115;1;2707;1;0;0;;;;506;1969;0
PALIA;2013;350000063;220020739;0;;;;;1;1;10;111;0;;;;;;;;;;
PALIA;2013;350000071;750000218;1;5;5;0;36;0;;;;0;;;;;;;;;;
PALIA;2013;350000147;350000022;0;;;;;1;1;13;225;1;446;25;23;241;12;44;176;176;272;108
PALIA;2013;350000154;350000030;1;3;0;0;47;1;1;5;70;1;672;20;2;792;209;247;336;316;38;46
PALIA;2013;350000162;350000048;0;;;;;0;;;;1;1217;16;2;607;129;221;257;216;115;33
PALIA;2013;350000204;350023248;1;2;0;0;36;0;;;;0;;;;;;;;;;
PALIA;2013;350000410;350002291;1;3;0;0;27;0;;;;0;;;;;;;;;;
PALIA;2013;350000436;350002317;1;3;3;;;0;;;;0;;;;;;;;;;
PALIA;2013;350000444;350048518;1;2;;;21;0;;;;0;;;;;;;;;;
PALIA;2013;350000741;350005179;1;10;0;0;;0;;;;1;443;5;5;60;22;27;11;310;699;757
PALIA;2013;350002192;220020739;1;9;4;0;148;1;1;6;86;0;;;;;;;;;;
PALIA;2013;350002812;350023503;0;;;;;1;1;8;234;0;;;;;;;;;;
PALIA;2013;350005021;440042844;1;3;3;0;13;1;1;6;92;1;240;48;4;303;33;159;111;237;49;175
PALIA;2013;350005146;350000733;1;4;0;0;71;0;;;;0;;;;;;;;;;
PALIA;2013;350016135;350000055;1;3;3;;61;0;;;;0;;;;;;;;;;
PALIA;2013;360000038;360000046;1;4;0;0;32;0;;;;0;;;;;;;;;;
PALIA;2013;360000137;360000053;1;20;5;0;189;0;;;;1;2947;;;;;;;310;424;
PALIA;2013;360000145;360000061;1;2;0;0;56;0;;;;0;;;;;;;;;;
