BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2013;380000174;380781435;1;1;14;2;1555;206;3497;6;6;0;0;2.59;2.59;1;1;0;0;3;1;6;;;7;3;0;3;;;5.65;6;1;6.37;;;6.56
MCOPED;2013;380000406;380784751;1;1;11;1;1233;185;2800;3;3;8;8;5.82;5.82;1;1;0;0;2;2;10;0;1;8;7;1;2;0;0;6.99;1;2.08;8.91;0;0.58;5.59
MCOPED;2013;390000040;390780146;1;1;30;1;1336;140;3609;5;5;;;4.84;4.84;0;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2013;390000065;390780161;1;0;4;0;313;9;946;;;2;2;1.65;1.65;0;0;1;1;7;1;2;;;;;;;;;5.66;2;1;1.1;;;0.55
MCOPED;2013;390000222;390780609;1;0;16;0;1172;124;3098;2;2;3;2;2.77;2.47;0;0;1;1;5;3;5;;1;3;3;4;3;;;7.25;3;6.09;7.77;;0.5;5.2
MCOPED;2013;400000105;400780193;1;1;18;;1784;0;2825;4;4;2;2;3.72;3.72;0;0;1;1;1;12;11;;;8;;2;4;;2;0.82;;13.42;14.94;0.15;0.5;8.13
MCOPED;2013;400000139;400011177;1;0;12;2;1050;518;2329;;;;;;;0;0;1;1;3;5;5;0;0;4;2;3;1;0;1;5.34;5;6.85;7.42;0;0.5;6.24
MCOPED;2013;410000020;410000087;1;1;5;4;1633;157;4455;4;4;3;3;4.49;4.49;1;1;1;1;6;3;16;0;0;1;9;2;9;0;0;14.19;5;4;22.05;0;0;4.69
MCOPED;2013;410000046;410000103;1;0;12;0;762;68;2307;3;3;0;0;2.71;2.71;0;0;1;1;5;2;7;;;1;1;0;2;;;5.88;0;2.9;8.71;;;1.11
MCOPED;2013;420000010;420780033;1;1;21;1;1684;273;5693;6;6;5;4;2.68;2.4;1;1;0;0;10;6;12;2;;12;3;2;4;;;12.42;2;5.85;11.97;0.5;;9.25
MCOPED;2013;420000226;420013831;1;0;18;0;979;164;2471;;;5;4;1.66;1.46;0;0;1;1;1;;2;;;2;7;4;6;;;5.58;2;3.24;7.5;;;3.97
MCOPED;2013;420000234;420780652;1;1;17;1;1348;133;2567;3;3;3;3;4.2;4.2;0;0;1;1;4;4;10;;;;1;2;;1;1;4.5;;5.75;10;0.25;0.5;
MCOPED;2013;420785354;420784878;1;1;64;8;4360;3954;16168;9;3;3;2;2.62;1.11;1;;;;49;11;33;0;0;30;28;9;20;0;4;66.41;12;14.82;43.2;0;1.29;30.27
MCOPED;2013;430000117;430000018;1;0;17;0;1636;425;3545;4;4;0;0;1.59;1.59;0;0;1;1;2;5;4;0;0;6;3;3;6;0;2;2.29;5;7.87;6.73;0;0.81;5.59
MCOPED;2013;440000016;440000057;1;;24;3;2435;1112;6141;9;9;0;0;5.77;5.77;1;;0;;4;2;9;;;3;3;12;9;1;2;5.75;2;10.25;15;0.4;0.8;4.25
MCOPED;2013;440000271;440000289;1;1;106;26;9702;7858;33939;75;45;2;2;27.3;19.53;;;;;69;65;42;0;0;35;13;8;10;1;1;77.44;16;63.56;49.52;0.26;0.29;40.29
MCOPED;2013;440000503;440000313;1;1;4;0;495;46;930;3;3;;;0.9;0.9;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2013;450000021;450000088;1;1;61;15;5289;3002;14982;15;10;6;5;8.07;7.07;1;1;1;1;35;14;47;;2;27;18;12;9;;3;32.57;5;18.09;14.3;;1.93;25.33
MCOPED;2013;450000047;450000096;1;0;20;0;1147;192;2974;2;2;2;2;3.8;3.8;1;1;;;1;2;6;;;;6;2;3;1;;6.7;;3.6;8.4;0.4;;
MCOPED;2013;450000062;450000104;1;1;13;0;1634;0;2636;7;7;;;2.48;2.48;1;1;0;0;9;8;3;;;4;2;3;7;;;9.16;4;9.96;8.3;;;6.99
MCOPED;2013;460000110;460780216;1;0;10;;612;141;1152;4;4;0;0;3.7;3.7;0;0;1;1;0;4;5;0;0;5;0;4;1;0;0;1.29;0;7.02;5.07;0;0;4.3
MCOPED;2013;470000423;470000316;1;0;18;2;1112;596;3878;6;6;2;2;4.22;4.22;1;1;;;9;7;7;7;;6;1;3;;1;1;7.27;;8.53;5.37;7.2;0.22;4.6
MCOPED;2013;470000431;470000324;1;0;10;1;587;184;1588;3;3;;;2.22;2.22;0;0;1;1;3;3;3;;1;7;1;1;1;;;4.35;1;4.05;2.44;;1;9.33
MCOPED;2013;470000480;470001660;1;0;14;2;832;81;2215;3;3;0;0;2.73;2.73;0;0;1;1;3;2;1;3;0;9;1;0;0;0;0;4.49;0;2.53;0.83;0.4;0;7.06
MCOPED;2013;480000017;480780097;1;0;12;0;693;232;1478;2;2;;;2;2;0;0;1;1;2;7;1;;;5;;5;;;1;2.74;3;11.13;1;;0.25;6.36
MCOPED;2013;490000049;490000031;1;1;67;8;4337;3104;15077;12;13;17;10;18.2;16.6;1;1;1;1;8;8;15;0;0;24;12;19;10;1;0;15.78;14;21.82;23.47;0.2;0.04;28.09
MCOPED;2013;490000635;490000676;1;1;24;2;2072;1155;4119;5;5;3;3;2.39;2.39;1;1;0;0;2;2;11;;;2;3;6;9;;;4.33;2;6.6;14.85;;;4.05
MCOPED;2013;490001765;490528452;1;0;8;1;684;84;1581;4;4;4;4;3.43;3.43;1;1;0;0;;;;;;2;5;7;9;;;3.87;6;2.28;2.81;;;5.22
MCOPED;2013;500000021;500000054;1;1;15;0;1304;189;3033;7;7;1;1;7.6;7.6;;1;;;10;6;13;;1;4;6;4;2;;0;12.95;1;9.29;14.6;;1;4.75
MCOPED;2013;500000187;500000013;1;1;28;2;1778;345;5777;6;6;1;1;6.5;6.5;;;;;6;8;16;;;7;6;3;1;;;10.29;4;9.74;17.31;;;10.4
MCOPED;2013;500000450;500000112;1;1;24;0;1281;237;4016;53;2;16;3;57.45;4.4;0;0;1;1;6;5;8;0;1;7;6;6;6;0;0;11.98;1;9.8;12.54;0;1;7.73
MCOPED;2013;510000169;510000037;1;0;16;0;1150;211;2908;2;2;2;2;2.67;2.67;0;0;1;1;6;3;11;0;1;7;4;3;1;0;0;8.51;2;5.3;11.37;0;0.5;7.59
MCOPED;2013;510000235;510000060;1;0;15;0;832;32;3539;1;1;3;2;2.64;1.84;0;;1;;6;1;4;;0;7;3;1;5;;1;8.05;0;3.02;7.92;;0.5;4.89
MCOPED;2013;510000250;510000078;1;0;10;0;705;36;1561;2;2;0;0;2;2;0;0;1;1;4;2;5;0;0;0;2;0;0;0;0;5.6;0;2;5;0;0;0
MCOPED;2013;510002470;510000029;1;1;9;13;3910;4094;13449;4;4;2;2;1.12;1.12;1;1;0;0;40;8;27;0;5;31;36;10;12;0;4;57.65;19;15.9;33.1;0;6.35;37.55
MCOPED;2013;510004302;510000029;1;0;6;0;279;0;1938;6;6;0;0;0.9;0.9;1;1;1;1;3;1;0;0;0;0;11;;6;0;0;9.6;6;1;2;0;0;2.45
MCOPED;2013;520000043;520780057;1;0;7;1;341;8;901;1;1;2;2;1.73;1.73;0;0;0;0;2;2;;;;4;3;1;;;;4.2;2;2.7;;;;5.13
MCOPED;2013;520000068;520780073;1;0;18;6;1065;399;3050;3;2;2;2;3.22;2.66;0;0;1;1;8;;2;;;3;3;;8;;;9.24;1;;9.64;;;3.8
MCOPED;2013;530000264;530000371;1;0;18;4;1597;573;3769;6;6;;;2;2;;;;;10;15;17;;2;14;1;8;3;;;10.54;1;21.79;19.58;;0.29;12.78
MCOPED;2013;540000015;540023264;1;1;2;2;103;260;192;1;1;1;1;2.4;2.4;1;1;0;0;1;1;;;;2;;;;;;0.42;;0.98;;;0.58;2.17
MCOPED;2013;540000155;540000080;1;0;10;0;573;104;1404;1;1;1;1;2.26;2.26;0;0;1;1;5;1;5;;;1;1;1;1;;;5.8;;1.75;5.75;;;0.5
MCOPED;2013;540001070;540000767;1;1;16;;1057;112;2791;4;3;;;3.03;2.86;0;0;1;1;8;6;6;;;4;5;2;2;;;11.09;4;7.58;5.91;;;5.01
MCOPED;2013;540001096;570010181;1;0;2;;223;4;761;;;2;;0.3;;0;;0;;;;;;;;;;1;;;;1;;0.57;;;0.42
MCOPED;2013;540002698;540002078;1;1;178;24;8494;5884;37146;54;27;17;10;17.39;9.09;1;1;1;1;116;40;129;;3;84;28;27;54;;5;103.16;26;56.26;142.77;;4.56;77.23
MCOPED;2013;550000012;550000020;1;0;11;2;1156;113;3238;;;;;;;;;;;39;2;10;;1;117;7;;;;;40.05;15;2.04;9.31;;1;116.46
MCOPED;2013;550000434;550003354;1;1;14;;859;108;1818;;;5;5;3.35;3.35;0;0;1;1;3;;;;;;9;5;10;1;;10.49;8;2.4;2.4;0.1;;4.29
MCOPED;2013;560000127;560023210;1;1;25;8;1980;927;6154;11;11;2;2;5.5;5.5;1;1;0;0;1;20;21;1;1;15;0;14;0;0;1;2.34;5;23.9;21;0.2;0.46;5.62
MCOPED;2013;560000135;560005746;1;1;28;3;2265;1020;6154;3;3;5;5;2.89;2.89;1;1;0;0;12;11;11;;1;7;;7;4;;2;10.37;5;16.88;14.5;;0.47;11.11
MCOPED;2013;560000143;560014748;1;1;15;0;997;89;2343;3;3;3;3;4.5;4.5;1;1;;;3;12;11;0;0;2;0;0;0;0;0;3;2;12;11;0;0;2
MCOPED;2013;570000059;570025254;1;0;24;;2312;0;4684;17;2;6;2;17.81;3.97;0;0;0;0;17;;;;;;12;;;;;24.4;;;;;;
MCOPED;2013;570000117;570015099;1;0;10;0;785;313;2427;2;2;1;1;;2.1;;0;;1;3;3;4;;;1;2;3;3;4;;4.6;3;5.6;6.35;0.05;;2.5
MCOPED;2013;570000349;570005165;1;1;28;2;2090;389;4823;2;2;8;8;4.7;4.7;0;0;1;1;3;9;8;;;1;;1;;;;3.05;;9.94;8.02;;;1
MCOPED;2013;570000646;570001115;1;0;10;1;556;110;1251;2;2;;;2;2;0;0;0;0;3;;3;;;;2;1;1;;;4.58;;0.82;3.52;;;
