BOR;AN;FI;FI_EJ;PERSO;PRESTA;MAD;FI1;FI2
Q26;2013;020000535;020000287;M1000;0;1;020000063;800000192
Q26;2013;020000535;020000287;M2000;0;1;020000063;
Q26;2013;020000535;020000287;M3000;0;1;020000063;
Q26;2013;020000535;020000287;N2000;1;0;;
Q26;2013;020000915;020003620;M1000;;1;600000285;800000044
Q26;2013;020001061;020004404;N4000;0;1;020000303;
Q26;2013;020004156;590805065;N1000;0;1;020014767;
Q26;2013;020004156;590805065;N2000;1;0;;
Q26;2013;020004156;590805065;N5000;1;0;;
Q26;2013;020004677;020000261;M1010;0;1;020000261;
Q26;2013;020004677;020000261;M3000;0;1;020000261;
Q26;2013;020010310;750719361;N2000;1;0;;
Q26;2013;020014767;590805065;N1000;0;1;020004156;
Q26;2013;020014767;590805065;N2000;1;1;020004156;
Q26;2013;020014767;590805065;N5000;0;1;020004156;
Q26;2013;030000012;030180020;N1000;0;1;030002158;
Q26;2013;030000012;030180020;N2000;0;1;030780100;
Q26;2013;030000012;030180020;N3000;0;1;030002158;
Q26;2013;030000061;030780092;M1000;1;;;
Q26;2013;030000061;030780092;M1010;1;;;
Q26;2013;030000061;030780092;M2000;1;;;
Q26;2013;030000061;030780092;M3000;1;;;
Q26;2013;030000079;030780100;M1000;1;1;630780989;630781110
Q26;2013;030000079;030780100;M1010;1;0;;
Q26;2013;030000079;030780100;M3000;1;;;
Q26;2013;030000079;030780100;N2000;1;;;
Q26;2013;030000087;030780118;M1000;1;;;
Q26;2013;030000087;030780118;N1000;0;1;880000021;
Q26;2013;030000095;030780126;N1000;0;1;030002158;
Q26;2013;030000095;030780126;N2000;1;0;;
Q26;2013;030000095;030780126;N3000;0;1;030000061;
Q26;2013;030000095;030780126;N5000;0;1;580780096;
Q26;2013;030000160;030780282;M3000;1;0;;
Q26;2013;030000160;030780282;N2000;1;0;;
Q26;2013;030003669;630000990;M1000;;1;030000079;
Q26;2013;030003669;630000990;N2000;1;1;030000079;
Q26;2013;030003719;630000990;M1000;;1;030780092;
Q26;2013;030003719;630000990;N2000;;1;030780092;
Q26;2013;030003768;630000990;M1000;;1;030000087;
Q26;2013;030003768;630000990;N2000;;1;030000087;
Q26;2013;040000028;040780124;N2000;1;0;;
Q26;2013;040000036;040780132;N2000;1;1;040000077;
Q26;2013;040000036;040780132;N5000;0;1;040000077;
Q26;2013;040000044;040780140;N1000;;1;040003972;
Q26;2013;040000051;040780173;M3000;;1;060780780;
Q26;2013;040000051;040780173;N1000;;1;060780780;
Q26;2013;040000051;040780173;N2000;;1;060780780;
Q26;2013;040000051;040780173;N3000;;1;060780780;
Q26;2013;040000051;040780173;N5000;;1;060780780;
Q26;2013;040000093;040780215;M1000;0;1;130041916;
Q26;2013;040000093;040780215;M2000;0;1;130786049;
Q26;2013;040000093;040780215;M3000;0;1;130041916;
Q26;2013;040000127;040780249;N1000;0;1;040788879;
Q26;2013;040000911;040788879;M1000;;1;050000348;130000409
Q26;2013;040000911;040788879;M2000;;1;130000409;
Q26;2013;040000911;040788879;M3000;;1;040780702;
Q26;2013;040000911;040788879;N2000;;1;040780702;
Q26;2013;040003113;330029208;N2000;0;1;040784860;
Q26;2013;040003113;330029208;N5000;0;1;040784860;
Q26;2013;040780470;040000192;N2000;1;0;;
Q26;2013;040780488;040000200;N2000;1;;;
Q26;2013;040782021;130037815;N2000;1;0;040782021;
Q26;2013;040782021;130037815;N5000;1;0;040782021;
Q26;2013;040784860;330029208;N2000;1;0;;
Q26;2013;040787541;330029208;N2000;0;1;040784860;
Q26;2013;040787541;330029208;N5000;1;0;;
Q26;2013;050000231;050000116;M1000;1;0;;
Q26;2013;050000256;050000124;M1000;1;1;050002948;
Q26;2013;050000256;050000124;M1010;1;1;050002948;
Q26;2013;050000256;050000124;N1000;;0;050000108;050000116
Q26;2013;050000256;050000124;N2000;1;;000000000;
Q26;2013;050000488;050000678;N4000;1;;;
Q26;2013;050003359;380793802;M1000;;1;050000231;
Q26;2013;050003359;380793802;N2000;;1;050000231;
Q26;2013;050006022;380793802;M1000;;1;050000348;
Q26;2013;060000296;060780640;N2000;1;;;
Q26;2013;060000296;060780640;N3000;1;;;
Q26;2013;060000411;060780780;N1000;;1;040780173;
Q26;2013;060000411;060780780;N2000;;1;040780173;
Q26;2013;060000411;060780780;N3000;;1;040780173;
Q26;2013;060000445;060780814;N2000;1;1;060000916;
Q26;2013;060000510;060780954;N2000;1;0;;
Q26;2013;060000528;060780962;N2000;1;0;;
Q26;2013;060001450;060785011;M1010;0;1;2A0000014;
Q26;2013;060001450;060785011;N2000;1;0;;
Q26;2013;060002102;060791761;N2000;1;0;;
Q26;2013;060005469;750043994;N2000;1;0;;
Q26;2013;060010188;060000221;N2000;1;0;;
Q26;2013;060019676;060790540;N2000;1;0;;
Q26;2013;060019676;060790540;N5000;1;0;;
Q26;2013;060019684;060790540;N2000;1;0;;
Q26;2013;060019684;060790540;N5000;1;0;;
Q26;2013;060021276;060790540;N2000;1;0;;
Q26;2013;060021276;060790540;N5000;1;0;;
Q26;2013;060021417;060000221;N2000;1;0;;
Q26;2013;060780145;060000049;N2000;1;;;
Q26;2013;060780186;060006939;N2000;1;0;;
Q26;2013;060780277;750043994;N2000;1;0;;
Q26;2013;060780343;060000171;N2000;1;0;;
Q26;2013;060780350;920000395;M1010;1;0;;
Q26;2013;060780392;060000205;N2000;1;0;;
Q26;2013;060780442;060000213;N2000;1;;;
Q26;2013;060780459;010783009;M1000;0;1;060780897;060780988
Q26;2013;060780459;010783009;N2000;1;0;;
Q26;2013;060780459;010783009;N5000;1;0;;
Q26;2013;060780491;060790797;N1000;1;0;;
Q26;2013;060780491;060790797;N2000;1;0;;
Q26;2013;060780517;060000239;N2000;1;0;;
Q26;2013;060780517;060000239;N5000;1;0;;
Q26;2013;060780558;750720575;N1000;1;0;;
Q26;2013;060780558;750720575;N2000;1;0;;
Q26;2013;060780558;750720575;N3000;1;0;;
Q26;2013;060780558;750720575;N5000;1;0;;
Q26;2013;060780590;060000270;N2000;1;0;;
Q26;2013;060780699;060000346;N2000;1;0;;
Q26;2013;060780715;060000361;N2000;1;0;;
Q26;2013;060780715;060000361;N4000;1;0;;
Q26;2013;060780723;060004959;M1000;1;0;;
Q26;2013;060780723;060004959;M3000;1;0;;
Q26;2013;060780723;060004959;N1000;1;0;;
Q26;2013;060780723;060004959;N2000;1;0;;
Q26;2013;060780749;060000395;N2000;1;0;;
Q26;2013;060780996;630786754;M1010;1;1;060785011;
Q26;2013;060780996;630786754;N2000;1;1;060785011;
Q26;2013;060780996;630786754;N5000;1;;;
Q26;2013;060781200;060000635;N1000;0;1;060780715;
Q26;2013;060781200;060000635;N2000;1;0;;
Q26;2013;060781374;060000718;N2000;1;;;
Q26;2013;060785003;060785011;M1010;0;1;250000015;
Q26;2013;060785003;060785011;N2000;1;0;;
Q26;2013;060785219;060001468;N2000;1;;;
Q26;2013;060785219;060001468;N5000;1;;;
Q26;2013;060785227;060001476;M3000;1;0;;
Q26;2013;060785227;060001476;N1000;1;0;;
Q26;2013;060785227;060001476;N2000;1;0;;
Q26;2013;060785227;060001476;N5000;1;0;;
Q26;2013;060785243;060001484;N2000;1;0;;
Q26;2013;060785243;060001484;N3000;1;0;;
Q26;2013;060788957;060785011;N2000;1;0;;
Q26;2013;060789195;060785011;M1010;0;1;060780954;
Q26;2013;060789195;060785011;N2000;1;0;;
Q26;2013;060789195;060785011;N4000;1;0;;
Q26;2013;060789674;130037815;N1000;1;;;
Q26;2013;060790177;060785011;N2000;1;0;;
Q26;2013;060791811;750826638;N2000;1;0;;
Q26;2013;060792090;060790540;N5000;1;0;;
Q26;2013;060792736;060790540;N2000;1;0;;
Q26;2013;060792736;060790540;N5000;1;0;;
Q26;2013;060793239;750826638;M1000;0;1;060791811;
Q26;2013;060793239;750826638;N1000;0;1;060791811;
Q26;2013;060793239;750826638;N4000;0;1;060791811;
Q26;2013;060793239;750826638;N5000;0;1;060791811;
Q26;2013;060794013;060790797;N1000;1;0;;
Q26;2013;060794013;060790797;N2000;1;0;;
Q26;2013;060798881;060798873;N1000;;1;060780715;
Q26;2013;060798881;060798873;N2000;1;1;060780715;
Q26;2013;060800166;060780608;N2000;1;;;
Q26;2013;060800166;060780608;N5000;1;;;
Q26;2013;060800182;060002912;N2000;1;1;060780954;
Q26;2013;060800687;060000221;N2000;1;0;;
Q26;2013;060801016;060790540;N2000;1;0;;
Q26;2013;060801016;060790540;N5000;1;0;;
Q26;2013;070000013;070002878;M1000;0;1;260000138;070000609
Q26;2013;070000013;070002878;M2000;0;1;260000013;380000067
Q26;2013;070000013;070002878;M3000;0;1;070000609;
Q26;2013;070000013;070002878;N2000;1;0;;
Q26;2013;070000013;070002878;N5000;1;1;070780622;
Q26;2013;070000021;070780101;N1000;0;1;070780218;
Q26;2013;070000021;070780101;N3000;0;1;070780218;
Q26;2013;070000039;070780119;N4000;0;1;070005558;
Q26;2013;070000047;070780127;N2000;1;0;;
Q26;2013;070000047;070780127;N4000;1;0;;
Q26;2013;070000112;070780218;N1000;0;1;070000021;
Q26;2013;070000112;070780218;N2000;0;1;070000021;
Q26;2013;070000179;070780358;M1000;0;1;420784878;
Q26;2013;070000179;070780358;N1000;0;1;690781810;
Q26;2013;070000179;070780358;N2000;1;0;;
Q26;2013;070000187;070780366;M3000;0;1;260000682;
Q26;2013;070000187;070780366;N2000;1;1;260000013;
Q26;2013;070000187;070780366;N3000;0;1;070000203;070780374
Q26;2013;070000195;070780374;N1000;0;1;070780358;
Q26;2013;070000195;070780374;N2000;1;;;
Q26;2013;070000203;070780382;N1000;0;1;070780531;
Q26;2013;070000203;070780382;N2000;0;1;070780358;
Q26;2013;070780168;070000088;N2000;1;0;;
Q26;2013;070780226;300012267;M1000;0;1;070005566;
Q26;2013;070780226;300012267;N2000;1;1;070780101;
Q26;2013;070780226;300012267;N3000;1;1;070780218;
Q26;2013;070780226;300012267;N5000;0;1;070780101;
Q26;2013;070780234;750721300;M1010;0;1;260000021;
Q26;2013;070780234;750721300;N2000;1;0;;
Q26;2013;070780317;630786754;M1000;0;1;260003264;070780127
Q26;2013;070780317;630786754;N2000;0;1;260003264;070002878
Q26;2013;070780390;070000211;M1010;0;1;070780358;
Q26;2013;070780390;070000211;N1000;0;1;070780358;070780374
Q26;2013;070780390;070000211;N2000;0;1;070780358;
Q26;2013;070780390;070000211;N3000;0;1;070780358;
Q26;2013;070780390;070000211;N5000;0;1;070780358;
Q26;2013;070780408;070000229;N2000;1;;;
Q26;2013;070780424;070000245;N2000;1;;;
Q26;2013;070784897;750820680;M1010;1;1;070005566;
Q26;2013;070784897;750820680;N2000;1;0;;
Q26;2013;070784897;750820680;N3000;1;0;;
Q26;2013;070784897;750820680;N5000;1;1;070004742;070780101
Q26;2013;070786231;690796552;N2000;1;0;;
Q26;2013;080000110;080000037;M1000;1;0;;
Q26;2013;080000110;080000037;M2000;1;0;;
Q26;2013;080000136;080000342;N1000;;1;080010523;
Q26;2013;080000136;080000342;N3000;;1;080010523;
Q26;2013;080000219;080001969;M1000;;1;510000029;
Q26;2013;080000219;080001969;N1000;;1;510000052;510000219
Q26;2013;080000250;540019726;M3000;0;1;510000029;
Q26;2013;080000284;080000060;M3000;0;1;080000425;
Q26;2013;080000284;080000060;N1000;0;1;080000425;
Q26;2013;080000284;080000060;N2000;0;1;080000425;
Q26;2013;080000284;080000060;N4000;0;1;080000425;
Q26;2013;080000425;080000615;M1000;0;1;510000029;
Q26;2013;080000425;080000615;M2000;0;1;510000029;
Q26;2013;080000425;080000615;M3000;1;1;080000110;
Q26;2013;080009814;080000615;M1010;1;0;;
Q26;2013;080010465;080010242;M3000;;1;080000110;
Q26;2013;080010465;080010242;N1000;;1;080000110;
Q26;2013;080010465;080010242;N2000;;1;080000110;
Q26;2013;080010473;080010242;M1000;0;1;080000425;080000110
Q26;2013;080010473;080010242;N2000;0;1;080000425;080000110
Q26;2013;090000019;090180019;N2000;1;0;;
Q26;2013;090000175;090781774;M3000;;1;090000183;
Q26;2013;090000175;090781774;N1000;;1;310000484;
Q26;2013;090000175;090781774;N2000;;1;090780107;090000183
Q26;2013;090000217;090782251;M3000;0;1;090180019;
Q26;2013;090000217;090782251;N1000;0;1;090180019;
Q26;2013;090001629;090780107;M1000;0;1;090781774;
Q26;2013;090001629;090780107;M1010;0;1;090781774;
Q26;2013;090001629;090780107;M2000;0;1;090781774;
Q26;2013;090001629;090780107;N1000;0;1;090781774;
Q26;2013;090001629;090780107;N2000;1;1;090781774;
Q26;2013;090002841;090781774;M1010;;1;090000217;
Q26;2013;100000090;100000017;M1000;0;1;520780081;510000516
Q26;2013;100000090;100000017;M3000;0;1;120780044;
Q26;2013;100000090;100000017;N2000;1;0;;
Q26;2013;100000108;100000033;N2000;1;0;;
Q26;2013;100000116;100000041;N4000;1;0;;
Q26;2013;100000140;100000058;N5000;1;0;;
Q26;2013;100002351;100000561;N1000;1;;;
Q26;2013;100002351;100000561;N2000;1;;;
Q26;2013;100007285;140017617;N2000;1;0;;
Q26;2013;100007285;140017617;N5000;1;0;;
Q26;2013;100009083;750721235;N2000;1;0;;
Q26;2013;110000023;110780061;M1000;1;1;110786324;110780137
Q26;2013;110000023;110780061;M3000;1;0;;
Q26;2013;110000023;110780061;N2000;1;1;110786324;
Q26;2013;110000049;110780087;M2000;;1;110780061;
Q26;2013;110000049;110780087;N2000;1;;;
Q26;2013;110000049;110780087;N5000;;1;110786324;
Q26;2013;110000056;110780137;M1000;1;0;;
Q26;2013;110000056;110780137;M1010;1;0;;
Q26;2013;110000056;110780137;M2000;1;0;;
Q26;2013;110000056;110780137;N2000;1;0;;
Q26;2013;110000056;110780137;N4000;0;1;110780772;
Q26;2013;110000247;110780772;M1000;0;1;110000262;110780061
Q26;2013;110000247;110780772;M3000;0;1;110780137;
Q26;2013;110000262;110781010;M1000;0;1;110780137;
Q26;2013;110000262;110781010;N2000;0;1;110780772;
Q26;2013;110000262;110781010;N3000;0;1;110780137;
Q26;2013;110002953;110780137;M3000;0;1;110786324;
Q26;2013;110003118;310012638;N2000;1;0;;
Q26;2013;110004942;310021324;N2000;1;0;;
Q26;2013;110005048;110000114;N2000;1;0;;
Q26;2013;110005394;750047367;N2000;1;0;;
Q26;2013;110780152;110000064;N2000;1;;;
Q26;2013;110780186;110000072;N2000;;1;110780061;
Q26;2013;110780210;110000114;N2000;1;0;;
Q26;2013;110780228;110000114;N2000;1;0;;
Q26;2013;120000039;120780044;M1000;1;1;750100232;820000032
Q26;2013;120000039;120780044;M1010;1;1;120004668;120000096
Q26;2013;120000039;120780044;M2000;1;1;120000070;310000484
Q26;2013;120000039;120780044;M3000;1;0;;
Q26;2013;120000039;120780044;N2000;0;1;120000146;
Q26;2013;120000054;120780069;M1000;1;1;120780044;
Q26;2013;120000054;120780069;M1010;1;1;120780044;
Q26;2013;120000054;120780069;M2000;1;0;;
Q26;2013;120000054;120780069;M3000;1;1;120780044;
Q26;2013;120000054;120780069;N2000;1;0;;
Q26;2013;120000054;120780069;N3000;1;0;;
Q26;2013;120000070;120780085;M1000;1;;;
Q26;2013;120000070;120780085;M3000;0;1;120000054;
Q26;2013;120000070;120780085;N2000;1;;;
Q26;2013;120000088;120780093;N1000;;1;120780101;
Q26;2013;120000088;120780093;N2000;;1;120780101;
Q26;2013;120000088;120780093;N5000;;1;120780101;
Q26;2013;120000096;120780101;M3000;0;1;120780093;
Q26;2013;120000096;120780101;N1000;0;1;120780093;120780481
Q26;2013;120000096;120780101;N5000;0;1;120780093;
Q26;2013;120000153;120780291;N1000;;1;120004528;120004569
Q26;2013;120000153;120780291;N5000;;1;120004528;120004569
Q26;2013;120000237;120780481;M3000;0;1;120780093;
Q26;2013;120000237;120780481;N1000;0;1;120780101;
Q26;2013;120000237;120780481;N2000;0;1;120780101;
Q26;2013;120000237;120780481;N5000;0;1;120780101;
Q26;2013;120004569;120004528;N2000;1;0;;
Q26;2013;120004668;120004619;M1000;1;0;;
Q26;2013;120004668;120004619;M1010;1;0;;
Q26;2013;120004668;120004619;M2000;1;1;300000023;
Q26;2013;120004668;120004619;M3000;1;0;;
Q26;2013;120004668;120004619;N2000;1;0;;
Q26;2013;120780143;120000112;N2000;1;0;;
Q26;2013;120780283;630786754;N2000;1;1;120780069;
Q26;2013;120783097;120004528;N2000;1;0;;
Q26;2013;120786959;120780044;N2000;0;1;120780044;
Q26;2013;120786959;120780044;N4000;0;1;120780044;
Q26;2013;130000409;130041916;M1000;0;1;130782634;130784127
Q26;2013;130000409;130041916;M1010;0;1;130811102;
Q26;2013;130000409;130041916;M2000;0;1;130782634;130786049
Q26;2013;130000409;130041916;M3000;0;1;130781131;
Q26;2013;130000409;130041916;N1000;0;1;130781131;040000911
Q26;2013;130000409;130041916;N2000;1;1;130041916;
Q26;2013;130000433;130781131;M3000;0;1;130000433;
Q26;2013;130000433;130781131;N1000;0;1;130000433;
Q26;2013;130000433;130781131;N2000;0;1;130000433;
Q26;2013;130000565;130781446;M1000;0;1;130786494;
Q26;2013;130000565;130781446;M3000;0;1;130026388;
Q26;2013;130000565;130781446;N1000;0;1;130786049;
Q26;2013;130000565;130781446;N2000;1;;;
Q26;2013;130001225;130782634;M3000;1;0;;
Q26;2013;130001258;130028228;N2000;1;0;;
Q26;2013;130001647;130784127;N1000;1;;;
Q26;2013;130001647;130784127;N2000;1;;;
Q26;2013;130001647;130784127;N5000;1;;;
Q26;2013;130002215;130785512;M3000;0;1;130001225;
Q26;2013;130002496;130786494;M1010;0;1;130784739;
Q26;2013;130002496;130786494;M3000;0;1;130780554;130781446
Q26;2013;130002694;040000481;N2000;1;0;;
Q26;2013;130002827;130789274;M1000;1;1;130782634;300780038
Q26;2013;130002835;130789316;M1000;1;0;;
Q26;2013;130002835;130789316;M3000;1;0;;
Q26;2013;130002835;130789316;N2000;1;0;;
Q26;2013;130012719;130000938;M1010;1;0;;
Q26;2013;130012719;130000938;N2000;1;0;;
Q26;2013;130012719;130000938;N5000;0;1;130789357;
Q26;2013;130021488;130021439;N2000;1;;;
Q26;2013;130024268;130006794;N2000;1;;;
Q26;2013;130024458;130804396;N2000;1;;;
Q26;2013;130032758;130001514;N2000;1;0;;
Q26;2013;130037922;130037823;N2000;1;;;
Q26;2013;130042096;130042062;N1000;0;1;130810740;130786361
Q26;2013;130042096;130042062;N4000;0;1;130810740;130786361
Q26;2013;130042096;130042062;N5000;0;1;130810740;130786361
Q26;2013;130042526;310021399;N2000;1;;;
Q26;2013;130043508;250002284;N2000;1;;;
Q26;2013;130780075;310021332;N2000;1;;;
Q26;2013;130780083;130000060;N2000;1;0;;
Q26;2013;130780521;130786049;M1000;1;1;130789316;130041916
Q26;2013;130780521;130786049;M2000;0;1;130789316;130041916
Q26;2013;130781065;130000417;N2000;1;0;;
Q26;2013;130781255;220020739;N1000;1;0;;
Q26;2013;130781255;220020739;N2000;1;0;;
Q26;2013;130781289;130002447;N2000;1;0;;
Q26;2013;130781479;130000599;N2000;1;0;;
Q26;2013;130781768;130000763;N2000;1;0;;
Q26;2013;130781834;130000805;N2000;1;;;
Q26;2013;130781834;130000805;N3000;0;1;130785512;
Q26;2013;130781867;130000813;N2000;1;;;
Q26;2013;130781917;130000847;N1000;1;0;;
Q26;2013;130781917;130000847;N2000;1;0;;
Q26;2013;130782071;130002454;N1000;1;0;;
Q26;2013;130782071;130002454;N2000;1;0;;
Q26;2013;130782097;130000938;M1010;1;0;;
Q26;2013;130782097;130000938;N2000;1;0;;
Q26;2013;130782097;130000938;N5000;1;0;;
Q26;2013;130782147;130000979;N2000;1;0;;
Q26;2013;130782162;130000987;N2000;1;0;;
Q26;2013;130782444;130001100;N2000;1;0;;
Q26;2013;130782451;130001118;N2000;1;0;;
Q26;2013;130782675;130001233;M1000;1;0;;
Q26;2013;130782675;130001233;N1000;1;0;;
Q26;2013;130782675;130001233;N2000;1;0;;
Q26;2013;130783152;130001365;N2000;1;0;130783152;
Q26;2013;130783236;130786049;M2000;0;1;130041916;130789316
Q26;2013;130783293;130786049;M1010;0;1;130041916;
Q26;2013;130783293;130786049;M2000;0;1;130000565;
Q26;2013;130783327;130001415;N5000;1;;;
Q26;2013;130783475;130001431;N2000;1;;;
Q26;2013;130783665;130043722;N2000;1;0;;
Q26;2013;130783723;130001456;N2000;1;0;;
Q26;2013;130783723;130001456;N4000;1;0;;
Q26;2013;130783764;750043994;N2000;1;0;;
Q26;2013;130783772;130810336;N2000;1;0;;
Q26;2013;130783830;130001514;N2000;1;0;;
Q26;2013;130784226;130804032;M1000;0;1;130786049;
Q26;2013;130784226;130804032;N2000;1;0;;
Q26;2013;130784580;750043994;N2000;1;0;;
Q26;2013;130784606;130001860;N2000;1;0;;
Q26;2013;130784606;130001860;N4000;1;0;;
Q26;2013;130784606;130001860;N5000;1;0;;
Q26;2013;130784713;130038847;N5000;1;0;;
Q26;2013;130784952;130014228;N4000;1;;;
Q26;2013;130785389;130002173;N2000;1;0;;
Q26;2013;130785462;130002207;N2000;1;0;;
Q26;2013;130785652;130014228;M1000;1;;;
Q26;2013;130785652;130014228;N1000;1;;;
Q26;2013;130785652;130014228;N2000;1;;;
Q26;2013;130785652;130014228;N3000;1;;;
Q26;2013;130785652;130014228;N4000;1;;;
Q26;2013;130785652;130014228;N5000;1;;;
Q26;2013;130785983;130002306;N2000;1;0;;
Q26;2013;130786023;130002330;N2000;1;;;
Q26;2013;130786296;130002421;M1010;1;0;;
Q26;2013;130786296;130002421;N2000;1;0;;
Q26;2013;130786361;130002447;N2000;1;0;;
Q26;2013;130786445;130002488;N2000;1;0;;
Q26;2013;130786890;130001688;N2000;1;0;;
Q26;2013;130786890;130001688;N3000;1;0;;
Q26;2013;130786924;130037815;M1010;1;;130786924;
Q26;2013;130786924;130037815;N2000;1;;130786924;
Q26;2013;130786924;130037815;N3000;1;;130786924;
Q26;2013;130786924;130037815;N4000;1;;130786924;
Q26;2013;130786924;130037815;N5000;1;;130786924;
Q26;2013;130787369;130002777;N2000;1;0;;
Q26;2013;130789159;750043994;N2000;1;;;
Q26;2013;130789357;130002843;N1000;1;0;;
Q26;2013;130789357;130002843;N2000;1;0;;
Q26;2013;130789357;130002843;N4000;1;0;;
Q26;2013;130798002;130004807;N5000;1;0;;
Q26;2013;130802143;130804396;N2000;1;;;
Q26;2013;130804032;;N3000;1;0;;
Q26;2013;130804032;;N5000;1;0;;
Q26;2013;130804297;130786049;M1000;0;1;130041916;
Q26;2013;130806029;130006794;N2000;1;;;
Q26;2013;130809015;130001928;M3000;0;1;130786049;130041916
Q26;2013;130809015;130001928;N2000;1;1;130786049;
Q26;2013;130810740;130007362;N2000;1;0;;
Q26;2013;140000027;140000035;M1000;1;1;140000316;
Q26;2013;140000027;140000035;M2000;1;1;140000100;
Q26;2013;140000027;140000035;M3000;1;;;
Q26;2013;140000027;140000035;N2000;1;1;140000134;140000316
Q26;2013;140000076;140000084;M1000;1;0;140000092;
Q26;2013;140000076;140000084;M1010;0;0;140000159;
Q26;2013;140000076;140000084;M2000;0;0;140000092;
Q26;2013;140000076;140000084;M3000;0;0;140000092;
Q26;2013;140000076;140000084;N1000;0;0;140000092;
Q26;2013;140000076;140000084;N2000;0;0;140000092;
Q26;2013;140000209;140000100;M1000;1;;;
Q26;2013;140000209;140000100;N2000;1;;;
Q26;2013;140000233;140000118;M1000;1;0;;
Q26;2013;140000233;140000118;M1010;1;0;;
Q26;2013;140000233;140000118;M2000;0;1;610780090;140000100
Q26;2013;140000233;140000118;M3000;1;1;140000316;
Q26;2013;140000233;140000118;N1000;0;1;140000316;
Q26;2013;140000233;140000118;N2000;0;1;140000316;610780090
Q26;2013;140000233;140000118;N3000;0;1;140000316;
Q26;2013;140000290;140000449;N2000;1;0;;
Q26;2013;140000308;140000134;N2000;1;1;140000035;
Q26;2013;140000324;140026279;M3000;0;1;140000316;
Q26;2013;140000324;140026279;N1000;0;1;140000316;
Q26;2013;140000324;140026279;N2000;0;1;140000316;
Q26;2013;140000324;140026279;N3000;0;1;140000316;
