BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2013;330000605;330781253;TOT;0;;;;;;;;35;
DIALYSE;2013;330007410;330007386;112AX;;;;1;1;77;;;;
DIALYSE;2013;330007410;330007386;1130X;;;;8;12;403;;;;
DIALYSE;2013;330007410;330007386;1140X;;;;13;39;5787;;;;
DIALYSE;2013;330007436;330000274;1140X;;;;10;12;1728;;;;
DIALYSE;2013;330007436;330000274;TOT;0;;;;;;;;1;
DIALYSE;2013;330007550;330000266;1140X;;;;7;11;1481;;;;
DIALYSE;2013;330007584;330000266;1140X;;;;8;10;1464;;;;
DIALYSE;2013;330007626;330000266;1140X;;;;0;0;101;;;;
DIALYSE;2013;330007634;330000266;1140X;;;;14;15;2936;;;;
DIALYSE;2013;330007642;330000266;1140X;;;;14;21;2862;;;;
DIALYSE;2013;330007667;330000266;1140X;;;;7;13;1490;;;;
DIALYSE;2013;330007683;330000266;1140X;;;;14;24;3723;;;;
DIALYSE;2013;330007725;330000266;1140X;;;;16;30;4809;;;;
DIALYSE;2013;330008012;330000274;1140X;;;;10;11;1570;;;;
DIALYSE;2013;330008012;330000274;TOT;0;;;;;;;;4;
DIALYSE;2013;330017989;330000134;112BA;;;;13;76;10956;;;;
DIALYSE;2013;330017989;330000134;1130X;;;;13;25;3645;;;;
DIALYSE;2013;330017989;330000134;TOT;0;;;;;;0;;13;0
DIALYSE;2013;330024639;330000266;1140X;;;;7;17;2544;;;;
DIALYSE;2013;330054453;330000258;1140X;;;;12;20;2748;;;;
DIALYSE;2013;330054461;330000274;1140X;;;;10;;1611;;;;
DIALYSE;2013;330056227;330007386;1140X;;;;9;21;3318;;;;
DIALYSE;2013;330056284;330000266;1140X;;;;8;16;2485;;;;
DIALYSE;2013;330056516;330000258;1130X;;;;12;13;1110;;;;
DIALYSE;2013;330056516;330000258;1140X;;;;12;9;1895;;;;
DIALYSE;2013;330056680;330000274;1140X;;;;9;5;1002;;;;
DIALYSE;2013;330780446;330000258;112BA;;;;35;158;24049;;;;
DIALYSE;2013;330780446;330000258;121AA;;;;;5;;;239;;
DIALYSE;2013;330780446;330000258;121CA;;;;2;2;;;56;;
DIALYSE;2013;330780446;330000258;122AX;;;;2;0;;;4;;
DIALYSE;2013;330780446;330000258;122BA;;;;2;0;;;3;;
DIALYSE;2013;330780446;330000258;TOT;0;;;;;;1;;80;2
DIALYSE;2013;330780453;330000308;112BA;;;;40;129;20536;;;;
DIALYSE;2013;330780453;330000308;TOT;0;;;;;;2;;67;0
DIALYSE;2013;330780461;330000266;1150A;;;;5;5;985;;;;
DIALYSE;2013;330780461;330000266;121AA;;;;;4;;;124;;
DIALYSE;2013;330780461;330000266;121CA;;;;22;22;;;920;;
DIALYSE;2013;330781360;330781196;112BA;;;;34;177;19017;;;;
DIALYSE;2013;330781360;330781196;112BE;;;;;0;7;;;;
DIALYSE;2013;330781360;330781196;1130X;;;;6;19;1664;;;;
DIALYSE;2013;330781360;330781196;121AA;;;;;;;;32;;
DIALYSE;2013;330781360;330781196;121CA;;;;;;;;173;;
DIALYSE;2013;330781360;330781196;122AX;;;;;;;;205;;
DIALYSE;2013;330781360;330781196;TOT;1;1;;;;;;;111;11
DIALYSE;2013;330783374;330000274;112AX;;;;1;0;14;;;;
DIALYSE;2013;330783374;330000274;112BA;;;;30;147;20230;;;;
DIALYSE;2013;330783374;330000274;1130X;;;;10;7;1140;;;;
DIALYSE;2013;330783374;330000274;121AA;;;;;;;;268;;
DIALYSE;2013;330783374;330000274;121CA;;;;1;1;;;18;;
DIALYSE;2013;330783374;330000274;TOT;0;;;;;;;;85;0
DIALYSE;2013;330795295;330007386;1140X;;;;10;29;4537;;;;
DIALYSE;2013;330795303;330007386;1140X;;;;8;10;1470;;;;
DIALYSE;2013;330795303;330007386;1150A;;;;1;1;156;;;;
DIALYSE;2013;330802364;330007386;1140X;;;;9;21;3656;;;;
DIALYSE;2013;340009539;340009489;112AX;;;;2;9;1293;;;;
DIALYSE;2013;340009539;340009489;112BA;;;;10;51;8084;;;;
DIALYSE;2013;340009539;340009489;TOT;0;;;;;;1;;;0
DIALYSE;2013;340013119;340000264;1140X;;;;28;44;6970;;;;
DIALYSE;2013;340013168;340000264;112AX;;;;30;46;6875;;;;
DIALYSE;2013;340013168;340000264;1130X;;;;27;101;15408;;;;
DIALYSE;2013;340013168;340000264;122AX;;;;1;0;;;55;;
