BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2013;060800174;;SCAN;1;1;690;;;8126;;
IMAGES;2013;070000013;070002878;LITHO;1;1;59;;;;;
IMAGES;2013;070000013;070002878;MAMM;1;1;;;;1145;;
IMAGES;2013;070000013;070002878;RADIO;3;3;3300;200;300;7461;56;1
IMAGES;2013;070000013;070002878;SCAN;1;1;3547;;;4653;21;1
IMAGES;2013;070000070;070780150;RADIO;1;1;176;;;595;;
IMAGES;2013;070000179;070780358;IRM;1;1;771;;;10511;6;0
IMAGES;2013;070000179;070780358;MAMM;1;1;;;;;;
IMAGES;2013;070000179;070780358;RADIO;3;3;10531;;;23815;359;1
IMAGES;2013;070000179;070780358;SCAN;1;1;5125;;;14933;87;1
IMAGES;2013;070000195;070780374;RADIO;1;1;665;0;0;20;0;0
IMAGES;2013;070000609;070005566;IRM;1;1;474;;;9521;2;0
IMAGES;2013;070000609;070005566;MAMM;1;1;;;;1474;;
IMAGES;2013;070000609;070005566;RADIO;2;2;4160;;;26337;170;0
IMAGES;2013;070000609;070005566;SCAN;1;1;4785;;;20746;65;0
IMAGES;2013;070780424;070000245;IRM;1;;;;;;;
IMAGES;2013;070780424;070000245;LITHO;1;1;108;;;;;1
IMAGES;2013;070780424;070000245;MAMM;1;;;;;;;
IMAGES;2013;070780424;070000245;RADIO;4;;;;;;;
IMAGES;2013;070780424;070000245;SCAN;1;;;;;;;
IMAGES;2013;070780424;070000245;VASC;1;;;;;;;
IMAGES;2013;080000110;080000037;RADIO;3;3;16138;;72;4546;327;0
IMAGES;2013;080000110;080000037;SCAN;1;1;2452;;4;5763;27;0
IMAGES;2013;080000219;080001969;MAMM;1;0;;;;0;;
IMAGES;2013;080000219;080001969;RADIO;3;3;3886;14;0;6586;93;0
IMAGES;2013;080000219;080001969;SCAN;1;1;1915;564;0;3696;13;0
IMAGES;2013;080000276;080001969;RADIO;2;2;1818;0;0;3220;59;0
IMAGES;2013;080000284;080000060;MAMM;1;1;;;;930;;
IMAGES;2013;080000284;080000060;RADIO;3;3;390;;;3500;0;0
IMAGES;2013;080000425;080000615;CAM;2;2;376;3;76;2801;0;0
