BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2013;070000179;070780358;N2800;13;5;16.38;;;;
PERINAT_P;2013;070000179;070780358;N280H;11;5;14.38;;;;
PERINAT_P;2013;070000195;070780374;M1140;0;1;0.21;0;0;;
PERINAT_P;2013;070000195;070780374;N2800;4;;3.89;;;;
PERINAT_P;2013;070000609;070005566;M1140;4;1;4.5;;;;
PERINAT_P;2013;070780424;070000245;M1030;11;3;12.5;1;1;1;1
PERINAT_P;2013;070780424;070000245;M1140;1;2;2.23;;1;;
PERINAT_P;2013;070780424;070000245;M2050;6;;6;1;;;
PERINAT_P;2013;070780424;070000245;N2700;;1;0.5;;;;
PERINAT_P;2013;070780424;070000245;N2800;15;6;18.71;;;;
PERINAT_P;2013;070780424;070000245;N280H;15;6;13.43;;;;
PERINAT_P;2013;080000110;080000037;M1030;5;0;5;1;0;0;0
PERINAT_P;2013;080000110;080000037;M1140;3;0;3;0;1;;
PERINAT_P;2013;080000110;080000037;M2050;4;1;4.8;0;1;;
PERINAT_P;2013;080000110;080000037;N2700;;1;0.2;;;;
PERINAT_P;2013;080000110;080000037;N2800;11;6;14.5;;;;
PERINAT_P;2013;080000110;080000037;N280H;11;6;5.5;;;;
PERINAT_P;2013;080000110;080000037;N3120;;1;0.25;;;;
PERINAT_P;2013;080000219;080001969;N2800;2;2;3;;;;
PERINAT_P;2013;080000425;080000615;M1030;8;;4.64;1;0;1;0
PERINAT_P;2013;080000425;080000615;M1140;1;;0.3;1;0;;
PERINAT_P;2013;080000425;080000615;M2050;3;1;1.38;1;0;;
PERINAT_P;2013;080000425;080000615;MIVG;2;1;0.5;;;;
PERINAT_P;2013;080000425;080000615;N2340;9;7;13.86;;;;
PERINAT_P;2013;080000425;080000615;N2800;17;11;24.42;;;;
PERINAT_P;2013;080000425;080000615;N280H;9;6;13.53;;;;
PERINAT_P;2013;090000175;090781774;M1030;8;0;0.75;1;0;0;0
PERINAT_P;2013;090000175;090781774;M1140;4;1;0.73;0;1;;
PERINAT_P;2013;090000175;090781774;M2050;4;3;4.32;0;1;;
PERINAT_P;2013;090000175;090781774;N2340;5;4;3.31;;;;
PERINAT_P;2013;090000175;090781774;N2800;19;15;17.37;;;;
PERINAT_P;2013;090000183;090781816;M1030;1;;0.11;;;;
PERINAT_P;2013;090000183;090781816;M2050;2;;1.83;;;;
PERINAT_P;2013;090000183;090781816;N2800;7;1;6.92;;;;
PERINAT_P;2013;090000183;090781816;N280H;7;1;6.92;;;;
PERINAT_P;2013;090001629;090780107;M1140;1;1;0.14;0;0;;
PERINAT_P;2013;090001629;090780107;M2050;1;0;0.14;0;0;;
PERINAT_P;2013;090001629;090780107;N2800;;2;0.35;;;;
PERINAT_P;2013;090001629;090780107;N3120;1;;0.11;;;;
PERINAT_P;2013;100000082;100001148;M1030;2;;2;0;1;0;0
PERINAT_P;2013;100000082;100001148;M2050;;1;0.2;0;0;;
PERINAT_P;2013;100000082;100001148;MIVG;;1;0.2;;;;
PERINAT_P;2013;100000090;100000017;M1030;1;;1;1;0;1;0
PERINAT_P;2013;100000090;100000017;M1140;6;1;5.66;0;1;;
PERINAT_P;2013;100000090;100000017;M2050;7;3;2.7;0;1;;
PERINAT_P;2013;100000090;100000017;MIVG;2;;0.4;;;;
PERINAT_P;2013;100000090;100000017;N2340;13;4;15.9;;;;
PERINAT_P;2013;100000090;100000017;N2700;1;1;0.75;;;;
PERINAT_P;2013;100000090;100000017;N2800;29;15;39.91;;;;
PERINAT_P;2013;100000090;100000017;N280H;26;13;12.93;;;;
PERINAT_P;2013;100000199;100006279;M1140;1;2;1.2;0;1;;
PERINAT_P;2013;100000199;100006279;M2050;1;2;2.1;0;1;;
PERINAT_P;2013;100000199;100006279;MIVG;;1;0.1;;;;
PERINAT_P;2013;100000199;100006279;N2340;1;0;0.5;;;;
PERINAT_P;2013;100000199;100006279;N2800;10;6;6.39;;;;
PERINAT_P;2013;100002351;100000561;M1030;4;;4;;;;
PERINAT_P;2013;100002351;100000561;M1140;2;;2;;;;
PERINAT_P;2013;100002351;100000561;M2050;6;;6;;;;
PERINAT_P;2013;100002351;100000561;MIVG;1;;1;;;;
PERINAT_P;2013;100002351;100000561;N2700;2;;2;;;;
PERINAT_P;2013;100002351;100000561;N2800;9;;9;;;;
PERINAT_P;2013;100002351;100000561;N280H;1;;1;;;;
PERINAT_P;2013;110000023;110780061;M1030;3;1;3;1;0;1;
PERINAT_P;2013;110000023;110780061;M1140;2;1;1.22;0;1;;
PERINAT_P;2013;110000023;110780061;M2050;8;5;8.91;1;0;;
PERINAT_P;2013;110000023;110780061;MIVG;0;4;0.72;;;;
PERINAT_P;2013;110000023;110780061;N2340;9;1;9.54;;;;
PERINAT_P;2013;110000023;110780061;N2700;2;0;1;;;;
PERINAT_P;2013;110000023;110780061;N2800;28;17;39.52;;;;
PERINAT_P;2013;110000023;110780061;N280H;27;17;17;;;;
PERINAT_P;2013;110000023;110780061;N3120;4;3;0.22;;;;
PERINAT_P;2013;110000049;110780087;M2050;2;;0.3;0;0;;
PERINAT_P;2013;110000049;110780087;N2800;1;;0.8;;;;
PERINAT_P;2013;110000056;110780137;M2050;4;3;4.4;0;1;;
PERINAT_P;2013;110000056;110780137;N2800;12;7;15.6;;;;
PERINAT_P;2013;110000056;110780137;N280H;11;7;14.6;;;;
PERINAT_P;2013;110780228;110000114;N2340;1;;1;;;;
PERINAT_P;2013;110780228;110000114;N2800;10;1;10.08;;;;
PERINAT_P;2013;110780228;110000114;N280H;10;1;5;;;;
PERINAT_P;2013;110780228;110000114;N3120;;1;0.1;;;;
PERINAT_P;2013;120000039;120780044;M1030;1;;1;1;0;;
PERINAT_P;2013;120000039;120780044;M1140;5;3;5.63;;1;;
PERINAT_P;2013;120000039;120780044;M2050;4;;3.92;0;1;;
PERINAT_P;2013;120000039;120780044;N2340;8;6;14.17;;;;
PERINAT_P;2013;120000039;120780044;N2700;;;1.5;;;;
PERINAT_P;2013;120000039;120780044;N2800;4;3;7.11;;;;
PERINAT_P;2013;120000039;120780044;N280H;1;;0.05;;;;
PERINAT_P;2013;120000054;120780069;M1140;2;0;2;0;1;;
PERINAT_P;2013;120000054;120780069;M2050;2;1;2.69;0;1;;
PERINAT_P;2013;120000054;120780069;N2800;9;6;13.49;;;;
PERINAT_P;2013;120000054;120780069;N280H;9;6;13.49;;;;
PERINAT_P;2013;120000054;120780069;N3120;0;1;0.24;;;;
PERINAT_P;2013;120000070;120780085;MIVG;;1;0.1;;;;
PERINAT_P;2013;120000070;120780085;N2800;7;3;8.7;;;;
PERINAT_P;2013;120000070;120780085;N280H;6;3;7.7;;;;
PERINAT_P;2013;120004569;120004528;M1030;;1;0.2;0;1;0;0
PERINAT_P;2013;120004569;120004528;M1140;1;2;1.55;0;1;;
PERINAT_P;2013;120004569;120004528;M2050;1;4;2.47;0;1;;
PERINAT_P;2013;120004569;120004528;MIVG;;1;0.1;;;;
PERINAT_P;2013;120004569;120004528;N2800;10;3;10.66;;;;
PERINAT_P;2013;120004569;120004528;N280H;10;3;10.02;;;;
PERINAT_P;2013;120004668;120004619;M1030;2;;0.28;0;1;;0
PERINAT_P;2013;120004668;120004619;M1140;;2;0.9;0;1;;
PERINAT_P;2013;120004668;120004619;M2050;;2;1.06;0;1;;
PERINAT_P;2013;120004668;120004619;N2800;4;5;8.78;;;;
PERINAT_P;2013;120004668;120004619;N280H;3;5;7.93;;;;
PERINAT_P;2013;130000409;130041916;M1030;;2;0.54;;;;
PERINAT_P;2013;130000409;130041916;M1140;4;3;2.06;;;;
PERINAT_P;2013;130000409;130041916;M2050;8;3;2.05;;;;
PERINAT_P;2013;130000409;130041916;MIVG;12;2;1.14;;;;
PERINAT_P;2013;130000409;130041916;N2340;4;6;8.82;;;;
PERINAT_P;2013;130000409;130041916;N2700;1;2;1.75;;;;
PERINAT_P;2013;130000409;130041916;N2800;22;6;16.94;;;;
PERINAT_P;2013;130000409;130041916;N280H;22;6;16.94;;;;
PERINAT_P;2013;130000565;130781446;M1030;1;;0.5;1;0;0;0
PERINAT_P;2013;130000565;130781446;M2050;4;5;4.66;0;1;;
PERINAT_P;2013;130000565;130781446;MIVG;1;2;0.4;;;;
PERINAT_P;2013;130000565;130781446;N2700;;1;0.2;;;;
PERINAT_P;2013;130000565;130781446;N2800;11;11;19.94;;;;
PERINAT_P;2013;130000565;130781446;N280H;5;5;9.4;;;;
PERINAT_P;2013;130001225;130782634;M1030;0;0;0;1;0;0;0
PERINAT_P;2013;130001225;130782634;M1140;3;0;0.79;1;0;;
PERINAT_P;2013;130001225;130782634;M2050;6;4;4.8;1;0;;
PERINAT_P;2013;130001225;130782634;MIVG;3;1;0.76;;;;
PERINAT_P;2013;130001225;130782634;N2700;1;1;0.65;;;;
PERINAT_P;2013;130001225;130782634;N2800;10;13;19.02;;;;
PERINAT_P;2013;130001225;130782634;N280H;9;11;16.8;;;;
PERINAT_P;2013;130002215;130785512;M1140;;4;2.2;0;1;;
PERINAT_P;2013;130002215;130785512;M2050;;;;0;1;;
PERINAT_P;2013;130002215;130785512;N2700;;1;0.4;;;;
PERINAT_P;2013;130002215;130785512;N2800;10;6;14.35;;;;
PERINAT_P;2013;130002215;130785512;N280H;10;6;14.35;;;;
PERINAT_P;2013;130002827;130789274;M1030;1;;1;1;;1;
PERINAT_P;2013;130002827;130789274;M1140;1;;1;;1;;
PERINAT_P;2013;130002827;130789274;M2050;6;1;6.5;1;;;
PERINAT_P;2013;130002827;130789274;N2340;2;2;2.75;;;;
PERINAT_P;2013;130002827;130789274;N2700;1;;0.8;;;;
PERINAT_P;2013;130002827;130789274;N2800;14;9;19.8;;;;
PERINAT_P;2013;130002827;130789274;N280H;14;9;19.8;;;;
PERINAT_P;2013;130002835;130789316;M1030;1;0;1;1;0;1;0
PERINAT_P;2013;130002835;130789316;M1140;7;2;8.3;1;0;;
PERINAT_P;2013;130002835;130789316;M2050;6;4;8;1;0;;
PERINAT_P;2013;130002835;130789316;MIVG;0;4;0.35;;;;
PERINAT_P;2013;130002835;130789316;N2340;1;2;2.5;;;;
PERINAT_P;2013;130002835;130789316;N2700;0;1;0.3;;;;
PERINAT_P;2013;130002835;130789316;N2800;17;22;32.54;;;;
PERINAT_P;2013;130002835;130789316;N280H;17;19;25.2;;;;
PERINAT_P;2013;130008253;130001084;M1030;7;;7;1;;0;
PERINAT_P;2013;130008253;130001084;M1140;;8;4;;1;;
PERINAT_P;2013;130008253;130001084;M2050;5;5;5;1;;;
PERINAT_P;2013;130008253;130001084;N2700;;1;0.5;;;;
PERINAT_P;2013;130008253;130001084;N2800;11;10;17.42;;;;
PERINAT_P;2013;130008253;130001084;N280H;6;5;8.7;;;;
PERINAT_P;2013;130008253;130001084;N3120;;1;0.3;;;;
PERINAT_P;2013;130780521;130786049;M1030;3;0;0.68;;;;
PERINAT_P;2013;130780521;130786049;M1140;3;3;2.81;;;;
PERINAT_P;2013;130780521;130786049;M2050;12;7;7.36;;;;
PERINAT_P;2013;130780521;130786049;MIVG;1;7;1.14;;;;
PERINAT_P;2013;130780521;130786049;N2340;58;18;57.66;;;;
PERINAT_P;2013;130780521;130786049;N2700;1;;1;;;;
PERINAT_P;2013;130780521;130786049;N2800;24;12;30.04;;;;
PERINAT_P;2013;130780521;130786049;N280H;24;12;30.04;;;;
PERINAT_P;2013;130781370;130000532;M1030;4;;4;0;1;;
PERINAT_P;2013;130781370;130000532;MIVG;;3;1.5;;;;
PERINAT_P;2013;130781479;130000599;M1030;9;;9;0;1;0;0
PERINAT_P;2013;130781479;130000599;M1140;1;5;4;0;1;;
PERINAT_P;2013;130781479;130000599;M2050;3;1;3.5;0;1;;
PERINAT_P;2013;130781479;130000599;MIVG;3;1;3.5;;;;
PERINAT_P;2013;130781479;130000599;N2340;1;;1;;;;
PERINAT_P;2013;130781479;130000599;N2800;8;;7.6;;;;
PERINAT_P;2013;130781479;130000599;N280H;8;;7.6;;;;
PERINAT_P;2013;130783236;130786049;M1140;12;6;4.51;;;;
PERINAT_P;2013;130783236;130786049;M2050;16;18;11.32;;;;
PERINAT_P;2013;130783236;130786049;N2340;50;16;66;;;;
PERINAT_P;2013;130783236;130786049;N2700;5;1;5;;;;
PERINAT_P;2013;130783236;130786049;N2800;31;21;51.22;;;;
PERINAT_P;2013;130783236;130786049;N280H;22;12;34;;;;
PERINAT_P;2013;130783327;130001415;M1030;;18;3.6;1;0;1;0
PERINAT_P;2013;130783327;130001415;M1140;8;;8;0;0;;
PERINAT_P;2013;130783327;130001415;M2050;13;4;13.8;1;;;
PERINAT_P;2013;130783327;130001415;N2340;1;2;2.5;;;;
PERINAT_P;2013;130783327;130001415;N2700;1;;1;;;;
PERINAT_P;2013;130783327;130001415;N2800;15;16;30;;;;
PERINAT_P;2013;130783327;130001415;N280H;10;9;16.5;;;;
PERINAT_P;2013;130783327;130001415;N3120;;1;0.2;;;;
PERINAT_P;2013;130783665;130043722;MIVG;;4;0.48;;;;
PERINAT_P;2013;130783665;130043722;N2700;;1;0.01;;;;
PERINAT_P;2013;130783665;130043722;N3120;;1;0.01;;;;
PERINAT_P;2013;130784713;130038847;M1030;9;8;13;1;;1;
PERINAT_P;2013;130784713;130038847;M1140;1;6;4;1;;;
PERINAT_P;2013;130784713;130038847;M2050;12;4;14;1;;;
PERINAT_P;2013;130784713;130038847;MIVG;4;1;4.5;;;;
PERINAT_P;2013;130784713;130038847;N2340;6;0;6;;;;
PERINAT_P;2013;130784713;130038847;N2700;1;1;0.42;;;;
PERINAT_P;2013;130784713;130038847;N2800;12;14;23.93;;;;
PERINAT_P;2013;130784713;130038847;N280H;9;9;16.82;;;;
PERINAT_P;2013;130784713;130038847;N3120;;1;0.3;;;;
PERINAT_P;2013;130785652;130014228;M1030;12;28;23.4;1;0;1;0
PERINAT_P;2013;130785652;130014228;M1140;2;23;6.9;1;1;;
PERINAT_P;2013;130785652;130014228;M2050;3;9;9;1;0;;
PERINAT_P;2013;130785652;130014228;N2700;;1;0.8;;;;
PERINAT_P;2013;130785652;130014228;N2800;49;16;54.75;;;;
PERINAT_P;2013;130785652;130014228;N280H;20;8;23.61;;;;
PERINAT_P;2013;130786445;130002488;M1030;;4;4;1;0;1;0
PERINAT_P;2013;130786445;130002488;M1140;;7;5.5;1;0;;
PERINAT_P;2013;130786445;130002488;M2050;;7;5.5;1;0;;
PERINAT_P;2013;130786445;130002488;N2340;3;6;6.09;;;;
PERINAT_P;2013;130786445;130002488;N2700;;2;1;;;;
PERINAT_P;2013;130786445;130002488;N2800;22;15;30.53;;;;
PERINAT_P;2013;140000027;140000035;M1140;3;1;3;;1;;
PERINAT_P;2013;140000027;140000035;M2050;5;6;5.79;0;1;;
PERINAT_P;2013;140000027;140000035;N2340;7;3;8.85;;;;
PERINAT_P;2013;140000027;140000035;N2700;0;1;0.75;;;;
PERINAT_P;2013;140000027;140000035;N2800;13;11;22.01;;;;
PERINAT_P;2013;140000027;140000035;N280H;13;11;22.01;;;;
PERINAT_P;2013;140000076;140000084;M2050;;1;0.2;;;;
PERINAT_P;2013;140000076;140000084;N2800;;3;1.85;;;;
PERINAT_P;2013;140000209;140000100;M1140;10;2;8.44;1;0;;
PERINAT_P;2013;140000209;140000100;M2050;12;5;10.01;1;0;;
PERINAT_P;2013;140000209;140000100;MIVG;1;2;1.28;;;;
PERINAT_P;2013;140000209;140000100;N2340;24;43;56.9;;;;
PERINAT_P;2013;140000209;140000100;N2700;2;2;2.5;;;;
PERINAT_P;2013;140000209;140000100;N2800;49;36;77.57;;;;
PERINAT_P;2013;140000209;140000100;N280H;14;8;19.18;;;;
PERINAT_P;2013;140000233;140000118;M2050;2;1;3.38;0;1;;
