BOR;AN;FI;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A8;PHARMA_B8;PHARMA_C8;PHARMA_D8;PHARMA_E8;PHARMA_A9;PHARMA_B9;PHARMA_C9;PHARMA_D9;PHARMA_E9;PHARMA_A10;PHARMA_A11;PHARMA_A12;PHARMA_A13;PHARMA_A14;PHARMA_A15;PHARMA_A16;PHARMA_A17;PHARMA_A18;PHARMA_A19;PHARMA_A20;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A25;PHARMA_A26;PHARMA_A27;PHARMA_A28;PHARMA_A29;PHARMA_A30;PHARMA_A31;PHARMA_A32;PHARMA_A33;PHARMA_A34;PHARMA_A35;PHARMA_B29;PHARMA_B30;PHARMA_B31;PHARMA_B32;PHARMA_B33;PHARMA_B34;PHARMA_B35;PHARMA_C29;PHARMA_C30;PHARMA_C31;PHARMA_C32;PHARMA_C33;PHARMA_C34;PHARMA_C35;PHARMA_D29;PHARMA_E29
PHARMA;2013;010002129;920000395;0;;;;0;0;;;99;;;0;0;0;0;0;0;0;0;0;0;178000;1;100;99;99;1;0;0;0;0;0;0;0;;;0;0;0;1;;;;;;;;1;;;;2;;;0.8;;;;1;;;0;0
PHARMA;2013;010005239;010008407;1;;;;1;0;130;;30;35;290;1;0;1;1;1;0;0;0;0;0;2561200;1;450;382;310;1;1;0;0;1;1;1;0;;;1;1;0;2;2;2;;1;7;;1;;;;;2;;;1.24;1.24;;0.12;5.99;;0.76;0;0
PHARMA;2013;010780195;010000156;0;;;;0;0;168;;;;;1;1;1;1;1;0;0;0;0;0;2425000;1;67;126;76;1;1;0;0;1;1;0;0;;;1;0;0;1;1;1;1;;5;8;1;1;;;;1;;;1.8;0.2;0.5;;4.8;8;1;0;0
PHARMA;2013;010780203;010006450;0;;;;0;1;92;;;;;0;0;0;0;0;0;0;0;0;0;692034;0;;2;2;1;0;0;0;1;1;0;1;60;0;1;0;0;0;1;;;;1;;;1;1;;;2;1;;1.75;0.25;;;2.46;0.5;;0;0
PHARMA;2013;010780252;010783009;0;;;;0;0;;;71;;;0;0;0;0;0;0;0;0;0;0;71360;1;100;71;71;0;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;1;;;;;;;2;;;1;;;;1.9;;;0;0
PHARMA;2013;010780278;010783009;0;;;;0;1;;;100;;;0;0;0;0;0;0;0;0;0;0;112288;1;100;100;;0;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;1;;;;;;;2;;;0.6;;;;1.14;;;0;0
PHARMA;2013;010780294;690000278;0;;;;0;0;;;;;;1;1;1;1;1;0;0;0;0;0;140000;1;100;60;0;1;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.8;;;;;;;0;0
PHARMA;2013;010780310;010000222;0;;;;0;0;;;38;;;0;0;0;0;0;0;0;0;0;0;99799;1;100;100;100;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.4;;;0;0
PHARMA;2013;010780328;010000222;0;;;;0;0;;;58;;;0;0;0;0;0;0;0;0;0;0;112136;1;100;58;58;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.5;;;0;0
PHARMA;2013;010780476;750005068;0;;;;0;0;;;115;;;0;0;0;0;0;0;0;0;0;0;69900;0;;115;115;0;0;0;0;0;1;0;0;;;0;0;0;2;;;;;;;;1;;;;;;;0.53;;;;;;;0;0
PHARMA;2013;010780492;360000707;0;;;;0;0;;;67;;;1;1;1;1;1;0;0;0;0;0;121945;1;100;67;67;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;1;;;;1;;;;;;;0.5;;;1;;;;0;1
PHARMA;2013;010780708;310021381;0;;;;0;0;;;65;;;1;1;1;1;1;0;0;0;0;0;73118;1;100;65;65;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;1;;;;1;;;;1;;;0.7;;;1;0.05;;;0;0
PHARMA;2013;010780799;750721334;0;;;;0;0;;;103;;;0;0;1;0;0;0;0;0;0;0;111428;1;103;103;103;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;1;;;0;0
PHARMA;2013;020000089;020000022;0;;;;1;0;28;0;42;30;172;0;0;0;0;0;0;0;0;0;0;252540;1;100;272;272;0;0;0;0;0;1;0;0;15;0;0;0;0;0;;;;;1;;;3;;;;2;;1;0.75;;;;2.5;;0.08;0;1
PHARMA;2013;020000097;020000048;0;;;;1;0;31;;29;;108;1;1;1;1;1;0;0;0;0;0;410000;1;100;176;31;1;0;0;0;0;1;1;0;;;0;0;0;1;1;;;;2;;;;;;;;;;1;;;;2;;;1;0
PHARMA;2013;020000162;020000063;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;13417424;1;57;229;75;1;1;0;0;1;1;1;0;;;1;1;1;1;3;1;0;1;12;31;2;6;0;3;0;4;12;0;6.6;1;1.3;1;14.46;37.61;1.5;0;0
PHARMA;2013;020000246;020000071;1;;0;;1;1;36;;33;;;0;0;0;0;0;0;0;0;0;0;106757;0;;0;0;0;0;0;0;0;1;1;0;;;0;0;0;;;;;;3;;;1;;;;;;;0.42;;;;2.5;;;0;0
PHARMA;2013;020000303;750814030;0;;;;0;0;;;359;;;0;0;0;0;0;0;0;0;0;0;598881;1;100;359;0;1;0;0;0;0;1;0;0;;;0;0;0;0;2;;;;3;2;1;;;;;2;1;;1.08;;;;4.26;1.13;0.5;0;0
PHARMA;2013;020000311;020000550;0;;;;0;0;11;;;;;0;0;0;0;0;0;0;0;0;0;7000;0;;;;1;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.33;;;;;;;0;0
PHARMA;2013;020000360;020014742;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;101700;1;100;45;30;1;0;0;0;1;1;0;0;;;0;0;0;;1;;;;;;;;;;;2;;;1;;;;1.3;;;0;0
PHARMA;2013;020000394;020000253;0;;;;1;1;223;;70;41;126;1;1;1;1;1;0;0;0;0;0;4629933;1;64;316;0;1;1;0;0;1;1;1;0;;;0;1;0;0;4;0;0;0;6;6;2;0;0;0;0;1;1;1;2.86;0;0;0;6;6.93;2.5;0;1
PHARMA;2013;020000519;020000261;0;;;;1;0;318;;60;50;290;0;0;0;0;0;0;0;0;0;0;5607453;1;98;740;192;1;1;0;0;1;1;1;0;;;1;0;0;1;4;;;2;8;10;2;;1;;;;3;;4;0.5;;2;8;12.3;2;0;1
PHARMA;2013;020000535;020000287;0;;;;1;0;175;;38;44;166;1;1;1;1;1;0;0;0;0;0;1750000;0;0;0;0;1;1;0;0;1;1;1;0;;;0;1;0;2;2;;;1;2;3;1;;;;;5;2;;1.42;;;0.1;5.22;4.18;1.41;0;1
PHARMA;2013;020000543;020000295;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;576078;1;78;724;599;0;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;6;1;2;2;;;;;;;2.1;;;;6;1;2;0;0
PHARMA;2013;020000683;020002085;0;;;;0;0;;;;30;;1;1;1;1;1;0;0;0;0;0;19524;0;100;30;30;1;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;;;;0.25;;;;0.16;;;0;0
PHARMA;2013;020000915;020003620;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;198641;1;100;184;0;0;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;2;;;;;;;;;;0.8;;;;2;;;0;1
PHARMA;2013;020001061;020004404;0;;;;1;0;219;;;;285;1;1;0;0;1;1;1;0;0;1;1900366;1;100;0;0;1;0;0;0;1;1;1;0;;;1;0;0;2;2;1;;1;5;7;1;;;;;1;3;1;2;0.2;;1.4;5.58;6.44;1.5;0;1
PHARMA;2013;020001087;020004495;0;;;;0;0;66;0;30;;86;0;0;0;0;0;0;1;0;1;1;346900;1;46;176;0;1;0;0;0;0;1;1;1;15;15;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;1;1;1;0;0;0.5;3;0.18;0.5;0;1
PHARMA;2013;020004156;590805065;0;;;;0;0;;54;;;;1;1;1;1;1;0;0;0;0;0;66500;0;;54;0;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.5;;;0;1
PHARMA;2013;020010047;020001632;0;;;;0;0;182;;;;;0;0;0;0;0;0;0;0;0;0;380907;1;51;85;85;1;1;0;0;1;1;0;0;;;0;0;0;0;1;;;;3;1;;1;;1;;;1;;1.8;;0.8;;3;1.5;;0;1
PHARMA;2013;030000012;030180020;0;;;;1;0;;;59;;100;1;1;1;1;1;0;0;0;0;0;701292;1;59;59;59;0;0;0;0;0;1;0;0;;;0;0;0;0;0;;;;1;;;1;;;;1;;;0.5;;;;1.6;;;0;0
PHARMA;2013;030000061;030780092;0;;;;1;0;361;191;40;80;;0;0;1;0;0;0;0;0;0;0;5205936;1;657;240;0;1;1;0;0;1;1;1;1;12;0;1;1;0;0;5;2;;;8;5;2;;;;;3;;2;4.84;0.6;;;10.7;5.4;3.4;0;1
PHARMA;2013;030000079;030780100;0;;;;1;0;354;100;30;60;297;1;1;1;1;1;1;1;1;1;1;7467900;1;8;72;30;1;1;0;0;1;1;1;1;30;0;1;1;1;2;6;1;1;1;11;19;2;;;;;1;1;;5.53;0.5;1;0.5;10.85;21.03;2;0;1
PHARMA;2013;030000087;030780118;0;;;;1;0;;;;;;0;0;0;0;0;0;0;0;0;0;8581771;1;53;434;30;1;1;0;0;1;1;1;1;30;50;1;1;0;1;4;1;1;1;9;18;1;1;;;0;0;;1;4.8;1;1;1;9.67;17.99;1.9;0;1
PHARMA;2013;030000095;030780126;1;1;0;;1;0;10;0;35;0;178;0;0;0;0;0;0;0;0;0;0;102700;1;100;223;223;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;3;;;1;;;;;;1;0.6;;;;3;;0.5;0;0
PHARMA;2013;030000160;030780282;0;;;;0;0;;457;;40;;1;1;1;1;1;0;0;0;0;0;480000;1;100;497;497;0;0;0;0;0;1;1;0;;;0;0;0;0;1;;;1;6;;1;2;;;0;0;;0;2.32;;;1;6;;1;0;1
PHARMA;2013;030002208;030002158;0;;;;1;0;10;0;179;0;280;0;0;0;0;0;0;0;0;0;0;362280;1;100;469;469;0;0;0;0;0;1;1;0;;;0;0;0;;1;0;0;0;3;0;0;1;0;0;0;1;0;1;1.02;0;0;0;3.14;0;0.9;0;0
PHARMA;2013;030780548;030000194;0;;;;0;0;96;;50;;;1;1;1;1;1;0;0;0;0;0;241820;1;9;146;146;1;0;0;0;1;1;0;0;;;1;0;0;1;1;;;;;;;;;;;2;;;1;;;;1.75;;;0;1
PHARMA;2013;030781116;030000426;0;;;;1;0;200;;65;;;1;1;1;1;1;0;0;0;0;0;4200000;1;25;65;65;1;1;0;0;1;1;0;0;;;1;1;0;1;2;1;1;0;9;1;1;2;0;0;0;1;0;;2.71;1;1;0;9.5;1;1;0;0
PHARMA;2013;030785430;030785422;0;;;;1;0;85;;;;;0;0;0;0;0;0;0;0;0;0;1145800;1;50;33;3;1;1;0;0;1;1;1;0;;;1;1;0;;1;;;0;1;1;0;1;;1;;;;;1.3;;0.3;;1;1;;0;0
PHARMA;2013;040000036;040780132;0;;;;0;0;5;;10;;;0;0;0;0;0;0;0;0;0;0;;1;;;;0;0;0;0;0;1;1;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.25;;;;0.25;;;0;0
PHARMA;2013;040000051;040780173;1;3;1;;1;0;0;0;15;0;56;0;0;0;0;0;0;0;0;0;0;82121;1;100;71;71;0;0;0;0;0;1;0;0;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0.6;0;0;0;1.6;0;0;0;0
PHARMA;2013;040000093;040780215;0;;;;0;0;175;;;30;;0;0;0;0;0;0;0;0;0;0;2548686;1;100;2;46;1;1;0;0;1;1;1;0;;;0;0;0;0;3;;;;8;;2;2;;;;1;;;5;;;;7.93;;2;0;1
PHARMA;2013;040000119;040780231;0;;;;0;0;4;;15;;63;1;1;1;1;1;0;0;0;0;0;29700;1;100;83;83;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;;;;0.5;;;;1;;;0;0
PHARMA;2013;040000135;050002948;0;;;;1;1;50;0;37;0;53;1;1;1;1;1;1;1;0;1;1;6966475;1;60;405;181;1;1;0;0;1;1;1;0;;;1;0;0;0;2;1;0;0;0;0;0;1;1;0;0;3;2;0;0.8;0.21;0;0;2.4;1.1;0;0;0
PHARMA;2013;040000911;040788879;0;;;;1;1;152;159;;;;0;0;0;0;0;0;0;0;0;0;3032385;1;60;311;311;1;0;0;0;1;1;1;0;;;0;1;1;;3;2;;;5;2;3;;;;;1;1;;3;0.8;;;5.9;2.75;3;0;0
PHARMA;2013;040002248;040000168;0;;;;0;0;;;;41;;0;0;0;0;0;0;0;0;0;0;;1;100;41;41;0;0;0;0;0;0;0;0;;;0;0;0;0;1;;;;;;;;;;;1;;;0.2;;;;0.5;;;0;0
PHARMA;2013;040780389;040000150;1;3;0;;0;0;;;83;;;0;0;0;0;0;0;0;0;0;0;25700;1;83;10;83;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;1;;;;1;;;;1;;;0.5;;;1;0.5;;;0;0
PHARMA;2013;040780405;040000168;0;;;;0;0;;;70;;;0;0;0;0;0;0;0;0;0;0;;1;100;70;70;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.6;;;;0.5;;;0;0
PHARMA;2013;040780470;040000192;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;62200;1;100;47;47;1;0;0;0;1;1;0;0;;;1;0;0;2;;;;;1;;;1;1;;;;;;0.8;0.2;;;1;;;0;0
PHARMA;2013;040780488;040000200;0;;;;0;0;;;80;;;0;0;0;0;0;0;0;0;0;0;94122;1;100;80;80;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;1;0.8;;;;;;0.04;0;0
PHARMA;2013;040782021;130037815;0;;;;0;0;;;60;;;0;0;0;0;0;0;0;0;0;0;44011;1;100;60;60;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;1;;;0.52;;;;0.5;;;0;0
PHARMA;2013;040784860;330029208;0;;;;1;0;42;;;;;1;1;1;1;1;0;0;0;0;0;45034;1;100;100;100;1;0;0;0;1;1;0;0;;;0;0;0;1;;;;;;;;1;;;;1;2;;0.6;;;;0.6;0.8;;0;0
PHARMA;2013;050000066;050000082;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;33764;1;100;60;60;0;0;0;0;1;0;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.57;;;;;;;0;0
PHARMA;2013;050000132;050007145;0;;;;1;0;5;189;12;25;95;1;1;1;1;1;0;0;0;0;0;194000;1;84;0;0;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;1;1;;2;;;;2;;;1.2;;;;2.86;1;;0;0
PHARMA;2013;050000223;050000108;0;;;;0;0;4;;;;;0;0;0;0;0;0;0;0;0;0;3500;1;100;4;4;0;0;0;0;0;1;0;0;;;0;0;0;1;0;;;;;;;1;;;;;;;0.5;;;;;;;0;0
PHARMA;2013;050000231;050000116;1;1;0;1;1;0;58;23;;30;54;0;0;0;0;0;0;0;0;0;0;4056780;1;46;106;22;1;1;0;0;1;0;1;1;8;0;1;0;0;1;3;1;1;1;6;1;2;1;;;;;1;;3.33;0.6;0.3;1;6;1.8;2;0;1
PHARMA;2013;050000256;050000124;0;;;;0;0;26;;34;30;146;0;0;0;0;0;0;0;0;0;0;548393;1;100;127;63;1;0;0;0;0;1;1;0;;;0;0;0;2;1;;;0;3;;;;;;;1;;1;1;;;;3.43;;0.7;0;0
PHARMA;2013;050000330;050007145;0;;;;1;0;5;;12;;;0;0;0;0;0;0;0;0;0;0;8663;1;100;17;17;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;1;;1;;;;1;;;0.05;;;;0.05;1;;0;0
PHARMA;2013;050000348;050002948;0;;;;1;1;325;0;54;50;112;1;1;1;1;1;1;1;0;1;1;6966475;1;60;405;181;1;1;0;0;1;1;1;0;;;1;0;0;2;5;5;0;2;10;6;4;5;5;0;0;5;3;1;5.71;5.05;0;2;11.54;8.17;4.86;0;0
PHARMA;2013;050000488;050000678;0;;;;0;0;;;77;;;1;1;1;1;1;0;0;0;0;0;80105;1;100;77;77;0;0;0;0;0;1;0;0;;;0;0;0;;1;0;0;;1;;;;;;;;;;0.5;;;;0.46;;;0;0
PHARMA;2013;050000637;050001163;0;;;;0;0;;;64;;;0;0;0;0;0;0;0;0;0;0;55416;1;64;64;64;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;2;;;0.5;;;;0.55;;;0;1
PHARMA;2013;050000991;050000546;0;;;;1;1;;40;185;;92;1;1;1;1;1;0;0;0;0;0;207400;1;100;225;225;0;0;0;0;0;1;0;0;;;0;0;0;2;;;;;1;;;1;;;;3;;;0.63;;;;2.5;;;0;0
PHARMA;2013;050001064;050000561;0;;;;1;0;;;90;;;0;0;0;0;0;0;0;0;0;0;66055;1;100;100;100;1;0;0;0;0;1;0;0;;;0;0;0;;1;;;;;;;;;;;1;;;1;;;;0.76;;;0;0
PHARMA;2013;060000296;060780640;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;68812;1;100;84;84;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;2;;;0.5;;;;1;;;0;1
PHARMA;2013;060000304;060780657;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;78881;1;100;5;5;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;21;7;;1;;1;;3;2;;0.12;;0.18;0.3;2.61;1.05;0;0
PHARMA;2013;060000411;060780780;1;3;1;;1;0;6;;15;;220;0;0;0;0;0;0;0;0;0;0;147806;1;100;170;170;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;2;;;0.7;;;;1.6;;;0;0
PHARMA;2013;060000445;060780814;0;;;;1;0;;;73;;;0;1;0;0;0;0;0;0;0;0;66320;1;100;73;73;0;0;0;0;0;1;0;0;;;0;0;0;1;;;;;1;;1;1;;;;;;;0.5;;;;1;;0.4;0;0
PHARMA;2013;060000478;060780897;0;;;;1;1;;;;;;;;;;;;;;;;4887486;1;98;484;178;1;1;0;0;1;1;1;0;15;;0;;1;;2;1;0;2;9;4;4;1;0;0;0;2;0;0;2.97;0.17;0;0.3;10.11;4;3.67;0;1
PHARMA;2013;060000486;060780905;0;;;;0;0;12;;13;;185;0;0;0;0;0;0;0;0;0;0;37635;1;66;210;210;0;0;0;0;0;1;0;0;;;0;0;0;;;;;;1;1;;1;;;;1;;;0.56;;;;1.5;1;;0;0
PHARMA;2013;060000494;060780921;0;;;;0;0;5;;;;73;0;0;0;0;0;0;0;0;0;0;51379;1;100;78;78;0;0;0;0;0;1;0;0;;;0;0;0;;;;;;1;;;2;;;;;;;1;;;;1;;;0;0
PHARMA;2013;060000510;060780954;0;;;;1;0;321;80;25;20;167;0;0;0;0;0;0;0;0;0;0;3263000;1;40;613;391;1;1;0;0;1;1;1;0;;;1;0;0;0;6;2;3;0;6;16;2;2;;;1;7;1;4;5.42;0.4;1;0.8;12.04;17;4.6;0;1
PHARMA;2013;060000528;060780962;0;;;;1;0;118;;;;;0;0;0;0;0;0;0;0;0;0;;1;100;118;118;1;1;0;0;1;1;1;0;;;0;0;0;1;3;;;1;13;3;1;1;;;;1;;;3.47;;;1;13.88;3;1;0;1
PHARMA;2013;060000536;060006889;0;;;;1;0;8;;19;;;0;0;0;0;0;0;0;0;0;0;43578;1;100;27;27;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;1;;;0.35;;;;0.15;;;0;0
PHARMA;2013;060000544;060780988;1;1;0;;1;0;357;66;20;54;240;0;0;0;0;0;0;0;0;0;0;11400000;1;17;681;681;1;1;0;0;1;1;1;1;20;;0;0;0;;6;1;1;2;9;12;2;1;;;0;0;0;1;6;0.2;0.2;1.2;10.52;11.9;2.96;0;1
PHARMA;2013;060000551;060781010;0;;;;0;0;0;0;0;41;;0;0;0;0;0;0;0;0;0;0;27000;1;41;41;41;1;0;0;0;0;1;0;0;;;0;0;0;2;;;;;;;;1;;;;1;2;;0.1;;;;0.18;0.36;;0;0
PHARMA;2013;060001450;060785011;0;;;;0;0;206;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2138969;0;;80;218;1;0;0;0;0;1;1;0;;;0;0;0;;1;;;0;4;15;0;1;;;0;0;2;1;1.82;;;0;4.24;9.37;0.8;1;0
PHARMA;2013;060002102;060791761;0;;;;1;0;95;0;27;30;;0;0;0;0;0;0;0;0;0;0;619807;1;61;242;242;1;0;0;0;1;1;1;0;;;1;0;0;1;;;;0;3;2;0;1;1;;0;0;;0;0.6;0.2;;0;3;2;0;0;0
PHARMA;2013;060005469;750043994;0;;;;0;0;;;90;;;0;0;0;0;0;0;0;0;0;0;94177;1;100;90;90;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;1;;;;;;;;;;1;;;;1;;;0;0
PHARMA;2013;060006558;060798865;0;;;;0;0;;;;;;1;1;1;1;1;0;0;0;0;0;60731;0;;30;30;1;0;0;0;0;1;0;1;30;30;0;0;0;1;;;;;;;;1;;;;1;;;0.08;;;;0.5;;;0;1
PHARMA;2013;060010949;060790540;1;3;1;;0;0;12;;;;;0;0;0;0;0;0;0;0;0;0;85120;0;;;;1;1;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.5;;;;;;;0;0
PHARMA;2013;060019676;060790540;0;;;;1;0;5;;;;;0;0;0;0;0;0;0;0;0;0;12298;1;100;5;5;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;;;;;;;;;;;0.13;;;;;;;0;0
PHARMA;2013;060019684;060790540;0;;;;1;0;5;;;;;0;0;0;0;0;0;0;0;0;0;14019;1;100;5;5;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;;;;;;;;;;;0.04;;;;;;;0;0
PHARMA;2013;060021201;060000155;0;;;;1;0;;;50;;;1;1;1;1;1;0;0;0;0;0;49275;1;100;50;50;1;0;0;0;0;0;0;0;;;0;0;0;1;;;;;;;;1;;;;;1;;0.5;;;;;0.5;;0;0
PHARMA;2013;060021276;060790540;0;;;;1;0;31;;;;;0;0;0;0;0;0;0;0;0;0;263131;1;100;31;31;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;;;;;;;;;;;0.37;;;;;;;0;0
PHARMA;2013;060021417;060000221;0;;;;1;1;95;;93;;;1;1;1;1;1;0;0;0;0;0;481911;1;100;188;188;1;0;0;;0;1;0;0;;;0;1;1;0;1;;;;2;1;;1;;;;1;;;1.52;;;;2.57;1;;0;0
PHARMA;2013;060022845;060790797;0;;;;0;0;;;;;;1;1;1;1;1;0;0;0;0;0;12156;1;100;100;100;1;0;0;0;0;1;0;0;0;0;0;0;0;1;;;;;;;;1;;;;;;;0.33;;;;;;;0;0
PHARMA;2013;060780145;060000049;0;;;;1;0;;;82;;;1;1;1;1;1;0;0;0;0;0;174046;1;100;100;100;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.58;;;;;;;0;0
PHARMA;2013;060780277;750043994;0;;;;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;293432;1;100;123;123;1;0;0;0;0;1;0;0;;;0;0;0;1;1;;;;;;;;;;;1;;;1;;;;0.86;;;0;0
PHARMA;2013;060780343;060000171;1;3;1;;0;0;;;39;;;1;1;1;1;1;0;0;0;0;0;35420;1;100;39;39;0;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;1;;;;;;;;;;0.5;;;;0.5;;;0;1
