BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2013;020000360;020014742;;;0;0;0;25;9470;1529;9;5188;;;0;0;0;25;9470;1529;9;5188;;0;;;5;20;5260;;0;;;20;5260;;;5;;;;;;;;;;;;;;;;
MCO;2013;020000394;020000253;149;52258;7172;540;47748;61;22265;3520;437;14716;20;8821;1662;180;6400;230;83344;12354;1157;68864;12;1295;;;7529;11;1311;4;213;;;27;2819;;;7529;1;0;1;1;1;1;1;1;1;31;42;27;63;54513;26734;
MCO;2013;020000519;020000261;215;78475;11300;1108;60638;53;19345;3057;162;14459;50;16540;3207;834;10306;318;114360;17564;2104;85403;12;38;2;505;13132;10;1848;;0;;;22;1886;2;505;13132;1;1;1;1;1;1;1;1;1;;;;;110632;33516;
MCO;2013;020000535;020000287;125;45625;7997;2235;38583;25;9125;1419;175;5069;25;9125;1323;84;5867;175;63875;10739;2494;49519;8;197;2;114;1383;29;3471;0;273;;;37;3941;2;114;1383;1;1;1;1;0;1;1;0;1;;;;;27252;1014578;24
MCO;2013;020001061;020004404;154;56050;7901;1251;46542;42;15270;1912;0;9169;23;8395;1167;0;5568;219;79715;10980;1251;61279;3;669;2;180;41;10;1290;1;300;;;14;2259;2;180;41;1;0;1;1;1;1;1;1;1;15;30;15;10;14932;11709;515
MCO;2013;020001087;020004495;60;21900;2774;854;16550;0;0;0;0;0;0;;15;15;0;60;21900;2789;869;16550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;60;;1;;5598;1095;0
MCO;2013;020010047;020001632;35;12775;1654;334;9754;69;22104;4017;0;15248;20;7300;1372;6;5332;124;42179;7043;340;30334;4;404;;;4723;40;6886;;107;;;44;7397;;;4723;;;;;;;;;;;;;;;;
MCO;2013;030000061;030780092;249;89517;9755;125;74092;85;30113;4377;121;23810;27;9855;1336;10;6536;361;129485;15468;256;104438;11;639;;;17312;8;1614;2;268;;;21;2521;;;17312;1;0;1;1;1;1;1;1;1;;;70;140;67747;4583;432
MCO;2013;030000079;030780100;243;83399;11731;1243;77151;50;14745;2170;386;11498;33;8760;2171;166;8367;326;106904;16072;1795;97016;11;408;;;8571;3;229;4;317;;;18;954;;;8571;1;1;1;1;1;1;1;1;1;160;60;60;;60639;52086;233
MCO;2013;030000087;030780118;222;77516;13442;1244;70099;82;28707;3838;348;19041;28;10189;2076;343;6714;332;116412;19356;1935;95854;28;1719;;;11797;14;4102;;0;;;42;5821;;;11797;1;0;1;1;1;1;1;1;1;62;99;20;49;74716;;
MCO;2013;030000095;030780126;10;228;82;4;1464;;;0;0;0;;;0;0;0;10;228;82;4;1464;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2013;030002208;030002158;10;2452;140;10;2405;;;0;0;0;;;0;0;0;10;2452;140;10;2405;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2013;030780548;030000194;6;2190;254;0;832;74;27010;3175;79;11185;;;0;0;0;80;29200;3429;79;12017;;0;;;0;16;4832;;0;;;16;4832;;;0;;;;;;;;;;;;;;;;
MCO;2013;030781116;030000426;70;25550;3168;207;28166;130;47450;6123;132;26552;;;0;0;0;200;73000;9291;339;54718;24;1423;;;6806;24;7846;;0;;;48;9269;;;6806;;;;;;;;;;;;;;;;
MCO;2013;030785430;030785422;21;7014;651;0;4667;64;22399;2063;6;8619;;;0;0;0;85;29413;2714;6;13286;3;2;0;0;1808;32;4685;;0;;;35;4687;0;0;1808;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;040000036;040780132;5;1329;101;10;1334;0;0;0;0;0;0;0;0;0;0;5;1329;101;10;1334;0;0;;;0;0;0;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;040000044;040780140;4;1460;56;5;396;;;0;0;0;;;0;0;0;4;1460;56;5;396;0;0;0;0;0;;0;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;040000093;040780215;115;40309;7751;1206;34496;41;14965;2275;154;10142;18;6570;1240;55;5119;174;61844;11266;1415;49757;10;356;;;3941;10;1231;1;541;;;21;2128;;;3941;1;0;0;1;0;1;0;0;1;;;30;150;24656;1440;428
MCO;2013;040000119;040780231;4;1460;222;1;1172;0;0;0;0;0;0;0;0;0;0;4;1460;222;1;1172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2013;040000127;040780249;4;1460;56;0;720;;;0;0;0;;;0;0;0;4;1460;56;0;720;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;;;;;;;;
MCO;2013;040000135;050002948;46;16614;2365;262;14238;0;0;0;0;0;0;0;0;0;0;46;16614;2365;262;14238;4;565;1;186;100;0;0;0;0;0;0;4;565;1;186;100;1;1;1;1;1;1;1;1;1;;2;5;140;56789;8978;
MCO;2013;040000911;040788879;107;39055;5037;781;33633;30;10950;1792;48;9575;21;7665;1000;210;3424;158;57670;7829;1039;46632;10;739;;;1327;16;2357;1;137;;;27;3233;;;1327;1;1;1;1;1;1;1;1;1;;;;;33736;39868;
MCO;2013;040780470;040000192;;;0;0;0;47;17155;932;14;3487;;;0;0;0;47;17155;932;14;3487;;0;;;0;7;4400;;0;;;7;4400;;;0;;;;;;;;;;;;;;;;
MCO;2013;040784860;330029208;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;1186;;;13775;;0;;0;;;;1186;;;13775;;;;;;;;;;;;;;;;
MCO;2013;050000090;050006931;25;9125;884;0;3642;50;18250;2917;0;9583;;;0;0;0;75;27375;3801;0;13225;11;65;;;382;14;7697;;0;;;25;7762;;;382;;;;;;;;;;;;;;;;
MCO;2013;050000223;050000108;4;1460;41;2;1257;;;0;0;0;;;0;0;0;4;1460;41;2;1257;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;050000231;050000116;69;22078;3312;557;15020;31;11315;2509;112;9250;14;5110;542;30;2305;114;38503;6363;699;26575;18;292;0;0;5145;10;1263;;0;0;0;28;1555;0;0;5145;1;0;0;1;0;1;1;0;1;;;;;27813;4864;188
MCO;2013;050000256;050000124;26;9490;1312;237;8324;;;0;0;0;;;0;0;0;26;9490;1312;237;8324;;0;;;5;;0;;0;;;;0;;;5;1;0;0;0;1;1;0;0;0;;;;;10867;7293;
MCO;2013;050000330;050007145;5;1209;69;0;1177;;;0;0;0;;;0;0;0;5;1209;69;0;1177;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;050000348;050002948;133;48545;8337;1092;43804;60;21900;4333;176;17540;33;12045;2467;322;9286;226;82490;15137;1590;70630;16;370;2;240;15836;14;2357;3;239;;;33;2966;2;240;15836;1;1;1;1;1;1;1;1;1;;2;5;140;205771;25474;
MCO;2013;050006436;050002948;43;13094;991;10;9471;0;;0;0;0;0;;0;0;0;43;13094;991;10;9471;1;138;0;0;288;0;0;0;0;0;0;1;138;0;0;288;1;1;1;1;1;1;1;1;1;;2;;8;616;1;
MCO;2013;060000163;060780327;4;408;50;4;389;;;0;0;0;;;0;0;0;4;408;50;4;389;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;060000304;060780657;5;1825;116;0;1555;0;;0;0;0;0;;0;0;0;5;1825;116;0;1555;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;060000411;060780780;6;2190;90;3;1571;;;0;0;0;;;0;0;0;6;2190;90;3;1571;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;060000478;060780897;158;57670;8903;633;48516;56;20440;3540;103;15939;46;16790;3381;82;14338;260;94900;15824;818;78793;22;395;;;2140;7;1897;3;423;;;32;2715;;;2140;1;1;1;1;1;1;1;1;1;;;;;86438;7934;2487
MCO;2013;060000486;060780905;12;3800;224;5;3643;;;0;0;0;;;0;0;0;12;3800;224;5;3643;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2013;060000494;060780921;5;1825;98;2;1499;;;0;0;0;;;0;0;0;5;1825;98;2;1499;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;060000510;060780954;229;70879;11937;1111;70366;72;26280;3851;178;20084;20;7300;1917;383;5715;321;104459;17705;1672;96165;15;612;;;1932;9;1909;;0;;;24;2521;;;1932;1;1;1;1;1;1;1;1;1;100;;40;60;76433;20337;398
MCO;2013;060000528;060780962;76;25187;4422;49;25187;42;8320;2161;136;8320;0;0;0;0;0;118;33507;6583;185;33507;44;1105;0;0;49990;3;579;0;0;0;0;47;1684;0;0;49990;1;1;0;1;0;0;1;0;0;;;;;49242;758;402
MCO;2013;060000536;060006889;8;2920;127;1;1810;;;0;0;0;;;0;0;0;8;2920;127;1;1810;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2013;060000544;060780988;230;79760;16455;4045;72640;93;32580;4778;133;25521;34;12410;3044;164;12388;357;124750;24277;4342;110549;41;2999;;;10589;17;1823;4;644;;;62;5466;;;10589;1;1;1;1;1;1;1;1;1;63;;23;;106979;115732;51111
MCO;2013;060001450;060785011;87;31637;8468;2850;23946;131;45372;10647;451;41721;;;0;0;0;218;77009;19115;3301;65667;1;12;;;1;10;2413;;0;;;11;2425;;;1;0;0;0;0;0;0;0;0;1;;;;56;75515;36238;55175
MCO;2013;060002102;060791761;55;20075;2326;215;18687;42;13770;1759;168;8751;0;0;0;0;0;97;33845;4085;383;27438;0;0;0;0;1;9;1814;0;99;0;0;9;1913;0;0;1;0;1;0;1;0;0;0;0;0;;;;;13112;4808;147
MCO;2013;060010949;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;521;;;4934;;0;;0;;;;521;;;4934;;;;;;;;;;;;;;;;
MCO;2013;060019288;060017019;0;12452;2940;370;9972;0;6182;1364;20;3723;;;0;0;0;0;18634;4304;390;13695;0;825;;;111;0;1177;;0;;;0;2002;;;111;1;;1;1;1;1;1;1;1;;;;;35554;5291;5945
MCO;2013;060021276;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;813;;;9421;;0;;0;;;;813;;;9421;;;;;;;;;;;;;;;;
MCO;2013;060021417;060000221;33;12045;655;16;6533;61;22265;3766;65;11317;1;365;2;0;2;95;34675;4423;81;17852;;0;;;74;44;11064;1;122;;;45;11186;;;74;;;;;;;;;;;;;;;;
MCO;2013;060021631;060017019;0;8507;764;236;7538;;;0;0;0;;;0;0;0;0;8507;764;236;7538;0;0;;;625;;0;;0;;;0;0;;;625;;;;;;;;;;;;;;2461;3059;0
MCO;2013;060022845;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;409;;;4176;;0;;0;;;;409;;;4176;;;;;;;;;;;;;;;;
MCO;2013;060780442;060000213;;;0;0;0;20;7300;2093;1;2797;;;0;0;0;20;7300;2093;1;2797;;0;;;5;10;3875;;0;;;10;3875;;;5;;;;;;;;;;;;;;;;
MCO;2013;060780491;060790797;56;20440;2675;12;18122;72;26280;3929;43;19470;;;0;0;0;128;46720;6604;55;37592;10;4823;;;0;23;4658;;0;;;33;9481;;;0;;;;;;;;;;;;;;2658;;
MCO;2013;060780517;060000239;38;13870;3021;925;11694;80;29200;4664;7;18721;34;12410;1840;30;7390;152;55480;9525;962;37805;9;1092;1;75;5584;21;12914;34;294;;;64;14300;1;75;5584;;;;;;;;;;;;;;;;
MCO;2013;060780590;060000270;0;0;0;0;0;54;19710;2530;48;9109;0;0;0;0;0;54;19710;2530;48;9109;0;0;0;0;14;10;4737;0;38;0;0;10;4775;0;0;14;;;;;;;;;;;;;;;;
MCO;2013;060780665;060000312;20;7300;621;2;6090;30;10950;948;8;3734;;;0;0;0;50;18250;1569;10;9824;0;0;;;0;13;3260;;0;;;13;3260;;;0;;;;;;;;;;;;;;;;
MCO;2013;060780699;060000346;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;2;0;;;0;5;2086;1;0;;;8;2086;;;0;;;;;;;;;;;;;;;;
MCO;2013;060780715;060000361;66;24090;6237;41;29561;171;62415;8351;338;34586;34;12410;1901;25;8413;271;98915;16489;404;72560;49;2475;;;9320;50;16179;;0;;;99;18654;;;9320;;;;;;;;;;;;;;;;
MCO;2013;060780723;060004959;16;5840;2407;3;9567;71;25915;3335;8;11981;;;0;0;0;87;31755;5742;11;21548;18;1147;;;5028;31;8834;;0;;;49;9981;;;5028;;;;;;;;;;;;;;;;
MCO;2013;060780756;060000403;2;730;29;0;513;40;14600;2419;0;6916;53;19345;2708;89;11880;95;34675;5156;89;19309;;0;;;0;5;5864;3;158;;;8;6022;;;0;;;;;;;;;;;;;;;;
MCO;2013;060780947;060800174;72;12678;2946;401;8742;38;6308;1351;67;3510;;;0;0;0;110;18986;4297;468;12252;6;650;;;125;6;1013;;0;;;12;1663;;;125;1;0;1;0;1;1;1;1;1;;;;;34401;4865;5806
MCO;2013;060781200;060000635;36;13140;2217;7;12851;61;22265;2397;1;8916;0;;171;170;2;97;35405;4785;178;21769;;0;;;107;19;6222;;0;;;19;6222;;;107;;;;;;;;;;;;;;;;
MCO;2013;060785003;060785011;164;58620;8675;196;54602;69;24438;2533;143;15203;;;0;0;0;233;83058;11208;339;69805;38;4086;;;24200;4;2214;;0;;;42;6300;;;24200;1;0;0;0;1;0;1;0;0;;91;;;64556;36909;1569
MCO;2013;060785219;060001468;124;45260;4411;46;34070;;;0;0;0;;;0;0;0;124;45260;4411;46;34070;20;94;;;7818;;0;;0;;;20;94;;;7818;;;;;;;;;;;;;;;;
MCO;2013;060788957;060785011;50;18250;2103;7;18304;;;0;0;0;;;0;0;0;50;18250;2103;7;18304;4;2396;;;45;;0;;0;;;4;2396;;;45;0;0;0;0;0;0;0;0;0;;;;;5300;1165;1599
MCO;2013;060789195;060785011;382;123347;13764;247;103759;133;45452;6386;155;34940;63;22995;4614;386;19578;578;191794;24764;788;158277;63;6871;1;156;15541;8;967;11;1944;;;82;9782;1;156;15541;1;1;1;1;0;1;;0;0;92;;;;143312;46926;1347
MCO;2013;060791811;750826638;91;33215;2319;15;27130;;;0;0;0;;;0;0;0;91;33215;2319;15;27130;4;901;;;139;;0;;0;;;4;901;;;139;1;1;1;1;1;0;1;0;1;;;;;1450;630;
MCO;2013;060791860;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;4131;;;25849;;0;;0;;;;4131;;;25849;;;;;;;;;;;;;;;;
MCO;2013;060792850;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;14;;;152;;0;;0;;;;14;;;152;;;;;;;;;;;;;;;;
MCO;2013;060792900;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;275;;;2949;;0;;0;;;;275;;;2949;;;;;;;;;;;;;;;;
MCO;2013;060792926;060022951;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;19;1082;;;10386;0;0;0;0;;;19;1082;;;10386;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;060794013;060790797;44;16060;2507;19;16756;24;8760;1991;459;4339;0;;0;0;0;68;24820;4498;478;21095;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;0;0;;;;;12927;;
MCO;2013;060800166;060780608;1;365;596;3;4640;97;35405;4029;20;17711;;;0;0;0;98;35770;4625;23;22351;;0;;;0;25;10381;;0;;;25;10381;;;0;;;;;;;;;;;;;;;;
MCO;2013;070000013;070002878;73;26645;2488;133;22426;34;12410;1486;1;9149;9;3285;311;0;1236;116;42340;4285;134;32811;7;643;0;;827;6;780;1;140;0;;14;1563;0;;827;1;0;1;1;1;0;1;1;1;;;;;23764;7615;0
MCO;2013;070000021;070780101;15;5475;222;0;2932;;;0;0;0;;;0;0;0;15;5475;222;0;2932;0;4;;;0;;0;;0;;;0;4;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;070000039;070780119;16;5840;256;0;2971;;;0;0;0;;;0;0;0;16;5840;256;0;2971;0;6;;;0;;0;;0;;;0;6;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;070000047;070780127;7;1693;146;0;1654;;;0;0;0;;;0;0;0;7;1693;146;0;1654;0;10;;;0;;0;;0;;;0;10;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;070000062;070005558;8;2920;130;0;2521;;;0;0;0;;;0;0;0;8;2920;130;0;2521;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2013;070000070;070780150;20;5057;393;44;5133;;;0;0;0;;;0;0;0;20;5057;393;44;5133;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;070000096;070780184;8;2920;490;281;2689;;;0;0;0;;;0;0;0;8;2920;490;281;2689;6;0;;;0;;0;;0;;;6;0;;;0;0;0;1;1;1;0;0;0;0;;;;;1431;100;
MCO;2013;070000112;070780218;15;5475;287;0;4109;;;0;0;0;;;0;0;0;15;5475;287;0;4109;15;21;;;0;;0;;0;;;15;21;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;070000146;070004742;8;2920;135;0;1327;;;0;0;0;;;0;0;0;8;2920;135;0;1327;1;1;;;0;;0;;0;;;1;1;;;0;;;;;;;;;;;;;;;;
MCO;2013;070000179;070780358;142;51830;8767;933;47870;45;16425;2321;271;13084;24;8760;1106;116;4198;211;77015;12194;1320;65152;10;1120;;;12946;10;2435;0;112;0;0;20;3667;0;0;12946;1;0;0;1;0;1;1;0;1;;;0;;63969;49556;
MCO;2013;070000187;070780366;12;4380;338;18;3261;0;0;0;0;0;0;0;0;0;0;12;4380;338;18;3261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2013;070000195;070780374;30;10950;927;5;9672;0;0;0;0;0;6;2190;458;1;1892;36;13140;1385;6;11564;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;0;0;0;0;;;;;;;
MCO;2013;070000203;070780382;11;4015;190;0;2711;0;0;0;0;0;0;0;0;0;0;11;4015;190;0;2711;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2013;070000484;070005566;10;3650;677;0;3990;;;0;0;0;;;0;0;0;10;3650;677;0;3990;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;070000609;070005566;139;50735;6332;217;37720;34;12410;2284;116;10505;17;6205;1042;64;3874;190;69350;9658;397;52099;10;531;0;;2659;7;1559;1;282;0;;18;2372;0;;2659;1;0;0;1;1;1;1;1;1;;;;;99058;427;467
MCO;2013;070780168;070000088;0;;37;0;420;59;21535;2061;24;6932;;;0;0;0;59;21535;2098;24;7352;;0;;;5;6;3743;;0;;;6;3743;;;5;;;;;;;;;;;;;;;;
MCO;2013;070780408;070000229;2;686;79;0;737;50;17150;1113;35;4387;;;0;0;0;52;17836;1192;35;5124;0;0;;;9;3;1988;;0;;;3;1988;;;9;;;;;;;;;;;;;;;;
MCO;2013;070780424;070000245;4;1460;1338;124;7425;186;67890;8811;358;43662;26;9490;1566;52;6094;216;78840;11715;534;57181;1;113;;;9;20;5333;;0;;;21;5446;;;9;;;;;;;;;;;;;;;;
MCO;2013;080000110;080000037;109;39785;6483;939;34821;54;19710;1799;236;7123;25;9125;1445;133;4975;188;68620;9727;1308;46919;11;2345;;;206;;0;;0;;;11;2345;;;206;1;0;0;1;0;1;1;0;1;;;23;5;55640;7921;134
MCO;2013;080000219;080001969;40;14600;2951;1236;13803;25;9125;2387;1142;5852;;;20;19;1;65;23725;5358;2397;19656;0;0;;;7;8;0;;0;;;8;0;;;7;1;1;0;1;0;0;1;1;1;;;;;10751;10837;14
MCO;2013;080000276;080001969;23;8395;1580;583;7538;;;0;0;0;;;0;0;0;23;8395;1580;583;7538;1;0;;;18;;0;;0;;;1;0;;;18;0;0;0;1;0;0;1;0;0;;;;;4555;6556;0
MCO;2013;080000284;080000060;15;5475;326;8;4155;;;0;0;0;;;0;0;0;15;5475;326;8;4155;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;1;0;0;;;;;2366;10206;
MCO;2013;080000300;080000078;8;2774;173;1;2705;;;0;0;0;;;0;0;0;8;2774;173;1;2705;0;0;0;0;0;;0;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2013;080000425;080000615;316;112485;14387;1800;94721;86;27922;4099;109;21142;59;17406;2891;172;10733;461;157813;21377;2081;126596;59;3908;;;15837;15;1679;4;1952;;;78;7539;;;15837;1;1;1;1;1;1;1;1;0;72;14;58;;64780;18540;926
MCO;2013;080010267;080010242;0;2585;0;0;0;0;0;0;0;0;;;0;0;0;0;2585;0;0;0;9;5;;;1928;0;0;;0;;;9;5;;;1928;0;0;0;0;0;0;0;0;0;;;;;0;;
MCO;2013;080010465;080010242;;;0;0;0;4;1460;105;0;938;;;0;0;0;4;1460;105;0;938;;0;;;0;7;348;;0;;;7;348;;;0;0;0;0;0;0;0;0;0;0;;;;;18;;
MCO;2013;080010473;080010242;17;6205;694;5;5867;59;20650;2416;5;12410;;;0;0;0;76;26855;3110;10;18277;10;2768;;;203;15;3997;;0;;;25;6765;;;203;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;090000175;090781774;162;58419;8376;912;49636;63;22995;3496;405;17180;33;11315;2752;733;8672;258;92729;14624;2050;75488;20;1443;0;0;9808;11;2516;0;0;0;0;31;3959;0;0;9808;1;0;1;1;1;1;1;1;1;15;15;;120;69965;8243;
