BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJHP;JOUHP
SSR;2013;020000246;020000071;SSR_A;;33;;;260;8189;;
SSR;2013;020000246;020000071;SSR_A50;1;33;;0;260;8189;;
SSR;2013;020000246;020000071;SSR_TOT;0;33;;0;260;8189;;
SSR;2013;020000303;750814030;SSR_A;;357;11;;4113;119885;4706;4706
SSR;2013;020000303;750814030;SSR_A50;1;8;;0;152;3939;;
SSR;2013;020000303;750814030;SSR_A51;1;176;6;;1753;57639;2413;2413
SSR;2013;020000303;750814030;SSR_A52;1;23;5;0;204;7648;2293;2293
SSR;2013;020000303;750814030;SSR_A53;1;12;;0;64;2450;;
SSR;2013;020000303;750814030;SSR_A54;1;27;;0;709;9333;;
SSR;2013;020000303;750814030;SSR_A55;1;30;;0;305;10650;;
SSR;2013;020000303;750814030;SSR_A59;1;81;;0;926;28226;;
SSR;2013;020000303;750814030;SSR_TOT;0;357;11;0;4113;119885;4706;4706
SSR;2013;020000519;020000261;SSR_A;;60;;;791;18722;;
SSR;2013;020000519;020000261;SSR_A50;1;60;;0;791;18722;;
SSR;2013;020000519;020000261;SSR_TOT;0;60;;0;791;18722;;
SSR;2013;020000535;020000287;SSR_A;;38;0;;410;11628;;
SSR;2013;020000535;020000287;SSR_A50;1;38;0;1;410;11628;;
SSR;2013;020000535;020000287;SSR_A54;1;;;1;;;;
SSR;2013;020000535;020000287;SSR_A59;1;;;1;;;;
SSR;2013;020000535;020000287;SSR_TOT;0;38;0;0;410;11628;;
SSR;2013;020000915;020003620;SSR_A;;184;16;;1714;58597;371;7625
SSR;2013;020000915;020003620;SSR_A50;1;20;2;0;73;2931;19;414
SSR;2013;020000915;020003620;SSR_A51;1;72;7;;1002;31335;192;5698
SSR;2013;020000915;020003620;SSR_A52;1;80;7;0;506;22369;146;1499
SSR;2013;020000915;020003620;SSR_A55;1;7;;0;133;1962;14;14
SSR;2013;020000915;020003620;SSR_A59;1;5;;0;;;;
SSR;2013;020000915;020003620;SSR_TOT;0;184;16;0;1714;58597;371;7625
SSR;2013;020001087;020004495;SSR_A;;30;;;304;9107;;
SSR;2013;020001087;020004495;SSR_A50;1;30;;0;304;9107;;
SSR;2013;020001087;020004495;SSR_A58;1;;;0;;;;
SSR;2013;020001087;020004495;SSR_TOT;0;30;;0;304;9107;;
SSR;2013;020003877;020000253;SSR_A;;70;8;;562;20985;68;1130
SSR;2013;020003877;020000253;SSR_A50;1;;;0;;;;
SSR;2013;020003877;020000253;SSR_A53;1;;8;0;;;68;1130
SSR;2013;020003877;020000253;SSR_A59;1;70;;0;562;20985;;
SSR;2013;020003877;020000253;SSR_TOT;0;70;8;0;562;20985;68;1130
SSR;2013;020010310;750719361;SSR_A;;14;;;57;3559;;
SSR;2013;020010310;750719361;SSR_A50;1;;;0;;;;
SSR;2013;020010310;750719361;SSR_A58;1;14;;0;57;3559;;
SSR;2013;020010310;750719361;SSR_TOT;0;14;;0;57;3559;;
SSR;2013;030000012;030180020;SSR_A;;59;10;;644;16200;196;2922
SSR;2013;030000012;030180020;SSR_A50;1;59;10;0;644;16200;196;2922
SSR;2013;030000012;030180020;SSR_A51;1;;;;;;;
SSR;2013;030000012;030180020;SSR_A52;1;;;0;;;;
SSR;2013;030000012;030180020;SSR_TOT;0;59;10;0;644;16200;196;2922
SSR;2013;030000061;030780092;SSR_A;;40;7;;395;13233;81;1353
SSR;2013;030000061;030780092;SSR_A50;1;20;;0;68;2278;1;29
SSR;2013;030000061;030780092;SSR_A51;1;;;;151;5059;;
SSR;2013;030000061;030780092;SSR_A59;1;20;7;0;176;5896;80;1324
SSR;2013;030000061;030780092;SSR_TOT;0;40;7;0;395;13233;81;1353
SSR;2013;030000079;030780100;SSR_A;;30;;;462;11196;;
SSR;2013;030000079;030780100;SSR_A59;1;30;;0;462;11196;;
SSR;2013;030000079;030780100;SSR_TOT;0;30;;0;462;11196;;
SSR;2013;030000087;030780118;SSR_A;;92;5;;876;27651;213;1938
SSR;2013;030000087;030780118;SSR_A50;1;37;5;0;323;7961;213;1938
SSR;2013;030000087;030780118;SSR_A59;1;55;;0;553;19690;;
SSR;2013;030000087;030780118;SSR_TOT;0;92;5;0;876;27651;213;1938
