BOR;AN;FI;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2013;140000258;140000415;N9999;10;4;10.7;
HAD_P;2013;140000258;140000415;NAUT;;1;0.3;
HAD_P;2013;140000258;140000415;M9999;;3;1.6;
HAD_P;2013;140000373;140000159;M9999;;1;0.4;
HAD_P;2013;140000373;140000159;Mcoor;;1;0.4;
HAD_P;2013;140000373;140000159;N2120;;1;0.07;
HAD_P;2013;140000373;140000159;N2210;8;2;8.97;
HAD_P;2013;140000373;140000159;N2510;7;;7;
HAD_P;2013;140000373;140000159;N2710;;1;0.3;
HAD_P;2013;140000373;140000159;N9999;16;4;16.74;
HAD_P;2013;140000373;140000159;NAUT;1;;0.4;
HAD_P;2013;140000373;140000159;M9999;;1;0.4;
HAD_P;2013;140002619;750721334;M9999;;2;0.63;
HAD_P;2013;140002619;750721334;Mcoor;;2;0.63;
HAD_P;2013;140002619;750721334;N2120;1;1;1.8;
HAD_P;2013;140002619;750721334;N2210;2;2;3.8;
HAD_P;2013;140002619;750721334;N2510;6;10;13.43;
HAD_P;2013;140002619;750721334;N3120;;1;0.6;
HAD_P;2013;140002619;750721334;N9999;13;14;23.63;
HAD_P;2013;140002619;750721334;Ncoor;4;;4;
HAD_P;2013;140002619;750721334;M9999;;2;0.63;
HAD_P;2013;140016155;140027426;M3050;;1;0.1;31
HAD_P;2013;140016155;140027426;M9999;;3;0.85;31
HAD_P;2013;140016155;140027426;Mcoor;;2;0.75;
HAD_P;2013;140016155;140027426;N2120;;1;0.7;
HAD_P;2013;140016155;140027426;N2210;;;;89
HAD_P;2013;140016155;140027426;N2410;;;;26
HAD_P;2013;140016155;140027426;N2510;7;9;13.15;
HAD_P;2013;140016155;140027426;N2710;;2;1;
HAD_P;2013;140016155;140027426;N3120;1;;1;
HAD_P;2013;140016155;140027426;N9999;12;13;20.15;115
HAD_P;2013;140016155;140027426;NAUT;;1;0.3;
HAD_P;2013;140016155;140027426;Ncoor;4;;4;
HAD_P;2013;140016155;140027426;M9999;;3;0.85;31
HAD_P;2013;150000040;150780096;M9999;1;;0.3;
HAD_P;2013;150000040;150780096;Mcoor;1;;0.3;
HAD_P;2013;150000040;150780096;N2120;1;1;0.55;
HAD_P;2013;150000040;150780096;N2210;5;;5;
HAD_P;2013;150000040;150780096;N2510;2;;2.08;
HAD_P;2013;150000040;150780096;N9999;8;2;7.73;
HAD_P;2013;150000040;150780096;NAUT;;1;0.1;
HAD_P;2013;150000040;150780096;M9999;1;;0.3;
HAD_P;2013;160002036;160009908;M3050;0;0;0;153
HAD_P;2013;160002036;160009908;M9999;2;1;2.5;164
HAD_P;2013;160002036;160009908;MAUT;1;0;1;11
