BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_A5;CANCERO_A6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2013;020000535;020000287;1;0;1;1528;1428;931;1;;;;1328;;1269;;149;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1364;0;0;0;0;0;0;0;0;0;0;;;;;;;3;1;;;;1;1;;;1;1.73;1.65;;;0.2
CANCERO;2013;020010047;020001632;1;0;1;4273;3848;3271;1;;;;3902;0;3825;0;408;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;0;3784;0;0;0;0;0;0;0;0;0;0;1;;1;;1.6;;5;1;1;1;;;;;;;4;1;1;1;
CANCERO;2013;030000061;030780092;1;1;1;12148;11409;18779;1;;;;2981;0;2541;0;344;0;0;0;2;1;0;426;8604;912;0;0;425;0;2;4;6;;1;0;;;4;;;2;3;8.43;;1;;8;;;;2541;;;;;;;;;;;2;;;;1.67;;5;3;0;1;0;4;1;0;0;2;9.2;3.8;;1;1.3
CANCERO;2013;030000079;030780100;1;0;1;2374;1883;4368;1;;;;1962;;1784;;241;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;9;;;508;2239;0;0;0;0;0;0;3895;0;0;0;1;1;;1;1;1.18;12;8;;;9;1;;;;;13.05;9.96;;;4.45
CANCERO;2013;030000087;030780118;1;0;1;3724;3192;3948;1;;;;3472;7;3162;11;428;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;4396;0;0;0;0;0;0;0;0;0;0;2;;0;;2;;7;9;0;0;3;5;0;1;0;3;10.34;9;0.5;0;5.45
CANCERO;2013;030001689;030005821;0;1;0;0;0;0;0;;;;;;;;;;;;2;0;0;690;14049;1390;;;614;;2;2;4;1;3;;1;;2;;;2.4;2;5.8;0.8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;030780548;030000194;0;0;0;258;45;1686;0;430000117;;;53;0;0;0;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;030781116;030000426;1;0;1;7370;6458;10376;1;;;;4219;0;6204;0;552;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;0;2561;0;0;0;0;0;0;0;0;0;0;3;1;;1;3;1.5;12;10;;;1;;1;;;;12;10.22;;;1
CANCERO;2013;030785430;030785422;1;1;1;1814;1559;2593;1;;;;1619;0;1507;0;139;0;0;0;;;;0;0;6;0;0;4;0;;;;;;0;;;;;;;;;;;;;;;0;1806;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;040000093;040780215;1;0;1;3881;3721;1781;1;;;;3750;;3698;;343;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;4344;0;0;0;0;0;0;0;0;0;0;;;3;;2.1;;1;;;;1;4;;1;;;3.9;;0.1;;1
CANCERO;2013;040000911;040788879;1;0;0;1145;1075;692;1;;;;1088;;1039;;141;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;040780470;040000192;0;0;0;177;122;275;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;050000231;050000116;1;0;0;950;823;794;0;050000348;130784127;380780080;866;;780;;136;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;050000348;050002948;1;1;0;9526;8914;17578;1;130001647;;;2844;0;2546;0;420;0;0;0;2;0;0;273;6059;45;0;0;262;0;2;2;2;;5;0;;;7;;1;2;2;6.5;;3.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;050006436;050002948;1;1;0;407;325;591;0;050002948;;;395;0;286;0;88;0;0;0;2;0;;0;0;18;0;0;9;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;050007368;050007343;1;0;0;2;0;51;0;050002948;;;0;2;0;2;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060000478;060780897;1;0;1;2465;2014;3441;1;;;;2024;1;1958;2;275;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;1854;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.83;0;3;1;0;0;0;2;0;0;0;0;3.7;0.5;0;0;0
CANCERO;2013;060000510;060780954;1;0;0;1710;1395;2978;1;;;;1534;;1362;;216;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060000528;060780962;1;1;1;53178;49474;86459;1;;;;16149;0;13894;0;2114;0;0;0;3;;4;2192;30394;503;299;267;1984;308;7;8;26;3;12;6;4;1;3;;1;8.47;8.78;25.83;2.06;12.91;76;44;42;3;4173;15630;2200;135;1;0;1;1;20129;8224;2;3;3;52;2;17;3.1;30.53;177;111;1;2;71;18;4;1;;15;151;88.92;1.95;2;61.19
CANCERO;2013;060000544;060780988;1;0;1;2881;2174;5409;1;;;;2583;7;2124;10;332;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;2864;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;4;2;;;1;1;0;;;;2.73;1.12;;;1
CANCERO;2013;060001450;060785011;1;0;0;580;208;1390;1;;;;25;0;0;0;25;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060019627;060019551;0;1;0;41754;41754;41754;0;060785219;;;;;;;;;;;3;0;0;1837;41754;0;0;0;1837;0;4;4;15;2;5;0;1;0;0;0;0;3.34;4;15;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060021342;060003621;0;1;0;989;989;260;0;;;;;;;;;;;;2;0;0;18842;18842;0;0;0;930;0;2;1;9;1;4;0;2;2;0;1;2;3.25;2.6;9;1.5;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060021417;060000221;1;0;0;452;227;1815;0;060019551;;;48;0;0;0;40;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060021631;060017019;1;0;1;478;334;781;1;;;;399;0;234;0;1;0;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;637;0;0;0;628;0;0;0;0;0;0;0;;0;;2.2;;0;0;0;0;0;0;0;0;0;0;13.21;7;0.75;0.12;6.27
CANCERO;2013;060780442;060000213;0;0;0;260;176;173;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060780491;060790797;0;0;0;852;328;4493;;;;;18;0;0;0;17;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060780517;060000239;1;0;1;6456;5911;4974;1;;;;4239;0;5548;0;561;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;0;3046;0;0;0;0;0;0;0;0;0;0;3;;2;;3.2;;;;;;;;;;;;;;;;
CANCERO;2013;060780590;060000270;0;0;0;195;94;661;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060780665;060000312;0;0;0;203;179;89;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060780715;060000361;1;0;1;10551;9602;39583;1;;;;9225;0;9154;0;686;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;9154;;;;0;;;;;;;1;;3;;1.6;;4;;1;;5;1;;;1;;4.3;;1;0.4;5
CANCERO;2013;060780723;060004959;1;0;1;5717;5272;4457;1;;;;3598;0;5028;0;329;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;0;0;0;2370;0;0;0;0;0;0;0;0;0;0;1;;1;;1.1;;4;;;;1;0;;1;1;1;4;;0.74;0.2;1.57
CANCERO;2013;060780756;060000403;0;0;0;373;93;1561;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060781200;060000635;1;0;0;366;181;881;0;060780715;;;93;0;91;0;24;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060785003;060785011;1;0;0;1016;293;6000;1;;;;463;0;298;0;175;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060785219;060001468;1;0;1;7792;7667;2519;1;;;;7748;0;7667;0;943;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;;192;7701;0;0;0;0;0;0;1475;0;0;0;1;;7;;2;;16;13;2;1;2;;;;;;9.94;5.63;0.5;0.2;1.5
CANCERO;2013;060789195;060785011;1;0;1;9515;7309;20223;1;;;;8115;0;6643;0;954;0;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;589;64;0;0;0;0;0;0;4691;0;0;0;2;;1;;1.6;;;;;;;;;;;;;;;;
CANCERO;2013;060791811;750826638;1;0;0;0;0;0;0;060000528;;;;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;060800166;060780608;0;0;0;1231;243;6749;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;070000013;070002878;1;0;0;870;512;2223;0;260000047;;;656;;469;;103;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;070000179;070780358;1;0;0;1376;1047;3843;1;;;;1201;;1024;;165;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;070000609;070005566;1;0;1;2306;2097;2227;1;;;;2229;8;2089;20;273;7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;19;10;;;631;2782;0;0;0;0;0;0;5349;0;0;0;3;3;0;1;2.08;2.99;21;15;0;0;2;7;3;2;0;0;18.88;16.66;0.5;0;0.83
CANCERO;2013;070780168;070000088;0;0;0;318;108;1245;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;070780408;070000229;0;0;0;191;78;820;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;070780424;070000245;1;0;0;1037;160;6502;0;260006267;;;11;0;0;0;11;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;080000110;080000037;1;0;0;182;81;774;0;080000615;080010523;;104;;75;;19;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;080000425;080000615;1;0;0;2437;1724;4691;1;;;;1942;0;1617;0;286;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;080009392;510007081;0;1;0;0;0;234;0;;;;;;;;;;;;1;0;0;;8349;927;0;0;485;0;2;1;5;;3;0;;1;0;1;1;2;1.6;5;0.5;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;080010267;080010242;1;0;1;1923;1923;0;1;;;;1923;0;1923;0;264;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1933;0;0;0;0;0;0;0;0;0;0;2;;;1;2;0.8;2;;;;;;;;;;2;;;;
CANCERO;2013;080010473;080010242;1;0;1;516;205;3086;1;;;;257;0;130;0;96;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;1;;;403;2;0;0;0;0;0;0;4490;0;0;0;2;;;1;2;0.8;8;4;;;;;5;1;1;;8;8;0.5;0.25;
CANCERO;2013;090000175;090781774;1;0;1;2807;2399;3789;1;;;;2564;35;2361;35;326;6;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;090000183;090781816;1;0;0;372;334;361;0;090000175;;;331;;320;;39;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;100000090;100000017;1;1;1;18252;17004;8511;1;;;;7898;0;7096;0;853;0;16;0;1;1;0;466;9295;179;0;0;474;0;3;3;7;;3;0;;;2;;2;1.35;2.8;8.48;;4.03;17;9;;;807;3272;0;0;0;0;0;0;4950;0;0;0;;5;;;;1.9;12;10;;;2;2;;1;;;14.12;10.58;0.26;;2
CANCERO;2013;100000124;100009075;0;0;0;311;18;2055;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;100002351;100000561;1;0;1;5719;5309;3274;0;100000017;510000185;;1519;0;5093;0;185;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1364;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;100009364;100000017;1;0;0;16;0;300;1;;;;7;0;0;0;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;110000023;110780061;1;1;1;15339;14735;5083;1;;;;3906;;3480;;553;;7;;2;0;0;722;10485;111;0;0;513;0;2;3;10;1;2;0;1;2;;;3;1.93;2.26;9.23;1;2.86;16;16;;;760;3654;0;0;0;0;0;0;3512;0;0;0;3;;;;2.51;;18;12;1;1;3;;4;;;1;17.27;15.03;0.2;0.2;3.03
CANCERO;2013;110000056;110780137;1;0;0;1038;806;2198;1;;;;896;;797;;114;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;110780210;110000114;1;0;0;546;389;3061;1;;;;189;0;;0;90;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;110780228;110000114;1;0;1;7707;7112;11456;1;;;;5018;0;6930;0;589;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;3574;0;0;0;0;0;0;0;0;0;0;2;;;2;1;1;4;1;;;;4;;;1;;5.61;1;;0.1;
CANCERO;2013;110780483;110000155;1;0;1;2058;1625;2530;1;;;;1342;0;1337;0;185;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;1337;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;2;;;;;1.73;0.03;;;
CANCERO;2013;120000039;120780044;1;1;0;19924;19383;4423;1;;;;5195;;4970;;577;;10;;2;;0;698;13707;86;0;0;674;5;2;3;14;;3;0;6;;6;;3;2;3;18.81;;6.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;120000054;120780069;1;0;0;1122;859;2073;1;;;;882;0;826;0;110;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;120004569;120004528;1;0;1;857;651;1323;1;;;;698;0;649;0;91;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;0.05;1;;;;;1;;;;;1.22;;;;
CANCERO;2013;130000409;130041916;1;0;0;6863;5862;8162;1;;;;6090;0;5787;0;749;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130000565;130781446;1;0;0;415;369;278;1;;;;340;22;318;37;58;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130001225;130782634;1;0;0;2355;2156;2036;1;;;;2203;;2129;;243;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130001647;130784127;1;1;1;61658;54619;110080;1;;;;27351;1384;22604;1417;3689;226;0;0;3;0;2;1446;28831;331;360;184;1342;314;4;5;19;3;11;0;3;;;;1;6;5;16.92;3;8.25;175;48;56;15;9569;26210;2953;3800;0;6;0;4;49029;14983;0;0;15;38;5;10;16.48;38.8;226;86;4;7;69;15;2;;1;11;223.93;83.68;4;5.96;68.34
CANCERO;2013;130002827;130789274;1;0;0;1660;1349;3015;1;;;;1387;;1254;;170;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130002835;130789316;1;0;0;1731;1203;3391;1;;;;1448;;1134;;183;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130008253;130001084;0;0;0;166;101;259;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130034580;130034572;0;1;0;0;0;0;0;;;;;;;;;;;;2;0;;1492;28393;;;;1254;;3;2;8;1;7;0;;1;2;1;1;3;2.9;9.4;1.5;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130037922;130037823;1;0;0;347;127;2215;0;130784051;;;25;0;20;0;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130043664;130002157;1;0;0;1494;1069;3765;1;;;;1094;0;1015;0;255;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130780521;130786049;1;1;1;23552;20341;47848;1;;;;6403;0;4829;0;919;0;1;0;1;1;;842;14520;207;0;0;697;0;;4;16;;43;9;;0;3;;5;;3.49;17.37;;45.2;51;12;0;0;3135;3677;0;0;2;0;0;0;12533;0;18;0;9;;;;5;;15;5;1;;42;2;2;;;4;16.84;6.95;1;;41.27
CANCERO;2013;130781289;130002447;1;0;1;9356;8933;3843;1;;;;9047;0;8798;0;742;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;24;22;;;590;8808;0;0;0;0;0;0;7266;0;0;0;2;;;;2;;8;;;;;1;;1;;;8.65;;0.23;;
CANCERO;2013;130781370;130000532;0;0;0;1041;688;1986;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130781479;130000599;1;0;1;4107;3559;4713;1;;;;2600;0;3442;0;350;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;2007;0;0;0;0;0;0;0;0;0;0;;;3;2;2.8;1;4;;;;2;;;;;;4;;;;2
CANCERO;2013;130782071;130002454;0;0;0;276;121;1244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130782147;130000979;1;0;0;243;21;2073;0;130784051;;;31;0;0;0;31;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130782162;130000987;0;0;0;162;48;701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130782675;130001233;0;0;0;377;172;1191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130783152;130001365;1;0;0;8;1;72;0;130001365;;;8;0;0;0;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130783236;130786049;1;1;0;3821;2066;14099;1;;;;2336;20;1907;22;429;11;1;0;1;0;1;0;0;19;0;8;17;6;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2013;130783293;130786049;1;1;1;32681;28457;24672;1;;;;9719;;6905;;1448;;2;;3;1;1;1003;19539;1596;0;692;1866;656;;5;30;;115;46;;0;0;;31;;4.7;29.57;;123.7;70;24;0;0;4012;8493;0;0;5;1;0;0;18265;0;49;0;;;;;;;56;30;4;;60;21;2;2;;6;61.17;27.6;4.66;;64.53
