BOR;AN;FI;FI_EJ;EQUIPSSR;EQPL;EQAU
SSR2;2013;060005469;750043994;EXPEQU;;1
SSR2;2013;060005469;750043994;EXPURO;;1
SSR2;2013;060005469;750043994;IDRACH;;1
SSR2;2013;060005469;750043994;ISOCIN;;1
SSR2;2013;060005469;750043994;LABMAR;;1
SSR2;2013;060005469;750043994;PISCIN;;1
SSR2;2013;060005469;750043994;SALINT;;1
SSR2;2013;060005469;750043994;SIMESP;;1
SSR2;2013;060005469;750043994;STICON;;1
SSR2;2013;060005469;750043994;VEHADP;1;
SSR2;2013;060021201;060000155;APTAUT;;1
SSR2;2013;060021201;060000155;ASSMAR;;1
SSR2;2013;060021201;060000155;ASSMEM;1;
SSR2;2013;060021201;060000155;EXPEQU;;1
SSR2;2013;060021201;060000155;EXPURO;;1
SSR2;2013;060021201;060000155;IDRACH;;1
SSR2;2013;060021201;060000155;ISOCIN;;1
SSR2;2013;060021201;060000155;LABMAR;;1
SSR2;2013;060021201;060000155;PISCIN;1;
SSR2;2013;060021201;060000155;SALINT;;1
SSR2;2013;060021201;060000155;SIMESP;;1
SSR2;2013;060021201;060000155;STICON;;1
SSR2;2013;060021201;060000155;VEHADP;;1
SSR2;2013;060780277;750043994;APTAUT;;1
SSR2;2013;060780277;750043994;ASSMAR;;1
SSR2;2013;060780277;750043994;ASSMEM;;1
SSR2;2013;060780277;750043994;EXPEQU;;1
SSR2;2013;060780277;750043994;EXPURO;;1
SSR2;2013;060780277;750043994;IDRACH;;1
SSR2;2013;060780277;750043994;ISOCIN;;1
SSR2;2013;060780277;750043994;LABMAR;;1
SSR2;2013;060780277;750043994;PISCIN;;1
SSR2;2013;060780277;750043994;SALINT;;1
SSR2;2013;060780277;750043994;SIMESP;;1
SSR2;2013;060780277;750043994;STICON;;1
SSR2;2013;060780277;750043994;VEHADP;1;
SSR2;2013;060780343;060000171;ASSMEM;1;
SSR2;2013;060780343;060000171;PISCIN;1;
SSR2;2013;060780459;010783009;EXPEQU;1;
SSR2;2013;060780459;010783009;PISCIN;1;
SSR2;2013;060780459;010783009;SIMESP;1;
SSR2;2013;060780558;750720575;PISCIN;1;
SSR2;2013;060780665;060000312;APTAUT;;1
SSR2;2013;060780665;060000312;ASSMAR;;1
SSR2;2013;060780665;060000312;ASSMEM;;1
SSR2;2013;060780665;060000312;EXPEQU;;1
SSR2;2013;060780665;060000312;EXPURO;;1
SSR2;2013;060780665;060000312;IDRACH;;1
SSR2;2013;060780665;060000312;ISOCIN;;1
SSR2;2013;060780665;060000312;LABMAR;;1
SSR2;2013;060780665;060000312;PISCIN;;1
SSR2;2013;060780665;060000312;SALINT;1;
SSR2;2013;060780665;060000312;SIMESP;;1
SSR2;2013;060780665;060000312;STICON;;1
SSR2;2013;060780665;060000312;VEHADP;;1
SSR2;2013;060780749;060000395;APTAUT;;1
SSR2;2013;060780749;060000395;ASSMAR;;1
SSR2;2013;060780749;060000395;ASSMEM;;1
SSR2;2013;060780749;060000395;EXPEQU;;1
SSR2;2013;060780749;060000395;EXPURO;;1
SSR2;2013;060780749;060000395;IDRACH;;1
SSR2;2013;060780749;060000395;ISOCIN;;1
SSR2;2013;060780749;060000395;LABMAR;;1
SSR2;2013;060780749;060000395;PISCIN;;1
SSR2;2013;060780749;060000395;SALINT;;1
SSR2;2013;060780749;060000395;SIMESP;;1
SSR2;2013;060780749;060000395;STICON;;1
SSR2;2013;060780749;060000395;VEHADP;;1
SSR2;2013;060781374;060000718;EXPEQU;1;
SSR2;2013;060781374;060000718;LABMAR;1;
SSR2;2013;060781374;060000718;PISCIN;1;
SSR2;2013;060781374;060000718;SALINT;;1
SSR2;2013;060785227;060001476;PISCIN;;1
SSR2;2013;060788957;060785011;EXPEQU;1;
SSR2;2013;060788957;060785011;EXPURO;1;
SSR2;2013;060789195;060785011;ASSMAR;1;
SSR2;2013;060789195;060785011;EXPEQU;1;
SSR2;2013;060789195;060785011;ISOCIN;1;
SSR2;2013;060789195;060785011;LABMAR;;1
SSR2;2013;060789195;060785011;PISCIN;1;
SSR2;2013;060789195;060785011;SIMESP;1;
SSR2;2013;060789195;060785011;STICON;1;
SSR2;2013;060789674;130037815;APTAUT;1;
SSR2;2013;060789674;130037815;ASSMAR;1;
SSR2;2013;060789674;130037815;ASSMEM;;1
SSR2;2013;060789674;130037815;EXPEQU;1;
SSR2;2013;060789674;130037815;EXPURO;;1
SSR2;2013;060789674;130037815;IDRACH;;1
SSR2;2013;060789674;130037815;ISOCIN;1;
SSR2;2013;060789674;130037815;LABMAR;;1
SSR2;2013;060789674;130037815;PISCIN;1;
SSR2;2013;060789674;130037815;SALINT;;1
SSR2;2013;060789674;130037815;SIMESP;1;
SSR2;2013;060789674;130037815;STICON;1;
SSR2;2013;060789674;130037815;VEHADP;;1
SSR2;2013;060791811;750826638;PISCIN;1;
SSR2;2013;060791811;750826638;SALINT;1;
SSR2;2013;060798881;060798873;APTAUT;;1
SSR2;2013;060798881;060798873;ASSMAR;;1
SSR2;2013;060798881;060798873;ASSMEM;;1
SSR2;2013;060798881;060798873;EXPEQU;;1
SSR2;2013;060798881;060798873;EXPURO;1;
SSR2;2013;060798881;060798873;IDRACH;;1
SSR2;2013;060798881;060798873;ISOCIN;;1
SSR2;2013;060798881;060798873;LABMAR;;1
SSR2;2013;060798881;060798873;PISCIN;;1
SSR2;2013;060798881;060798873;SALINT;;1
SSR2;2013;060798881;060798873;SIMESP;;1
SSR2;2013;060798881;060798873;STICON;;1
SSR2;2013;060798881;060798873;VEHADP;;1
SSR2;2013;060800182;060002912;PISCIN;1;
SSR2;2013;070000039;070780119;EXPURO;;1
SSR2;2013;070000039;070780119;PISCIN;;1
SSR2;2013;070000039;070780119;SALINT;;1
SSR2;2013;070000039;070780119;VEHADP;1;
SSR2;2013;070000187;070780366;SIMESP;1;
SSR2;2013;070000195;070780374;PISCIN;;1
SSR2;2013;070000484;070005566;ASSMAR;1;
SSR2;2013;070000484;070005566;ASSMEM;1;
SSR2;2013;070000484;070005566;EXPEQU;1;
SSR2;2013;070000484;070005566;EXPURO;1;
SSR2;2013;070000484;070005566;LABMAR;;1
SSR2;2013;070000484;070005566;PISCIN;1;
SSR2;2013;070000484;070005566;SIMESP;1;
SSR2;2013;070783824;070002878;EXPURO;;1
SSR2;2013;070784897;750820680;PISCIN;;1
SSR2;2013;080000136;080000342;APTAUT;;1
SSR2;2013;080000136;080000342;ASSMAR;;1
SSR2;2013;080000136;080000342;ASSMEM;;1
SSR2;2013;080000136;080000342;EXPEQU;;1
SSR2;2013;080000136;080000342;EXPURO;;1
SSR2;2013;080000136;080000342;IDRACH;;1
SSR2;2013;080000136;080000342;ISOCIN;;1
SSR2;2013;080000136;080000342;LABMAR;;1
SSR2;2013;080000136;080000342;PISCIN;;1
SSR2;2013;080000136;080000342;SALINT;;1
SSR2;2013;080000136;080000342;SIMESP;;1
SSR2;2013;080000136;080000342;STICON;;1
SSR2;2013;080000136;080000342;VEHADP;;1
SSR2;2013;080000219;080001969;APTAUT;;1
SSR2;2013;080000219;080001969;ASSMAR;;1
SSR2;2013;080000219;080001969;ASSMEM;;1
SSR2;2013;080000219;080001969;EXPEQU;;1
SSR2;2013;080000219;080001969;EXPURO;;1
SSR2;2013;080000219;080001969;IDRACH;;1
SSR2;2013;080000219;080001969;ISOCIN;;1
SSR2;2013;080000219;080001969;LABMAR;;1
SSR2;2013;080000219;080001969;PISCIN;;1
SSR2;2013;080000219;080001969;SALINT;1;
SSR2;2013;080000219;080001969;SIMESP;;1
SSR2;2013;080000219;080001969;STICON;;1
SSR2;2013;080000219;080001969;VEHADP;;1
SSR2;2013;080000250;540019726;EXPEQU;1;
SSR2;2013;080000250;540019726;EXPURO;1;
SSR2;2013;080000250;540019726;LABMAR;;1
SSR2;2013;080000250;540019726;PISCIN;1;
SSR2;2013;080000250;540019726;SIMESP;1;
SSR2;2013;080000250;540019726;VEHADP;;1
SSR2;2013;080000268;540019726;EXPEQU;;1
SSR2;2013;080000268;540019726;EXPURO;;1
SSR2;2013;080000268;540019726;LABMAR;;1
SSR2;2013;080000268;540019726;PISCIN;;1
SSR2;2013;080000268;540019726;SIMESP;;1
SSR2;2013;080000268;540019726;VEHADP;;1
SSR2;2013;080000276;080001969;APTAUT;;1
SSR2;2013;080000276;080001969;ASSMAR;;1
SSR2;2013;080000276;080001969;ASSMEM;;1
SSR2;2013;080000276;080001969;EXPEQU;;1
SSR2;2013;080000276;080001969;EXPURO;;1
SSR2;2013;080000276;080001969;IDRACH;;1
SSR2;2013;080000276;080001969;ISOCIN;;1
SSR2;2013;080000276;080001969;LABMAR;;1
SSR2;2013;080000276;080001969;PISCIN;;1
SSR2;2013;080000276;080001969;SALINT;;1
SSR2;2013;080000276;080001969;SIMESP;;1
SSR2;2013;080000276;080001969;STICON;;1
SSR2;2013;080000276;080001969;VEHADP;;1
SSR2;2013;080002140;540019726;EXPURO;;1
SSR2;2013;080002140;540019726;LABMAR;;1
SSR2;2013;080002140;540019726;PISCIN;1;
SSR2;2013;080002140;540019726;SIMESP;;1
SSR2;2013;090000019;090180019;EXPEQU;;1
SSR2;2013;090000019;090180019;EXPURO;;1
SSR2;2013;090000019;090180019;IDRACH;;1
SSR2;2013;090000019;090180019;ISOCIN;1;
SSR2;2013;090000019;090180019;LABMAR;;1
SSR2;2013;090000019;090180019;PISCIN;1;
SSR2;2013;090000175;090781774;EXPURO;1;
SSR2;2013;090000175;090781774;SALINT;1;
SSR2;2013;090000183;090781816;APTAUT;1;
SSR2;2013;090000183;090781816;ASSMAR;;1
SSR2;2013;090000183;090781816;ASSMEM;;1
SSR2;2013;090000183;090781816;EXPEQU;1;
SSR2;2013;090000183;090781816;EXPURO;;1
SSR2;2013;090000183;090781816;IDRACH;;1
SSR2;2013;090000183;090781816;ISOCIN;;1
SSR2;2013;090000183;090781816;LABMAR;;1
SSR2;2013;090000183;090781816;PISCIN;1;
SSR2;2013;090000183;090781816;SALINT;;1
SSR2;2013;090000183;090781816;SIMESP;1;
SSR2;2013;090000183;090781816;STICON;;1
SSR2;2013;090000183;090781816;VEHADP;;1
SSR2;2013;100006493;100000017;EXPEQU;1;
SSR2;2013;100006493;100000017;ISOCIN;1;
SSR2;2013;100006493;100000017;SIMESP;1;
SSR2;2013;100007285;140017617;EXPURO;;1
SSR2;2013;100007285;140017617;LABMAR;;1
SSR2;2013;100007285;140017617;PISCIN;1;
SSR2;2013;100007285;140017617;SALINT;;1
SSR2;2013;100007285;140017617;SIMESP;1;
SSR2;2013;100009083;750721235;APTAUT;;1
SSR2;2013;100009083;750721235;ASSMAR;;1
SSR2;2013;100009083;750721235;ASSMEM;;1
SSR2;2013;100009083;750721235;EXPEQU;1;
SSR2;2013;100009083;750721235;EXPURO;;1
SSR2;2013;100009083;750721235;IDRACH;1;
SSR2;2013;100009083;750721235;ISOCIN;;1
SSR2;2013;100009083;750721235;LABMAR;;1
SSR2;2013;100009083;750721235;PISCIN;1;
SSR2;2013;100009083;750721235;SALINT;;1
SSR2;2013;100009083;750721235;SIMESP;;1
SSR2;2013;100009083;750721235;STICON;;1
SSR2;2013;100009083;750721235;VEHADP;1;
SSR2;2013;110000189;110780707;ASSMAR;1;
SSR2;2013;110000189;110780707;EXPEQU;1;
SSR2;2013;110000189;110780707;PISCIN;1;
SSR2;2013;110000262;110781010;APTAUT;;1
SSR2;2013;110000262;110781010;ASSMAR;;1
SSR2;2013;110000262;110781010;ASSMEM;;1
SSR2;2013;110000262;110781010;EXPEQU;1;
SSR2;2013;110000262;110781010;EXPURO;;1
SSR2;2013;110000262;110781010;IDRACH;;1
SSR2;2013;110000262;110781010;ISOCIN;;1
SSR2;2013;110000262;110781010;LABMAR;1;
SSR2;2013;110000262;110781010;PISCIN;1;
SSR2;2013;110000262;110781010;SALINT;;1
SSR2;2013;110000262;110781010;SIMESP;1;
SSR2;2013;110000262;110781010;STICON;;1
SSR2;2013;110000262;110781010;VEHADP;;1
SSR2;2013;110003118;310012638;EXPEQU;1;
SSR2;2013;110003118;310012638;EXPURO;1;
SSR2;2013;110003118;310012638;LABMAR;;1
SSR2;2013;110003118;310012638;PISCIN;1;
SSR2;2013;110003118;310012638;SIMESP;1;
SSR2;2013;110780194;110000080;PISCIN;1;
SSR2;2013;110780228;110000114;EXPURO;1;
SSR2;2013;110780228;110000114;PISCIN;1;
SSR2;2013;110780228;110000114;SALINT;1;
SSR2;2013;120000054;120780069;PISCIN;1;
SSR2;2013;120000096;120780101;EXPEQU;1;
SSR2;2013;120000096;120780101;EXPURO;1;
SSR2;2013;120000096;120780101;PISCIN;1;
SSR2;2013;120000096;120780101;SIMESP;1;
SSR2;2013;120000153;120780291;VEHADP;1;
SSR2;2013;120004668;120004619;APTAUT;;1
SSR2;2013;120004668;120004619;ASSMAR;;1
SSR2;2013;120004668;120004619;ASSMEM;;1
SSR2;2013;120004668;120004619;EXPEQU;1;
SSR2;2013;120004668;120004619;EXPURO;;1
SSR2;2013;120004668;120004619;IDRACH;;1
SSR2;2013;120004668;120004619;ISOCIN;;1
SSR2;2013;120004668;120004619;LABMAR;;1
SSR2;2013;120004668;120004619;PISCIN;;1
SSR2;2013;120004668;120004619;SALINT;;1
SSR2;2013;120004668;120004619;SIMESP;;1
SSR2;2013;120004668;120004619;STICON;;1
SSR2;2013;120004668;120004619;VEHADP;;1
SSR2;2013;120780143;120000112;SIMESP;1;
SSR2;2013;130000409;130041916;PISCIN;1;
SSR2;2013;130001225;130782634;SALINT;1;
SSR2;2013;130002827;130789274;PISCIN;1;
SSR2;2013;130002827;130789274;SALINT;1;
SSR2;2013;130002827;130789274;VEHADP;1;
SSR2;2013;130035793;130013139;PISCIN;1;
SSR2;2013;130043508;250002284;PISCIN;1;
SSR2;2013;130781438;130000557;APTAUT;1;
SSR2;2013;130781438;130000557;ASSMAR;1;
SSR2;2013;130781438;130000557;ISOCIN;1;
SSR2;2013;130781438;130000557;LABMAR;1;
SSR2;2013;130781438;130000557;PISCIN;1;
SSR2;2013;130781438;130000557;SIMESP;1;
SSR2;2013;130781479;130000599;EXPEQU;;1
SSR2;2013;130781479;130000599;EXPURO;1;
SSR2;2013;130781479;130000599;LABMAR;;1
SSR2;2013;130781479;130000599;PISCIN;1;
SSR2;2013;130781479;130000599;SIMESP;;1
SSR2;2013;130781768;130000763;PISCIN;1;
SSR2;2013;130781834;130000805;ASSMAR;1;
SSR2;2013;130781834;130000805;PISCIN;1;
SSR2;2013;130781834;130000805;SIMESP;1;
SSR2;2013;130782303;920000395;APTAUT;;1
SSR2;2013;130782303;920000395;ASSMAR;;1
SSR2;2013;130782303;920000395;ASSMEM;;1
SSR2;2013;130782303;920000395;EXPEQU;1;
SSR2;2013;130782303;920000395;EXPURO;;1
SSR2;2013;130782303;920000395;IDRACH;;1
SSR2;2013;130782303;920000395;ISOCIN;;1
SSR2;2013;130782303;920000395;LABMAR;;1
SSR2;2013;130782303;920000395;PISCIN;1;
SSR2;2013;130782303;920000395;SALINT;;1
SSR2;2013;130782303;920000395;SIMESP;;1
SSR2;2013;130782303;920000395;STICON;;1
SSR2;2013;130782303;920000395;VEHADP;;1
SSR2;2013;130782444;130001100;PISCIN;1;
SSR2;2013;130782493;130001134;PISCIN;1;
SSR2;2013;130783665;130043722;EXPURO;1;
SSR2;2013;130783665;130043722;SALINT;1;
SSR2;2013;130783871;130001548;APTAUT;;1
SSR2;2013;130783871;130001548;ASSMAR;;1
SSR2;2013;130783871;130001548;ASSMEM;;1
SSR2;2013;130783871;130001548;EXPEQU;;1
SSR2;2013;130783871;130001548;EXPURO;;1
SSR2;2013;130783871;130001548;IDRACH;;1
SSR2;2013;130783871;130001548;ISOCIN;1;
SSR2;2013;130783871;130001548;LABMAR;;1
SSR2;2013;130783871;130001548;PISCIN;1;
SSR2;2013;130783871;130001548;SALINT;;1
SSR2;2013;130783871;130001548;SIMESP;1;
SSR2;2013;130783871;130001548;STICON;;1
SSR2;2013;130783871;130001548;VEHADP;;1
SSR2;2013;130784234;130786049;APTAUT;;1
SSR2;2013;130784234;130786049;EXPEQU;1;
SSR2;2013;130784234;130786049;EXPURO;;1
SSR2;2013;130784234;130786049;IDRACH;;1
SSR2;2013;130784234;130786049;ISOCIN;1;
SSR2;2013;130784234;130786049;LABMAR;1;
SSR2;2013;130784234;130786049;PISCIN;;1
SSR2;2013;130784234;130786049;SALINT;1;
SSR2;2013;130784234;130786049;SIMESP;;1
SSR2;2013;130784234;130786049;STICON;;1
SSR2;2013;130784234;130786049;VEHADP;;1
SSR2;2013;130784598;130001852;LABMAR;1;
SSR2;2013;130784598;130001852;PISCIN;1;
SSR2;2013;130784598;130001852;VEHADP;;1
SSR2;2013;130785389;130002173;ASSMEM;1;
SSR2;2013;130785389;130002173;LABMAR;;1
SSR2;2013;130785389;130002173;PISCIN;1;
SSR2;2013;130785389;130002173;SALINT;1;
SSR2;2013;130785389;130002173;SIMESP;1;
SSR2;2013;130786023;130002330;PISCIN;1;
SSR2;2013;130786296;130002421;APTAUT;;1
SSR2;2013;130786296;130002421;ASSMAR;;1
SSR2;2013;130786296;130002421;ASSMEM;;1
SSR2;2013;130786296;130002421;EXPEQU;;1
SSR2;2013;130786296;130002421;EXPURO;;1
SSR2;2013;130786296;130002421;IDRACH;;1
SSR2;2013;130786296;130002421;ISOCIN;;1
SSR2;2013;130786296;130002421;LABMAR;;1
SSR2;2013;130786296;130002421;PISCIN;;1
SSR2;2013;130786296;130002421;SALINT;;1
SSR2;2013;130786296;130002421;SIMESP;;1
SSR2;2013;130786296;130002421;STICON;;1
SSR2;2013;130786296;130002421;VEHADP;;1
SSR2;2013;130786742;750821092;ISOCIN;1;
SSR2;2013;130786924;130037815;APTAUT;1;
SSR2;2013;130786924;130037815;ASSMAR;1;
SSR2;2013;130786924;130037815;EXPEQU;1;
SSR2;2013;130786924;130037815;ISOCIN;1;
SSR2;2013;130786924;130037815;PISCIN;1;
SSR2;2013;130786924;130037815;SIMESP;1;
SSR2;2013;130786932;130002660;APTAUT;1;
SSR2;2013;130786932;130002660;PISCIN;1;
SSR2;2013;130786932;130002660;SIMESP;1;
SSR2;2013;130787369;130002777;ASSMAR;1;
SSR2;2013;130787369;130002777;ASSMEM;1;
SSR2;2013;130787369;130002777;EXPEQU;1;
SSR2;2013;130787369;130002777;ISOCIN;1;
SSR2;2013;130787369;130002777;PISCIN;1;
SSR2;2013;130789357;130002843;PISCIN;1;
SSR2;2013;130790157;130789316;EXPURO;;1
SSR2;2013;130790157;130789316;SALINT;;1
SSR2;2013;130809015;130001928;APTAUT;;1
SSR2;2013;130809015;130001928;ASSMAR;;1
SSR2;2013;130809015;130001928;ASSMEM;;1
